,Date,TSLA,PDR,VAR,AVG,VAR70,VAR85,VAR99
97,5/21/2020,55.173332,0.014654922,0.004546218,0.006743714,52.70364168990946,50.90498990181845,46.63242929509613
98,5/22/2020,54.458668,-0.013037692,0.00450378,0.006541863,53.49002294871225,51.67927102137826,47.375263431137185
99,5/26/2020,54.591331,0.002433069,0.004458456,0.00650036,52.79727088960742,51.01031162096047,46.7697726327442
100,5/27/2020,54.681999,0.001659472,0.004414103,0.006451951,52.932931782123134,51.154911800262084,46.91785461684517
101,5/28/2020,53.720669,-0.017736744,0.004376135,0.006212459,53.03439549127097,51.258174566403625,47.05486497114512
102,5/29/2020,55.666668,0.035583723,0.004341606,0.006500412,52.100871330328246,50.36351259651377,46.23470831049977
103,6/1/2020,59.873333,0.072849666,0.00434178,0.00714458,54.00242359807173,52.20827606418318,47.94265627205613
104,6/2/2020,58.770668,-0.018588327,0.004306338,0.006897148,58.130033469549744,56.19810191916358,51.62724443715196
105,6/3/2020,58.863998,0.001586777,0.004265591,0.006846573,57.04862357653214,55.15903747706521,50.69545737354839
106,6/4/2020,57.625332,-0.021267402,0.004232736,0.006581347,57.14648816503159,55.26969764079978,50.79302447500635
107,6/5/2020,59.043999,0.024320649,0.004196091,0.006747135,55.94253361852363,54.10507697702954,49.73497509002231
108,6/8/2020,63.327999,0.070044642,0.004193993,0.007333223,57.332849377429014,55.46037088251301,51.019229854845165
109,6/9/2020,62.711334,-0.009785357,0.00415818,0.007176172,61.54171523891183,59.531696772338854,54.741763781613805
110,6/10/2020,68.33667,0.085904322,0.004176212,0.007891882,60.942053316158585,58.95886869657005,54.26409024668184
111,6/11/2020,64.856003,-0.052277045,0.00417091,0.00734982,66.43916372085576,64.27920815272944,59.163380833394335
112,6/12/2020,62.352001,-0.039373709,0.004152988,0.006932645,63.03216356838389,60.983731867389075,56.10129190723048
113,6/15/2020,66.059998,0.057767625,0.004138902,0.007382513,60.57345250349394,58.61081444095862,53.9557753575793
114,6/16/2020,65.475334,-0.008889898,0.004104899,0.007239772,64.21317898507635,62.128939028118104,57.16593335199097
115,6/17/2020,66.119331,0.009787663,0.00406926,0.007261928,63.64292092083996,61.58923193293809,56.69132802684974
116,6/18/2020,66.930664,0.012196063,0.004034388,0.007304463,64.27536584965333,62.206174284906126,57.30997428098037
117,6/19/2020,66.726669,-0.00305251,0.004000815,0.007215942,65.0777637009508,62.99818784033863,58.05210057335555
118,6/22/2020,66.288002,-0.006595793,0.003968513,0.007098894,64.88802228148926,62.8248031129462,57.90918861180734
119,6/23/2020,66.785332,0.00747456,0.003935165,0.00710205,64.46781023849938,62.42294782967749,57.55001299548136
120,6/24/2020,64.056664,-0.041715409,0.003922066,0.006695238,64.95288522044041,62.90063284370567,58.008779646827946
121,6/25/2020,65.732002,0.025817833,0.00389265,0.006853276,62.286456033220254,60.3254871024281,55.656563395886806
122,6/26/2020,63.982666,-0.026973697,0.003870045,0.006576006,63.92974733526484,61.919671468285806,57.147864623573874
123,6/29/2020,67.290001,0.050399449,0.003854068,0.006932294,62.21843580137231,60.26380771550064,55.618560833736446
124,6/30/2020,71.987335,0.067478549,0.003852312,0.00742057,65.46423664597515,63.410160034160924,58.51124784002747
125,7/1/2020,74.641998,0.036213124,0.003828072,0.007650911,70.07418685381174,67.88702254285666,62.65768905942122
126,7/2/2020,80.577332,0.076514045,0.003835028,0.008197444,72.67703568818251,70.41368145961124,65.00635341526899
127,7/6/2020,91.438667,0.126451072,0.003914073,0.009128575,78.50642579816093,76.0452765836905,70.22032551735256
128,7/7/2020,92.657333,0.013239655,0.003883626,0.009160692,89.12723389760724,86.31730166050934,79.64584558375755
129,7/8/2020,91.05867,-0.017404073,0.003858948,0.008954764,90.321334178127,87.48579537916162,80.74350592989362
130,7/9/2020,92.952003,0.020579239,0.003830295,0.009044183,88.75301219174878,85.97574561394629,79.367365870956
131,7/10/2020,102.976669,0.102419185,0.003867105,0.009756969,90.62177028480126,87.80024620275987,81.07594656849541
132,7/13/2020,99.804001,-0.031294175,0.003850479,0.009445976,100.45815935969554,97.3122999850337,89.80500886866491
133,7/14/2020,101.120003,0.013099687,0.003821627,0.009473447,97.32798738892039,94.28542669085482,87.03406451179212
134,7/15/2020,103.067329,0.019074494,0.00379379,0.009545097,98.63443276518557,95.57100050291503,88.23687658478545
135,7/16/2020,100.042664,-0.029785719,0.003777062,0.009253757,100.56038649783144,97.42825021711852,89.97865321733086
136,7/17/2020,100.056,0.000133294,0.003749897,0.009186695,97.59254165784238,94.5748519170389,87.35570039921288
137,7/20/2020,109.533333,0.090498885,0.003770433,0.009780215,97.60253656837268,94.60024249436172,87.43748866944004
138,7/21/2020,104.557335,-0.046493333,0.003765892,0.009372436,106.89268440870012,103.59394398405067,95.7145933334065
139,7/22/2020,106.155334,0.015167855,0.003739039,0.009414129,102.01077422227998,98.85086776783456,91.38232536396035
140,7/23/2020,100.87133,-0.051057692,0.003738266,0.008982188,103.57709479553868,100.38769107139358,92.78519150265507
141,7/24/2020,94.466667,-0.065598702,0.003750922,0.008453245,98.36591250169789,95.34433000085677,88.12571550000132
142,7/27/2020,102.639999,0.082980668,0.003763347,0.008978086,92.07187053017634,89.23097609748804,82.42243857018025
143,7/28/2020,98.432671,-0.041854939,0.003754973,0.00862261,100.09556741256385,97.00272781320434,89.60457798534104
144,7/29/2020,99.940666,0.015203899,0.003729196,0.008668314,95.96237161772862,93.00107966772116,85.9009229983721
145,7/30/2020,99.166,-0.007781456,0.003705331,0.008554867,97.44624370126158,94.45163236875916,87.29057451484245
146,7/31/2020,95.384003,-0.038884333,0.00369526,0.008229941,96.69459116718423,93.72142487995978,86.66256469067326
147,8/3/2020,99.0,0.037208969,0.003675796,0.008427077,92.98987934496802,90.1494232250303,83.32977625355697
148,8/4/2020,99.133331,0.001345872,0.003651296,0.008379231,96.54706711948003,93.58449995883359,86.56325487232841
149,8/5/2020,99.001335,-0.001332387,0.00362742,0.008314053,96.6821053109753,93.73969977107757,86.6792718009671
150,8/6/2020,99.305336,0.003065971,0.003603419,0.008279066,96.54886321392107,93.60702129001596,86.61383714428177
151,8/7/2020,96.847336,-0.025063423,0.003586869,0.008058254,96.85142274083061,93.92789876479343,86.9090211915701
152,8/10/2020,94.571335,-0.023781466,0.003569897,0.007848782,94.44561442509442,91.59896176601939,84.77880858116265
153,8/11/2020,91.625999,-0.031639354,0.003556689,0.00759069,92.20340264625848,89.42455929615689,82.80130782274449
154,8/12/2020,103.650665,0.123311191,0.003619985,0.008342122,89.31607005702833,86.63454682630855,80.22223175215537
155,8/13/2020,108.066666,0.04172206,0.003603773,0.008557476,101.08222667169832,98.0213490330753,90.66355176916157
156,8/14/2020,110.047333,0.018162259,0.003581259,0.008619045,105.4380004943029,102.24765323140504,94.60787581964155
157,8/17/2020,122.375999,0.106187691,0.003618697,0.009240502,107.37977238438127,104.1469517415999,96.40519759348007
158,8/18/2020,125.806,0.027642774,0.003597924,0.009356972,119.4658748237914,115.83524764276116,107.18337884000039
159,8/19/2020,125.235336,-0.004546383,0.003576503,0.009269529,122.83650813428585,119.12949242672377,110.24070372259033
160,8/20/2020,133.455338,0.06357222,0.003572465,0.009608921,122.28071409214512,118.5893094501477,109.8190695314199
161,8/21/2020,136.665329,0.023768208,0.003551513,0.009696867,130.36071955019122,126.42507833517111,117.03451943798349
162,8/24/2020,134.279999,-0.017607919,0.003534164,0.009528319,133.51659619070904,129.51239396899678,119.95627144327274
163,8/25/2020,134.889328,0.004527485,0.003512635,0.009497639,131.19109106204078,127.23897953578555,117.85556958835141
164,8/26/2020,143.544662,0.062191571,0.003508044,0.009818944,131.7706867185577,127.83329016457161,118.38996347716235
165,8/27/2020,149.25,0.038976532,0.003491904,0.009995656,140.25650452648622,136.05885257471596,126.04113941598449
166,8/28/2020,147.559998,-0.011387893,0.003473607,0.00986684,145.90101524799607,141.54021263912085,131.17977702357368
167,8/31/2020,166.106674,0.118395337,0.003522914,0.010516711,144.22057506912589,139.9492290192224,129.75673920516155
168,9/1/2020,158.350006,-0.047822386,0.003522082,0.010169454,162.41134949342535,157.5642138415003,145.91933705992176
169,9/2/2020,149.123337,-0.060034082,0.003530232,0.009754049,154.80197868755005,150.1608466201106,139.0584999864418
170,9/3/2020,135.666672,-0.094572793,0.003573113,0.009140362,145.6911961347627,141.34868522749395,130.904252395864
171,9/4/2020,139.440002,0.027433479,0.003554163,0.009247339,132.4464886061242,128.44941468864425,118.91470248430498
172,9/8/2020,110.07,-0.236517889,0.003882624,0.007818471,136.15892655136983,132.07418992311725,122.27275478966689
173,9/9/2020,122.09333,0.103669225,0.00391298,0.008372522,107.14865150836596,103.7883676478685,95.80852498504096
174,9/10/2020,123.779999,0.013720036,0.003890655,0.008403255,118.91438902735455,115.16902454195036,106.20080277812286
175,9/11/2020,124.239998,0.003709375,0.003868548,0.008376432,120.59035014882397,116.79120857227916,107.73198316029224
176,9/14/2020,139.873337,0.118522115,0.003915108,0.00900226,121.0247387494413,117.23663994565104,108.22935202000521
177,9/15/2020,149.919998,0.069364528,0.003913458,0.00934329,136.3288742958446,132.02657241453713,121.80766210175483
178,9/16/2020,147.253326,-0.017947395,0.003895633,0.009189972,146.16576883534154,141.5626535274068,130.54227320958316
179,9/17/2020,141.143326,-0.042378539,0.003888643,0.008901879,143.55295338215674,139.02322013071625,128.2949728139497
180,9/18/2020,147.383331,0.043261016,0.003873562,0.009092763,137.5523560232858,133.23465993152587,122.90847505472635
181,9/21/2020,149.796661,0.016241895,0.003852441,0.009132261,143.67679769744092,139.16876096836936,128.41345695255833
182,9/22/2020,141.410004,-0.057615281,0.003855619,0.008765517,146.04387371112423,141.4475425048027,130.63047229587792
183,9/23/2020,126.786667,-0.109157614,0.003910123,0.008121128,137.83496060706597,133.51471244302792,123.2380046515681
184,9/24/2020,129.263336,0.019345801,0.003889554,0.008182132,123.4586467622692,119.56387080045678,110.28522290352656
185,9/25/2020,135.779999,0.049184234,0.003877567,0.008403765,125.89488912296933,121.93487263064561,112.5158912348749
186,9/28/2020,140.399994,0.033459527,0.003860077,0.008538473,132.2745804935838,128.1279315460401,118.22911356101072
187,9/29/2020,139.690002,-0.005069753,0.00384042,0.008465702,136.8131379041144,132.5316730269776,122.34923612740651
188,9/30/2020,143.003326,0.023442193,0.003821179,0.008545364,136.12129990292385,131.87310115429503,121.72791884914388
189,10/1/2020,149.386673,0.043670177,0.003807454,0.008731209,139.37228751954115,135.0353678055311,124.7294610769416
190,10/2/2020,138.363327,-0.076655035,0.003825586,0.008281808,145.60963778351228,141.08513420155546,130.2964262929357
191,10/5/2020,141.893326,0.02519252,0.003807046,0.008370346,134.7971577211531,130.59131231464536,120.56308595715053
192,10/6/2020,137.993332,-0.027870185,0.003794022,0.008181593,138.2655082238472,133.96765890011025,123.72452490096617
193,10/7/2020,141.766663,0.026977123,0.003776185,0.008278979,134.43767011127863,130.25638753418693,120.31402578895398
194,10/8/2020,141.973328,0.001456721,0.003756959,0.008243813,138.1560445212064,133.88070906522495,123.77577627364744
195,10/9/2020,144.666672,0.018793073,0.00373826,0.008297912,138.35733985143207,134.07770274962942,123.91296832350314
196,10/12/2020,147.433334,0.018943818,0.003719763,0.008352228,140.99299687510373,136.63538768414517,126.31041173937881
197,10/13/2020,148.883331,0.009786885,0.003700891,0.00835951,143.72181893549228,139.3025681121574,128.77803608368637
198,10/14/2020,153.766663,0.032273292,0.003685074,0.008480287,145.1393419975067,140.69194573097624,130.0060540460575
199,10/15/2020,149.626663,-0.027293,0.003672954,0.008300522,149.94198111483476,145.33863625160194,134.393647447126
200,10/16/2020,146.556671,-0.020731092,0.003658782,0.008155364,145.8743260408994,141.40954018893592,130.75173405388392
201,10/19/2020,143.610001,-0.020310887,0.003644591,0.00801374,142.88312751654897,138.51498631614336,128.0972636691529
202,10/20/2020,140.646667,-0.020850462,0.003630652,0.007870848,139.9922107333902,135.72918728369348,125.54721087032276
203,10/21/2020,140.880005,0.001657662,0.003612957,0.007840241,137.11549835499645,132.9520972921542,123.01237420288786
204,10/22/2020,141.929993,0.007425429,0.003595247,0.007838208,137.31799884229355,133.17113255478793,123.20738881038463
205,10/23/2020,140.210007,-0.01219258,0.003579657,0.007740497,138.38226240728784,134.1835976777089,124.1625895724852
206,10/26/2020,140.093338,-0.000832448,0.003562635,0.007698881,136.6963574103699,132.57206487770415,122.74225408693842
207,10/27/2020,141.559998,0.010414741,0.00354546,0.007712001,136.56184542038028,132.47381880007092,122.69395125661813
208,10/28/2020,135.339996,-0.04493354,0.003541675,0.007458897,138.0340877779707,133.8877738274526,123.94629641509663
209,10/29/2020,136.943329,0.011777082,0.003524818,0.007479558,131.92602009936388,127.95240097692648,118.50500346179152
210,10/30/2020,129.346664,-0.057071066,0.00352778,0.007172174,133.5078569882401,129.49090462847616,119.95256370341603
211,11/2/2020,133.503326,0.031630274,0.003513883,0.00728809,126.04579295921414,122.27588340525848,113.24490175364463
212,11/3/2020,141.300003,0.05675892,0.003508797,0.007521443,130.12409984608203,126.2265516750592,116.97543978865323
213,11/4/2020,140.32666,-0.00691232,0.003493298,0.007453678,137.7797782535018,133.6608106235432,123.81781199633888
214,11/5/2020,146.029999,0.039839083,0.003481852,0.007605012,136.83158468804464,132.74663647985673,122.96902895472994
215,11/6/2020,143.316666,-0.018755444,0.003468874,0.007482405,142.4241133514326,138.18359756470036,128.06468533508504
216,11/9/2020,140.419998,-0.020418712,0.003456402,0.007353234,139.75031166224755,135.6027001063259,125.70591517732346
217,11/10/2020,136.786667,-0.02621538,0.003445643,0.007198539,136.92446304189446,132.86617565356195,123.12952260906503
218,11/11/2020,139.043335,0.01636311,0.003430221,0.007240579,133.36577312317868,129.42107772337525,120.02349131727559
219,11/12/2020,137.253326,-0.012957334,0.003416412,0.007148351,135.60258061358948,131.59412405723742,122.03235449122461
220,11/13/2020,136.166672,-0.007948648,0.003401914,0.007079728,133.84940501779198,129.90768169432036,120.45733328973228
221,11/16/2020,136.029999,-0.001004223,0.003386815,0.007043149,132.77817455214904,128.86380690847378,119.50795639716326
222,11/17/2020,147.203339,0.078939447,0.003394738,0.007367006,132.65449198360238,128.75630709559883,119.40301601457782
223,11/18/2020,162.213333,0.09709745,0.003415459,0.007769385,143.59303347146866,139.37263455976557,129.28704468544072
224,11/19/2020,166.42334,0.025622444,0.003401628,0.007849086,158.27067513932548,153.61505530663146,142.49648511444656
225,11/20/2020,163.203339,-0.019537881,0.003389828,0.007727366,162.39755853544872,157.61792415397414,146.17783358290885
226,11/23/2020,173.949997,0.063770982,0.003388665,0.007975347,159.2493539172464,154.58638544764176,143.35553802206937
227,11/24/2020,185.126663,0.062272371,0.003386668,0.008214541,169.79506437045092,164.81264095236313,152.9100738862545
228,11/25/2020,191.333328,0.032976824,0.003374491,0.008323147,180.75397797640971,175.44103954835867,162.78557381461388
229,11/27/2020,195.253326,0.020280743,0.003360377,0.008375364,186.84813478200542,181.3724703353784,168.31314365283146
230,11/30/2020,189.199997,-0.031493182,0.003352648,0.008202022,190.66014375266028,185.08679679262625,171.7352400635166
231,12/1/2020,194.919998,0.029784567,0.003340142,0.008295453,184.74296293495456,179.34057485824198,166.4608749334347
232,12/2/2020,189.606674,-0.027637418,0.003331286,0.00814057,190.35408873738166,184.79757330651813,171.49302497355086
233,12/3/2020,197.793335,0.042270933,0.003321967,0.008287053,185.15575492911003,179.7770556694926,166.9466555914867
234,12/4/2020,199.679993,0.009493327,0.003307777,0.008292208,193.20025643103526,187.5622006146417,174.11704803997128
235,12/7/2020,213.919998,0.068886054,0.003309258,0.008550054,195.05292737400805,189.40913009206827,175.8296980981994
236,12/8/2020,216.626663,0.012573321,0.003295304,0.008567101,208.99473490883054,202.92232190043734,188.367449687557
237,12/9/2020,201.493332,-0.072419136,0.003308957,0.008225387,211.66177475913233,205.54085296223084,190.90382724399518
