,Date,UAL,PDR,VAR,AVG,VAR70,VAR85,VAR99
116,6/18/2020,39.34,0.002290369,0.007496349,-0.007109265,37.08985993586456,35.47707411178272,31.716200237791906
117,6/19/2020,36.84,-0.065657602,0.007461326,-0.007609678,37.18971126262506,35.57468698327786,31.833349317848686
118,6/22/2020,36.540001,-0.008176633,0.007398097,-0.007614483,34.8124793128299,33.298660325567106,29.793661904024525
119,6/23/2020,36.080002,-0.012668828,0.007336141,-0.007656957,34.53526333682545,33.048740865806714,29.57901872560314
120,6/24/2020,33.07,-0.087112224,0.007327178,-0.008319084,34.10005043100134,32.643398707641566,29.223760687479395
121,6/25/2020,34.689999,0.047824905,0.007292458,-0.007855084,31.2408655726591,29.90050565104405,26.77387693478742
122,6/26/2020,32.889999,-0.053282802,0.007249461,-0.008227442,32.78713089032098,31.39140110816009,28.11841978443363
123,6/29/2020,35.27,0.069864114,0.007239698,-0.007592552,31.086135951763353,29.755081237281477,26.663966636049093
124,6/30/2020,34.610001,-0.018890058,0.007182335,-0.00768366,33.34861954841822,31.929415251254998,28.63448784133693
125,7/1/2020,34.450001,-0.00463366,0.00712495,-0.00765926,32.73723252100139,31.347897652128893,28.094757415828706
126,7/2/2020,34.139999,-0.009039338,0.007068418,-0.007670213,32.58687081262965,31.20954393247873,28.010425124667147
127,7/6/2020,35.209999,0.030860417,0.007024359,-0.007366823,32.30454433956553,30.941365486127715,27.76178896381191
128,7/7/2020,32.549999,-0.078552767,0.007008761,-0.007922963,33.32710131398232,31.925526533887997,28.664383736589812
129,7/8/2020,32.529999,-0.000614628,0.00695484,-0.007866309,30.794879064727144,29.500982097212805,26.480535005492346
130,7/9/2020,30.17,-0.075314657,0.006936067,-0.008385143,30.788112331822607,29.499900233686937,26.498330141281876
131,7/10/2020,32.669998,0.079609111,0.006941775,-0.007713431,28.541235829301176,27.34969914141943,24.566691004640276
132,7/13/2020,31.76,-0.028249528,0.006892357,-0.007869007,30.92274226425003,29.63069820305282,26.616642811117405
133,7/14/2020,31.74,-0.000629921,0.006840926,-0.007814578,30.06401610145881,28.81479263090857,25.888789663986277
