,Date,PSX,PDR,VAR,AVG,VAR70,VAR85,VAR99
150,8/6/2020,60.970001,-0.016107043,0.002331314,-0.004066007,60.10290969696211,58.63114387358229,55.07835076047647
151,8/7/2020,62.869999,0.03068713,0.00232382,-0.003835854,59.136242592602414,57.692830349735345,54.209818490474994
152,8/10/2020,64.870003,0.031316227,0.002316608,-0.00360459,60.99629428666303,59.515911297324884,55.9135908164288
153,8/11/2020,64.110001,-0.01178494,0.002301901,-0.003658056,62.95395554892948,61.420895492618754,57.70784368162731
154,8/12/2020,64.410004,0.004668589,0.002287401,-0.003603987,62.217796816907196,60.707081373338355,57.08816306566247
155,8/13/2020,62.630001,-0.02802455,0.002276466,-0.003761539,62.511468990946256,60.99548035471083,57.35563470424188
156,8/14/2020,63.66,0.016312009,0.00226444,-0.003632862,60.7903436960294,59.321136303011194,55.76489121992827
157,8/17/2020,62.360001,-0.020632362,0.002251846,-0.00374114,61.79360905479691,60.30685809819183,56.715538527489294
158,8/18/2020,61.310001,-0.016981082,0.002238696,-0.003824937,60.524407641770864,59.07406048103156,55.5846228249309
159,8/19/2020,61.419998,0.001792504,0.002224813,-0.003789607,59.510061917754555,58.08699734428232,54.657348694907405
160,8/20/2020,60.970001,-0.007353526,0.002210987,-0.003811881,59.62724577250521,58.204752039206255,54.7594254388697
161,8/21/2020,60.970001,0.0,0.002197344,-0.003788205,59.18809903240354,57.783338071836106,54.38510037465404
162,8/24/2020,63.650002,0.0430174,0.00219722,-0.003499282,59.20017489877277,57.79534381072415,54.41508162641233
163,8/25/2020,61.630001,-0.032250575,0.00218878,-0.00367567,61.81372765770288,60.35062821340081,56.81939382621405
164,8/26/2020,60.029999,-0.026304361,0.002178537,-0.00381365,59.84427253415245,58.429388657015615,55.015287880496906
165,8/27/2020,60.259998,0.00382408,0.002165685,-0.00376736,58.29127100538206,56.91329399200448,53.59986503335009
166,8/28/2020,61.790001,0.025073055,0.002157619,-0.003593623,58.52549554619932,57.147474611140986,53.8163853601658
167,8/31/2020,58.470001,-0.055227736,0.002160569,-0.003902809,60.0217331857173,58.607520045192686,55.19779990143534
168,9/1/2020,58.790001,0.00545797,0.002148227,-0.00384709,56.780692441157754,55.448637504650684,52.23089550497512
169,9/2/2020,60.049999,0.021205742,0.002139207,-0.003698849,57.099425319340405,55.75839261385925,52.525011672642265
170,9/3/2020,59.689999,-0.006013046,0.002126655,-0.003712462,58.33857511088659,56.968521826115676,53.691545692130916
171,9/4/2020,58.98,-0.011966082,0.002114614,-0.003760728,57.98599823576133,56.634394192825646,53.36219257966093
