,Date,HD,PDR,VAR,AVG,VAR70,VAR85,VAR99
115,6/17/2020,250.850006,0.003594289,0.001529775,0.001154559,244.95184686273996,240.04856350921864,228.18423028092516
116,6/18/2020,249.210007,-0.006559232,0.001517096,0.001088061,245.85713325296913,240.98257525865748,229.15550431512648
117,6/19/2020,246.649994,-0.010325639,0.001505233,0.000990508,244.24183712937977,239.42386438719072,227.72251398450865
118,6/22/2020,249.160004,0.010124973,0.001493178,0.001067918,241.7575384373154,237.01448821150638,225.49258271868192
119,6/23/2020,250.309998,0.004604865,0.001480734,0.001097641,244.2405174494548,239.44438353784287,227.8398775448144
120,6/24/2020,246.130005,-0.01684027,0.001471054,0.000948158,245.4009848737013,240.61193795230923,228.98066428823176
121,6/25/2020,245.380005,-0.003051822,0.001459028,0.0009151,241.26722112755456,236.5721938229429,225.12576268298
122,6/26/2020,241.009995,-0.017969644,0.001449968,0.000760307,240.55480517730697,235.90981911266257,224.57870484874658
123,6/29/2020,246.119995,0.020980796,0.001441476,0.000924702,236.23031453270076,231.65885364965317,220.61474387038916
124,6/30/2020,250.509995,0.017679618,0.001432097,0.001059822,241.3056941666626,236.6551058981612,225.41187741864755
125,7/1/2020,248.149994,-0.009465442,0.00142152,0.00097562,245.6723683284859,240.96711022317015,229.4416306980669
126,7/2/2020,248.5,0.001409468,0.001410239,0.000979063,243.37336618022456,238.7285076292634,227.39095666058844
127,7/6/2020,249.550003,0.004216462,0.001399217,0.001004554,243.73748458838955,239.1123450017298,227.74862381192767
128,7/7/2020,247.350006,-0.008854946,0.001389039,0.000927527,244.77329470760014,240.13470013785735,228.78437249542043
129,7/8/2020,249.169998,0.007331024,0.001378587,0.000977166,242.62844135423566,238.05998410896328,226.87435171787936
130,7/9/2020,247.960007,-0.004867915,0.001368243,0.000932204,244.44292780891834,239.83557422193542,228.68663991003103
131,7/10/2020,250.110001,0.008633354,0.001358247,0.000990992,243.2644148100427,238.70262619846176,227.59336160661599
132,7/13/2020,249.619995,-0.001961084,0.001348023,0.000968627,245.41638610321112,240.8427363394789,229.64191070506837
133,7/14/2020,257.790009,0.032205593,0.001345169,0.001203492,244.92455209193912,240.36175316591874,229.28257091816488
