,Date,INTC,PDR,VAR,AVG,VAR70,VAR85,VAR99
187,9/29/2020,51.189999,-0.004677479,0.001377331,-0.000923547,50.35834097580097,49.41066333566166,47.09631595939955
188,9/30/2020,51.779999,0.011459774,0.001370816,-0.000857678,50.119030814972916,49.17387182603635,46.88036956973416
189,10/1/2020,52.240002,0.008844568,0.001364059,-0.000806344,50.70431755992371,49.75463315226666,47.43346121220907
190,10/2/2020,51.009998,-0.023826871,0.001359654,-0.000927504,51.16580481402614,50.20583567066518,47.85892228846107
191,10/5/2020,51.689999,0.013242667,0.001353581,-0.000853315,49.95036464382593,49.01501822136758,46.74058288893948
192,10/6/2020,51.369999,-0.006209995,0.00134668,-0.000881214,50.624719041412675,49.68078312813511,47.36873098991285
193,10/7/2020,52.669998,0.024991671,0.001343153,-0.000747158,50.30866777586688,49.374202399262415,47.10209956566315
194,10/8/2020,53.369999,0.013202776,0.001337227,-0.000675251,51.595458211223885,50.636734323249165,48.29103659050855
195,10/9/2020,52.82,-0.010358865,0.001330848,-0.000724911,52.286068389275066,51.316135153429045,48.955683020723306
196,10/12/2020,53.880001,0.019869463,0.001326211,-0.000619837,51.75058270751273,50.789137329251155,48.44345800293142
197,10/13/2020,53.830002,-0.0009284,0.001319479,-0.000621404,52.7975539618813,51.82237959668493,49.44918471841081
198,10/14/2020,53.549999,-0.005215192,0.001312921,-0.000644604,52.75126990715613,51.781053177772655,49.40384129135159
199,10/15/2020,53.849998,0.005586588,0.001306518,-0.000613292,52.47288630637169,51.50985010527746,49.15994113705222
200,10/16/2020,54.16,0.005740262,0.001300186,-0.000581524,52.77167476737324,51.804083059090296,49.44411127317502
201,10/19/2020,54.580002,0.007724923,0.001294059,-0.000540199,53.079329781087516,52.105297761341355,49.73642972226048
202,10/20/2020,53.43,-0.021295166,0.001289775,-0.000642946,53.4987032323473,52.52015501767337,50.13328878048082
203,10/21/2020,53.5,0.001309268,0.00128344,-0.000633329,52.36821263801679,51.41560513611892,49.08472430720641
204,10/22/2020,53.900002,0.007448861,0.001277467,-0.000593711,52.437362424866784,51.485752178601196,49.156138919038376
205,10/23/2020,48.200001,-0.111771473,0.001331237,-0.001136041,52.83498961884699,51.87777270555016,49.541711155024636
206,10/26/2020,46.720001,-0.031186682,0.001329137,-0.001281918,47.20331342959935,46.329237717421755,44.19111348456806
207,10/27/2020,45.639999,-0.023387857,0.001325065,-0.00138871,45.74755620396826,44.902178355351964,42.83375870609713
208,10/28/2020,44.25,-0.030929132,0.00132287,-0.001530731,44.68496039216724,43.8625751562935,41.846242861759876
209,10/29/2020,44.110001,-0.003168835,0.001316553,-0.001538569,43.319246966666576,42.521939811146154,40.58427464233174
210,10/30/2020,44.279999,0.003846548,0.001310421,-0.001512926,43.186018339612694,42.388338985004495,40.4411152227258
211,11/2/2020,44.459999,0.004056801,0.001304357,-0.001486529,43.352939251184786,42.55852357705868,40.618164415361385
212,11/3/2020,44.849998,0.008733658,0.001298695,-0.00143832,43.5322801833397,42.73497371531033,40.78774947477848
213,11/4/2020,45.700001,0.018774776,0.001294507,-0.001343423,43.91778187665924,43.11333110337362,41.16133087866718
214,11/5/2020,45.68,-0.000437754,0.001288462,-0.001339191,44.75876166555508,43.940704527380944,41.94707766107162
215,11/6/2020,45.389999,-0.006368771,0.001282586,-0.001362585,44.734435085333004,43.921316578937805,41.93110029464229
216,11/9/2020,45.599998,0.004615878,0.001276813,-0.001334906,44.45036594261671,43.64469925752708,41.67914719225628
217,11/10/2020,45.439999,-0.00351492,0.00127095,-0.001344953,44.661356511923465,43.85312706245306,41.88428895553283
218,11/11/2020,46.349998,0.019828496,0.001267167,-0.001247827,44.51114607458569,43.704753469172445,41.742440309416644
219,11/12/2020,44.950001,-0.030670466,0.001265316,-0.001382177,45.405435203769436,44.58758657099898,42.58958977750202
220,11/13/2020,45.459999,0.011282013,0.00126029,-0.001324612,44.031371491494674,43.23894330552956,41.2951090186672
221,11/16/2020,46.189999,0.015930506,0.001255929,-0.001246535,44.53375443873773,43.728899576365684,41.768250329323656
