,Date,CAH,PDR,VAR,AVG,VAR70,VAR85,VAR99
130,7/9/2020,48.880001,-0.028437935,0.001164378,-0.0001881,49.36803373584285,48.50897482184819,46.42384518381578
131,7/10/2020,49.360001,0.009772065,0.001156241,-0.000112069,47.97965555353399,47.148873959927386,45.11017994622323
132,7/13/2020,49.869999,0.0102792,0.001148294,-3.33e-05,48.44936025005697,47.61513706168124,45.57993737001327
133,7/14/2020,50.93,0.021032541,0.001142972,0.000125043,48.96462651403207,48.122667522391694,46.064779421561106
134,7/15/2020,52.09,0.022520851,0.001138157,0.000292176,50.01756744988344,49.1569922161794,47.05556768475379
135,7/16/2020,52.419998,0.006315168,0.001129993,0.000336791,51.16272182585591,50.29014712675654,48.1564792455265
136,7/17/2020,53.130001,0.0134536,0.00112294,0.000433238,51.49284100740262,50.61347229680066,48.467086264157835
137,7/20/2020,53.150002,0.000376383,0.001114743,0.000432823,52.19775703659741,51.30897891087207,49.13338636964879
138,7/21/2020,55.990002,0.052054997,0.001125836,0.000806897,52.22549712632555,51.338575258050184,49.177311349587555
139,7/22/2020,56.16,0.003031621,0.001117772,0.000822902,55.02616877190188,54.08817114713988,51.79316314966701
140,7/23/2020,56.549999,0.006920425,0.001110052,0.000866456,55.20034489269349,54.26421213023442,51.97537614087257
141,7/24/2020,56.5,-0.000884547,0.0011022,0.000854037,55.586580175266924,54.64675585282065,52.35264743941027
142,7/27/2020,57.48,0.017196423,0.001096306,0.000969124,55.541809571671884,54.60352924631336,52.31580979489686
143,7/28/2020,56.580002,-0.01578146,0.001090588,0.000851988,56.512530335142706,55.56061307039133,53.23131251186661
144,7/29/2020,57.700001,0.01960159,0.001085439,0.000982193,55.62441739674346,54.69141200148653,52.4134615697109
145,7/30/2020,56.48,-0.021370598,0.001081375,0.000828036,56.73545910966405,55.7794606325106,53.4624307714174
146,7/31/2020,54.619999,-0.033486495,0.001081978,0.000593005,55.53134629495651,54.602997905633835,52.326658540998366
147,8/3/2020,58.040001,0.060732348,0.001099054,0.001002116,53.69081616316249,52.793636979319416,50.58941967282251
148,8/4/2020,57.830002,-0.003624738,0.001091772,0.000970854,57.066998163623545,56.10399801409382,53.7560037138167
149,8/5/2020,57.599998,-0.003985174,0.001084608,0.000937592,56.864120967582096,55.908269236025504,53.58023339552165
150,8/6/2020,53.110001,-0.08115728,0.001122008,0.000390292,56.63422912087841,55.687246732966635,53.37466830334131
151,8/7/2020,52.580002,-0.010029396,0.001115292,0.000321288,52.17687974503077,51.29268192495988,49.11911576107301
152,8/10/2020,53.060001,0.00908751,0.001108457,0.00037896,51.65413124225015,50.78121671887966,48.64738911653733
153,8/11/2020,53.040001,-0.000377003,0.001101216,0.000374019,52.13529456948105,51.25378376796913,49.09328922350467
154,8/12/2020,53.82,0.014598781,0.00109537,0.000466388,52.113675334318806,51.24041756427412,49.09329314754274
155,8/13/2020,52.43,-0.026166199,0.00109285,0.000294565,52.890352683898804,52.00089289252796,49.82876143238292
156,8/14/2020,53.68,0.023561546,0.001089292,0.000443712,51.517771384156866,50.65100402918376,48.534873400498604
157,8/17/2020,52.73,-0.017855939,0.001084474,0.000327154,52.75502308884297,51.86955267292336,49.71218605776557
158,8/18/2020,52.049999,-0.012979778,0.001078724,0.000242933,51.813478392016336,50.94732583399763,48.82355828995676
159,8/19/2020,51.639999,-0.007908229,0.001072354,0.000191668,51.14747384551179,50.29536372993301,48.19582942314179
160,8/20/2020,50.16,-0.02907865,0.001070973,8.73e-06,50.74642034745091,49.90378828458566,47.83654537832142
161,8/21/2020,49.849998,-0.00619944,0.001064559,-2.98e-05,49.28043450412506,48.46114692818438,46.454597444580614
162,8/24/2020,49.799999,-0.001003492,0.001057994,-3.58e-05,48.97701568052713,48.16510726981471,46.189827400856515
163,8/25/2020,50.560001,0.015145806,0.001052908,5.73e-05,48.93051379020206,48.12257800582123,46.13722715427432
164,8/26/2020,50.950001,0.00768401,0.001046841,0.000103801,49.68392590460386,48.866551374370864,46.87383558788309
165,8/27/2020,50.669998,-0.005510799,0.001040686,6.98e-05,50.07220669679396,49.24741052671417,47.23183285451784
166,8/28/2020,50.5,-0.003360644,0.001034487,4.91e-05,49.795300396028274,48.982198354897186,46.98707660062571
167,8/31/2020,50.759998,0.005135267,0.001028447,7.96e-05,49.62675145170649,48.81942548069446,46.836474667006385
168,9/1/2020,49.34,-0.028373492,0.001027115,-8.98e-05,49.89101670405982,49.07761748389935,47.098455578206185
169,9/2/2020,50.990002,0.032894463,0.001027437,0.000105374,48.49141000288102,47.70023031810723,45.77651724411896
170,9/3/2020,50.02,-0.019206649,0.001023574,-8.23e-06,50.118277122708314,49.30263465057317,47.301553549404574
171,9/4/2020,49.720001,-0.006015639,0.001017798,-4.34e-05,49.16243714793413,48.36469877763077,46.405680893319555
172,9/8/2020,49.27,-0.00909191,0.001012354,-9.6e-05,48.87073009918721,48.0779207189213,46.144461694625825
173,9/9/2020,49.540001,0.005465068,0.00100668,-6.38e-05,48.42499078005374,47.64694700012441,45.72754232728681
174,9/10/2020,48.540001,-0.020392223,0.001003256,-0.00018065,48.69611587223162,47.90827664348672,45.983170337642235
175,9/11/2020,48.380001,-0.003301695,0.000997578,-0.000198485,47.70867578507011,46.93866028665012,45.05573413137955
176,9/14/2020,47.049999,-0.027875681,0.000996238,-0.000355742,47.55462073764506,46.79004388572292,44.91632865215445
177,9/15/2020,46.549999,-0.010683863,0.000991209,-0.000414093,46.2385634138309,45.49927224938782,43.68089150070555
178,9/16/2020,47.209999,0.014078731,0.000986814,-0.000332672,45.746126401534696,45.014403450720195,43.22278811484816
179,9/17/2020,47.299999,0.001904561,0.000981329,-0.000320174,46.3995734112032,45.66152275115134,43.85848748892342
180,9/18/2020,47.68,0.008001748,0.000976259,-0.000273941,46.49045729479335,45.75200560627108,43.93817042048008
181,9/21/2020,47.099998,-0.012239064,0.000971652,-0.000340047,46.86958029255256,46.12437434584218,44.30123069389964
182,9/22/2020,47.080002,-0.000424634,0.000966314,-0.000340511,46.29893978405022,45.56420305624834,43.762981752916026
183,9/23/2020,45.25,-0.039645655,0.000969429,-0.000555294,46.278661115475295,45.550083028455234,43.75986446066513
184,9/24/2020,45.810001,0.01229976,0.000965054,-0.000485429,44.469440833835904,43.76538678741299,42.03933609623733
185,9/25/2020,47.43,0.03475251,0.000966513,-0.000294954,45.02585801795628,44.31598567132097,42.57061836805674
186,9/28/2020,47.549999,0.002526828,0.000961359,-0.000279783,46.626311381557045,45.888601246996934,44.08619716168067
187,9/29/2020,46.889999,-0.013977356,0.000957216,-0.000353032,46.75045992233582,46.01401932985785,44.21307343323734
188,9/30/2020,46.950001,0.001278815,0.000952139,-0.000344352,46.095003113824504,45.37139024528381,43.5979708375415
189,10/1/2020,46.080002,-0.018704167,0.000948875,-0.000441494,46.15339016953268,45.432526280341406,43.66588560672092
190,10/2/2020,46.299999,0.00476288,0.000944023,-0.000414102,45.29854025915024,44.58849731533366,42.84789632980071
191,10/5/2020,47.150002,0.018192112,0.000940883,-0.000316688,45.51967513980586,44.80836822278705,43.06830232178123
192,10/6/2020,46.470001,-0.014527087,0.000937029,-0.0003907,46.36227962361044,45.63955886748477,43.86953649182518
193,10/7/2020,47.150002,0.014527087,0.000933321,-0.000313406,45.69060213151561,44.97706547007413,43.228524727169
194,10/8/2020,48.68,0.031934217,0.000933843,-0.000147181,46.36459042833793,45.642814646704146,43.87519046183491
195,10/9/2020,48.029999,-0.013442473,0.000929956,-0.000215362,47.87769248643573,47.13353402616117,45.309769063269265
196,10/12/2020,48.32,0.006019759,0.000925408,-0.00018355,47.234226302954724,46.501282124567375,44.70259547235981
197,10/13/2020,47.919998,-0.008312642,0.000921045,-0.000224815,47.52866181645145,46.79044568558206,44.99066985937272
198,10/14/2020,48.369999,0.009346854,0.000916853,-0.000176473,47.134261355292075,46.40732557960186,44.627642383515635
199,10/15/2020,48.919998,0.011306504,0.000912905,-0.000118769,47.57982323242676,46.850002469486945,45.057773593423526
200,10/16/2020,48.790001,-0.002660876,0.000908373,-0.00013148,48.12074763363388,47.38185493527012,45.57696786923182
201,10/19/2020,47.900002,-0.018409848,0.000905507,-0.000222417,47.99520582849315,47.25914452085861,45.45999974439428
202,10/20/2020,47.709999,-0.003974548,0.000901094,-0.000240992,47.11810664116673,46.398359353131255,44.63089505162985
203,10/21/2020,47.830002,0.002512101,0.000896692,-0.00022743,46.93007576137572,46.216185504374,44.463702871551384
204,10/22/2020,48.77,0.01946227,0.000894188,-0.000130912,47.052378150654754,46.33660400303175,44.57986719501455
205,10/23/2020,49.34,0.011619741,0.000890496,-7.36e-05,47.98380820376698,47.25425933652631,45.46397202433832
206,10/26/2020,48.029999,-0.026909316,0.000889652,-0.000203862,48.55096705485792,47.81642027454721,46.01349622469914
207,10/27/2020,47.48,-0.011517225,0.00088597,-0.000258516,47.25281645697092,46.53742904203213,44.77891769257045
208,10/28/2020,45.959999,-0.032537139,0.000886696,-0.000413702,46.70861981200355,46.00348321809881,44.27532475315585
