,Date,CVX,PDR,VAR,AVG,VAR70,VAR85,VAR99
159,8/19/2020,86.389999,-0.014251454,0.002036153,-0.002141296,85.32083595912945,83.36706983776774,78.6475651824655
160,8/20/2020,84.809998,-0.01845848,0.002025081,-0.002243278,84.10292205733167,82.17802269681302,77.52656049333584
161,8/21/2020,85.080002,0.003178577,0.002012684,-0.002209602,82.5690175149552,80.68971138888047,76.14177312371046
162,8/24/2020,87.199997,0.024612283,0.002004674,-0.002044035,82.84660409252925,80.96078016591314,76.38920064941537
163,8/25/2020,86.129997,-0.012346549,0.001993022,-0.002107241,84.9174599951804,82.99648383826107,78.35469846646544
164,8/26/2020,84.779999,-0.015798094,0.001982006,-0.002190721,83.86860379955073,81.97491135379337,77.40901241885024
165,8/27/2020,84.910004,0.001532265,0.001970077,-0.002168158,82.55422513450975,80.6866197507434,76.20807526795815
166,8/28/2020,85.629997,0.008443735,0.001958884,-0.002104231,82.68428748316386,80.8295143959228,76.32956281109217
167,8/31/2020,83.93,-0.020052536,0.001949071,-0.002211706,83.41170908028856,81.53991436258681,77.04663435103886
168,9/1/2020,83.080002,-0.010179095,0.001937845,-0.002259131,81.74267846873889,79.92550015302558,75.48569576843902
169,9/2/2020,83.190002,0.001323149,0.001926454,-0.002237934,80.9168140381708,79.1194178707955,74.75691277634263
170,9/3/2020,82.279999,-0.01099912,0.001915571,-0.00228947,81.03251417274389,79.23052123674105,74.84352858363563
171,9/4/2020,81.93,-0.004262828,0.001904391,-0.00230101,80.15420594646625,78.37574678023071,74.04970386739816
172,9/8/2020,78.970001,-0.036797178,0.001900198,-0.002501569,79.8156873239568,78.0456887513987,73.77317475315942
173,9/9/2020,80.029999,0.013333506,0.001890655,-0.002410037,76.91702212649425,75.21463195101356,71.1003590908673
174,9/10/2020,78.150002,-0.023771469,0.001882396,-0.002532804,77.96369954521555,76.24478096128746,72.0755286007964
175,9/11/2020,77.690002,-0.005903508,0.001871704,-0.002552065,76.13085983337206,74.45591826783611,70.3979556544946
176,9/14/2020,77.290001,-0.005161981,0.001861108,-0.002566894,75.68132505479325,74.02523393299954,70.03310662893479
177,9/15/2020,76.349998,-0.012236589,0.001851119,-0.002621525,75.29588077221281,73.6533529536683,69.66378782578367
178,9/16/2020,78.559998,0.028534633,0.001846142,-0.002446491,74.38514226028408,72.7674430598944,68.85792385429346
179,9/17/2020,78.790001,0.002923459,0.001835989,-0.002416491,76.54971669008332,74.88563314900838,70.84198795157383
180,9/18/2020,78.209999,-0.007388594,0.001825925,-0.002444114,76.7797588009833,75.10821528375425,71.06584498275733
181,9/21/2020,76.300003,-0.024724526,0.001818565,-0.00256721,76.2218037497532,74.5771644333317,70.57328363326462
182,9/22/2020,75.529999,-0.010143063,0.001808886,-0.002608835,74.35850492254427,72.75088208164115,68.8449668078733
183,9/23/2020,71.949997,-0.048558523,0.001810476,-0.002859927,73.60733103878724,72.02383312260808,68.16082905012306
184,9/24/2020,71.800003,-0.002086874,0.00180064,-0.002855725,70.10304172462818,68.59596506311979,64.92951957785854
185,9/25/2020,71.830002,0.000417726,0.001790964,-0.002838031,69.95463986209187,68.4499405356956,64.80748343348371
186,9/28/2020,73.93,0.028816456,0.001786693,-0.002667846,69.9871313736679,68.48639928351075,64.82600502038018
187,9/29/2020,71.900002,-0.027842407,0.00178051,-0.002802469,72.05076014211481,70.50021625152314,66.7588688820175
188,9/30/2020,72.0,0.001389826,0.001771132,-0.002780169,70.0678275740615,68.5693749611286,64.92827783662484
189,10/1/2020,70.419998,-0.022188834,0.001763744,-0.002882861,70.17388770616658,68.68276496978515,65.05128590780787
190,10/2/2020,71.190002,0.010875102,0.001755452,-0.00281045,68.63215737925469,67.16799614345955,63.6227695658893
191,10/5/2020,72.699997,0.020988956,0.001749211,-0.002685846,69.38644674550432,67.91494332326026,64.336037711276
192,10/6/2020,72.300003,-0.005517173,0.001740142,-0.002700593,70.8689190746846,69.36861621101092,65.71939656481108
193,10/7/2020,73.779999,0.020263508,0.001733844,-0.002581608,70.49154678704221,68.99775426082388,65.39788881082966
194,10/8/2020,75.220001,0.019329488,0.001727368,-0.002468664,71.93965116826035,70.41546907485129,66.74875004883684
195,10/9/2020,74.0,-0.016352073,0.001719494,-0.002539861,73.34920870318867,71.81144497377163,68.06167629746534
196,10/12/2020,74.510002,0.006868278,0.00171117,-0.00249186,72.16191982857578,70.64394423735986,66.96431719639374
197,10/13/2020,73.400002,-0.015009409,0.001703275,-0.002555401,72.6657380865945,71.14514768869006,67.45716884452874
198,10/14/2020,72.949997,-0.006149729,0.001694738,-0.002573554,71.58975848079162,70.09208565176453,66.44620446832792
199,10/15/2020,73.510002,0.007647245,0.001686744,-0.002522193,71.1494310185055,69.6665672712928,66.08339292860013
200,10/16/2020,72.889999,-0.008470037,0.001678486,-0.002551933,71.69914694756503,70.20952723463803,66.57091861418296
201,10/19/2020,71.279999,-0.022335673,0.001672073,-0.002650359,71.10467903872905,69.62562422570875,66.0409976049767
202,10/20/2020,71.68,0.005596,0.00166413,-0.002609536,69.52954648559802,68.08684792320831,64.5916046732355
203,10/21/2020,70.870003,-0.011364514,0.001656308,-0.002652664,69.92277446340199,68.48193752079898,64.9722587775057
204,10/22/2020,73.400002,0.035076708,0.001655133,-0.002467716,69.12924223011916,67.70356719023499,64.2397312198955
205,10/23/2020,72.57,-0.01137235,0.001647444,-0.002511153,71.6104975558303,70.14166820071625,66.55745054586777
206,10/26/2020,70.940002,-0.022717136,0.001641419,-0.00260924,70.8120342675855,69.3522889663654,65.82743411122449
207,10/27/2020,69.510002,-0.020363822,0.001635005,-0.002695011,69.20690038745086,67.7881492556296,64.33511062944528
208,10/28/2020,66.879997,-0.038570732,0.001633302,-0.002867491,67.81118636198084,66.42155030298593,63.05984917265612
209,10/29/2020,68.800003,0.028303865,0.001630114,-0.002718345,65.23121400317092,63.89874135635581,60.632725739081174
210,10/30/2020,69.5,0.010122964,0.001623133,-0.002657196,67.12507115982831,65.7518975601899,62.39919232568302
211,11/2/2020,72.150002,0.03742056,0.001623017,-0.002467254,67.80689723297192,66.42147977602713,63.05607757369493
212,11/3/2020,71.739998,-0.005698869,0.00161541,-0.002482498,70.41435440304527,68.97494644630865,65.48788368568844
213,11/4/2020,71.769997,0.000418075,0.001607866,-0.00246888,70.01812273946854,68.59518933779337,65.10925099933056
