,Date,WMT,PDR,VAR,AVG,VAR70,VAR85,VAR99
113,6/15/2020,118.080002,0.002883591,0.000630058,-6.42e-05,116.14263754931805,114.65550588008057,110.98323436969075
114,6/16/2020,119.650002,0.013208453,0.000626063,5.22e-05,116.49580173594269,115.00884983942728,111.33289984971697
115,6/17/2020,119.029999,-0.005195277,0.000620856,6.58e-06,118.06121346529928,116.55852039347242,112.86802858201312
116,6/18/2020,117.989998,-0.008775696,0.000616163,-6.91e-05,117.45433978177547,115.9671934870745,112.29512950104416
117,6/19/2020,119.849998,0.015641086,0.000612988,6.51e-05,116.41328314293708,114.94847528966453,111.34099955569343
118,6/22/2020,121.68,0.015153704,0.000609706,0.000193012,118.2791303646183,116.7832434045115,113.10670252718728
119,6/23/2020,121.07,-0.005025757,0.00060481,0.000149157,120.09984525407197,118.60011036110758,114.86690954032636
120,6/24/2020,120.300003,-0.006380243,0.000600122,9.47e-05,119.50161710410553,118.00764424800089,114.31497079934904
121,6/25/2020,119.709999,-0.004916505,0.000595368,5.33e-05,118.73846886719491,117.25613375836818,113.61478575829219
122,6/26/2020,118.32,-0.011679325,0.000591607,-4.28e-05,118.15062525512094,116.68612696748717,113.09747019551736
123,6/29/2020,119.059998,0.006234733,0.000587115,8.2e-06,116.78584431562949,115.34362394570527,111.78709605631681
124,6/30/2020,119.779999,0.006029168,0.00058267,5.68e-05,117.51951241524431,116.06928092016338,112.48938104446168
125,7/1/2020,119.690002,-0.000751635,0.000578014,5.03e-05,118.24702311575122,116.79474892559297,113.21905141820073
126,7/2/2020,119.209999,-0.004018448,0.000573557,1.8e-05,118.17031658204286,116.72231043914228,113.15469709272617
127,7/6/2020,118.889999,-0.002687948,0.000569098,-3.31e-06,117.68726280886276,116.25481394595823,112.73463515595475
128,7/7/2020,126.949997,0.065594597,0.000598007,0.000509173,117.37791649430463,115.95816189945194,112.44327302239329
129,7/8/2020,124.440002,-0.019969596,0.000596597,0.000350423,125.35238178330336,123.78902831797413,119.93067588785394
130,7/9/2020,127.75,0.026251541,0.000597129,0.000549662,122.85562755007498,121.3304341399405,117.5720827438561
131,7/10/2020,130.679993,0.022676304,0.00059628,0.000718568,126.15834096006533,124.58880453093103,120.70830286236453
132,7/13/2020,129.520004,-0.008916193,0.00059246,0.000645577,129.0740012839381,127.4687123594213,123.51678371217434
133,7/14/2020,132.009995,0.019042299,0.000590531,0.000783898,127.92025557088849,126.33827951245495,122.42261882604043
134,7/15/2020,132.0,-7.57e-05,0.00058613,0.000777483,130.3947514113318,128.78728707999727,124.808688316763
135,7/16/2020,132.199997,0.001513982,0.000581792,0.000782939,130.39458889345212,128.7837542515379,124.82474356704182
136,7/17/2020,131.740005,-0.003485584,0.000577647,0.000751553,130.60160856734717,129.00365857367365,125.04722260341666
137,7/20/2020,131.470001,-0.002051625,0.000573488,0.000731091,130.15115745297723,128.56096978015808,124.64362866492368
138,7/21/2020,132.330002,0.006520122,0.000569573,0.000773041,129.88265206630368,128.29646387745026,124.41720552267462
139,7/22/2020,132.660004,0.002490676,0.000565496,0.000785398,130.74546672436986,129.15064232554317,125.24348636490807
140,7/23/2020,131.639999,-0.007718578,0.00056197,0.000724655,131.08467290425853,129.49812730753,125.57348239637246
141,7/24/2020,131.240005,-0.00304317,0.000558084,0.000697933,130.07092796426392,128.49499518496344,124.62668621452569
142,7/27/2020,131.210007,-0.0002286,0.00055416,0.000691408,129.67942624671255,128.11792395148703,124.2787380690421
143,7/28/2020,131.759995,0.004182901,0.00055037,0.000715824,129.64530823212866,128.0951661437428,124.26503709931936
144,7/29/2020,130.690002,-0.008153926,0.00054709,0.000654229,130.20436857751986,128.6476919233545,124.80646289566229
145,7/30/2020,130.119995,-0.004371059,0.00054349,0.000619572,129.1438354310218,127.60319907825466,123.82817537520559
146,7/31/2020,129.399994,-0.005548727,0.000540026,0.000577323,128.5912275497567,127.0603240364105,123.3088734489159
147,8/3/2020,129.300003,-0.000773027,0.000536365,0.000568137,127.87706650613615,126.3626340154359,122.64352735503718
148,8/4/2020,131.639999,0.017935607,0.000534765,0.000685485,127.77407981501999,126.26582352416168,122.55623607449787
149,8/5/2020,129.809998,-0.013999089,0.000532614,0.000586931,130.10123433554983,128.56465999262625,124.79899241248262
150,8/6/2020,129.350006,-0.003549872,0.000529176,0.000559352,128.296446371853,126.78669534938508,123.05219982436012
151,8/7/2020,129.970001,0.004781707,0.000525789,0.000587314,127.83557207271947,126.33224606020559,122.64069233599503
152,8/10/2020,131.880005,0.014588794,0.000523611,0.000679429,128.45674604965944,126.9607966026695,123.24865148918265
153,8/11/2020,130.199997,-0.012820749,0.000521372,0.000591193,130.3601408004968,128.84222961707337,125.11534419920666
154,8/12/2020,131.889999,0.012896528,0.000518964,0.000671098,128.69244097799208,127.19995661063746,123.51033251675047
155,8/13/2020,131.850006,-0.000303276,0.000515622,0.000664811,130.3743793659946,128.8626688887823,125.13427105790319
156,8/14/2020,132.600006,0.005672165,0.000512476,0.00069691,130.33568120897507,128.8305050429941,125.09817721797221
157,8/17/2020,135.600006,0.022372297,0.000512185,0.00083497,131.09208628691843,129.57872489902255,125.84860330299341
158,8/18/2020,134.710007,-0.006585048,0.00050929,0.000788008,134.06986264513318,132.52801585311428,128.71517954282308
159,8/19/2020,132.410004,-0.017221172,0.000508114,0.000674742,133.19978516234212,131.67040897387156,127.87972255801559
160,8/20/2020,130.570007,-0.013993665,0.000506274,0.000583065,130.91019456589078,129.40814093433693,125.71492683178208
161,8/21/2020,131.630005,0.008085459,0.000503477,0.000629663,129.07974783967313,127.60440488409158,123.96185267870817
162,8/24/2020,131.330002,-0.00228174,0.000500421,0.000611692,130.14162927437903,128.65453479648997,124.98506369474401
163,8/25/2020,130.630005,-0.005344317,0.000497568,0.000575152,129.84544934643608,128.37158521175655,124.72084371813654
164,8/26/2020,130.699997,0.00053566,0.000494534,0.000574911,129.14787416395706,127.68748623312496,124.05681662593597
165,8/27/2020,136.630005,0.044371981,0.000503091,0.000840348,129.23437875685897,127.76751793074867,124.14270871583734
166,8/28/2020,140.300003,0.02650643,0.000504005,0.000994963,135.1095466364358,133.57563743485488,129.7451695808589
167,8/31/2020,138.850006,-0.010388752,0.000501759,0.000926797,138.75838835647596,137.16848452361467,133.25591190284504
168,9/1/2020,147.589996,0.061043875,0.000520156,0.001284637,137.32561429181862,135.7582807799348,131.89230903271644
169,9/2/2020,147.679993,0.000609591,0.000517081,0.001280642,145.99025494984357,144.29386792948307,140.10592813346622
170,9/3/2020,144.539993,-0.021491486,0.000517072,0.001146689,146.0811749075623,144.3856052734305,140.21927194063636
171,9/4/2020,142.830002,-0.011901112,0.000515038,0.001070386,142.95061281678258,141.29682734253768,137.208536415519
172,9/8/2020,138.449997,-0.031145898,0.000518042,0.000883082,141.25722074281373,139.6249559718183,135.58491690436227
173,9/9/2020,139.889999,0.010347164,0.000515563,0.000937787,136.8861408514406,135.30342939158834,131.38574022936103
174,9/10/2020,136.809998,-0.022263305,0.000515676,0.000804448,138.3241865530214,136.72804409211216,132.79380431736894
175,9/11/2020,136.699997,-0.000804366,0.000512744,0.000795255,135.26469986626435,133.70042000851808,129.8374311094374
176,9/14/2020,137.320007,0.004525298,0.000509909,0.000816448,135.16116294584032,133.59912193725478,129.7726797882966
177,9/15/2020,137.360001,0.000291204,0.00050703,0.00081348,135.7820711907957,134.21960818154886,130.36514816461266
178,9/16/2020,136.259995,-0.008040435,0.000504619,0.000763739,135.82220644527138,134.27114976155875,130.4441633501358
179,9/17/2020,136.690002,0.003150814,0.000501832,0.000777075,134.72999465457667,133.18475679538764,129.3654876577952
180,9/18/2020,135.289993,-0.010295032,0.000499721,0.000715563,135.16401914989856,133.62208761376402,129.82389616006043
181,9/21/2020,137.070007,0.013071224,0.000497799,0.000783827,133.77459325480058,132.25144919383925,128.49228998605648
182,9/22/2020,138.309998,0.009005733,0.000495433,0.000829002,135.54389055243828,134.00353622468154,130.1889044333627
183,9/23/2020,135.990005,-0.016916138,0.000494437,0.000732034,136.78364342630422,135.23856646923474,131.39003685567502
184,9/24/2020,136.699997,0.005207331,0.000491858,0.000756356,134.4763541960525,132.95774176933347,129.20273190298323
185,9/25/2020,137.270004,0.004161097,0.000489262,0.00077476,135.18349774935382,133.65918812549793,129.89127471556907
186,9/28/2020,137.25,-0.000145738,0.000486636,0.000769811,135.7562350349383,134.22507190278768,130.44904157802316
187,9/29/2020,137.139999,-0.000801786,0.000484047,0.000761407,135.74461134175877,134.2195919854166,130.4636418686639
188,9/30/2020,139.910004,0.019997093,0.00048343,0.000863724,135.63080758588177,134.1126177154101,130.35147143113952
189,10/1/2020,143.080002,0.022404541,0.000483314,0.000977697,138.39288061099742,136.8397292901415,133.01033209916875
190,10/2/2020,140.5,-0.01819644,0.000482695,0.000876781,141.545004933981,139.95710322922173,136.04045046439137
191,10/5/2020,141.800003,0.009210146,0.000480529,0.000920411,138.98189729088455,137.42584405118183,133.60967007181935
192,10/6/2020,140.630005,-0.008285272,0.000478466,0.000872464,140.27891682127748,138.7139488254016,134.8456625704619
193,10/7/2020,140.889999,0.001847074,0.000475991,0.000877514,139.1131956403196,137.56404168307677,133.736837184046
194,10/8/2020,141.360001,0.003330398,0.000473569,0.000890158,139.37318296893875,137.82632401418294,134.00246205144697
195,10/9/2020,142.779999,0.009995142,0.000471563,0.00093685,139.84630331188535,138.2955810277005,134.46007999922114
196,10/12/2020,144.25,0.010242928,0.000469597,0.00098433,141.25872288239617,139.69754360373463,135.8282507439631
197,10/13/2020,146.229996,0.013632792,0.000468021,0.001048536,142.72064609587122,141.14020089526875,137.24876362768097
198,10/14/2020,143.940002,-0.015784137,0.000467081,0.000963522,144.69531774900824,143.10003217389587,139.16455236856126
199,10/15/2020,144.529999,0.004090532,0.000464783,0.000979236,142.41089156780265,140.84721281253988,136.969367259781
200,10/16/2020,144.710007,0.001244697,0.000462459,0.000980563,143.01708644260484,141.44238521575252,137.58370008574903
201,10/19/2020,142.949997,-0.01223689,0.000461023,0.000914805,143.19818906394,141.63029203753766,137.74626024349024
202,10/20/2020,143.899994,0.006623674,0.000458902,0.000943066,141.44543488120328,139.90303623039665,136.06654549794172
203,10/21/2020,144.399994,0.003468613,0.000456672,0.000955507,142.39296302626752,140.83765351721738,137.01007310143873
204,10/22/2020,143.550003,-0.005903757,0.000454663,0.000921884,142.89567630043607,141.3448306575294,137.4778949369608
205,10/23/2020,143.850006,0.002087704,0.000452452,0.00092757,142.04766750575047,140.51088603779766,136.7066538739749
206,10/26/2020,142.160004,-0.01181792,0.00045104,0.000865699,142.35035851583402,140.8136583815297,136.98640886738644
207,10/27/2020,142.869995,0.004981879,0.000448943,0.000885584,140.67045798011435,139.14537807318703,135.39617445569615
208,10/28/2020,140.039993,-0.020007045,0.000448873,0.000785139,141.3823983215907,139.8527984608028,136.1074003259857
209,10/29/2020,139.919998,-0.00085723,0.000446738,0.000777281,138.5692912415944,137.07425179750757,133.3924076211947
210,10/30/2020,138.75,-0.008397064,0.00044501,0.000733593,138.45017679103861,136.96062545395637,133.2919727052776
211,11/2/2020,140.399994,0.011821696,0.00044348,0.000786143,137.2954638874529,135.81891309004504,132.1746089229319
212,11/3/2020,142.779999,0.016809528,0.000442594,0.000861725,138.939703898885,137.45112901553873,133.77890245942191
213,11/4/2020,141.960007,-0.0057596,0.000440721,0.000830639,141.30368226098886,139.78850438177508,136.0501456873246
214,11/5/2020,143.470001,0.010580584,0.000439104,0.0008762,140.49161788618255,138.9888412359695,135.29233590747302
215,11/6/2020,145.770004,0.015904103,0.000438107,0.000946097,142.0002217801753,140.48312372048542,136.72825751010535
216,11/9/2020,143.539993,-0.015416371,0.000437312,0.000870345,144.28411533104241,142.74772692725043,138.93116083268
217,11/10/2020,145.559998,0.013974666,0.000436085,0.000930734,142.0628639097529,140.54540470902663,136.80691627549285
218,11/11/2020,147.979996,0.016488743,0.00043519,0.001002101,144.08173577283864,142.54971949484838,138.76211060149436
219,11/12/2020,148.229996,0.001687992,0.000433205,0.001005232,146.48783255449965,144.92326344430631,141.06814537570762
220,11/13/2020,150.539993,0.015463689,0.000432181,0.001070953,146.7471996116148,145.18762650430267,141.33318653378785
221,11/16/2020,152.440002,0.012542306,0.000430818,0.001122859,149.03124190948134,147.45250389640398,143.55221567540434
222,11/17/2020,149.369995,-0.020344673,0.000430944,0.001026159,150.92038660732618,149.32641189186776,145.3821268245286
223,11/18/2020,149.089996,-0.001876292,0.00042905,0.001013143,147.8738168962262,146.30816577314164,142.43494520513096
224,11/19/2020,152.119995,0.020119527,0.000428757,0.00109844,147.59560605668273,146.04537799900754,142.20121849261528
225,11/20/2020,150.240005,-0.012435601,0.000427661,0.001038288,150.61057578414608,149.02583889325405,145.11370093787863
226,11/23/2020,150.929993,0.004582058,0.000425824,0.001053969,148.73521857726465,147.1697130708294,143.29801511827432
