,Date,BA,PDR,VAR,AVG,VAR70,VAR85,VAR99
103,6/1/2020,151.389999,0.037280545,0.005044225,-0.00766256,138.98502362284637,134.0168670341762,122.27961504533147
104,6/2/2020,153.309998,0.01260272,0.004999634,-0.007467702,144.37487718456242,139.21015153913123,127.07729473636779
105,6/3/2020,173.160004,0.121754043,0.005109535,-0.006237019,146.271379800105,141.0612839916496,128.80883637866202
106,6/4/2020,184.300003,0.062348835,0.005105291,-0.005589982,165.33689969549243,159.39399016188293,145.3556218589121
107,6/5/2020,205.429993,0.108540428,0.005178176,-0.004523343,176.1044147747233,169.78049269734385,154.84967032712765
108,6/8/2020,230.5,0.115145553,0.005261601,-0.003415298,196.42056258271836,189.3128838532515,172.48344680035055
109,6/9/2020,216.740005,-0.061552361,0.005244053,-0.003948665,220.5277388213016,212.50128000179228,193.54501852853568
110,6/10/2020,203.410004,-0.063474835,0.0052283,-0.004489812,207.32317305210972,199.74328991120737,181.9730752171976
111,6/11/2020,170.0,-0.179425229,0.005454411,-0.006065807,194.458304187328,187.3693681127679,170.7445949193008
112,6/12/2020,189.509995,0.10864333,0.005522146,-0.005041618,162.08890428014482,156.08561257321404,141.8676442072712
113,6/15/2020,190.940002,0.007517486,0.005474661,-0.004930476,180.87234738381818,174.08418419773275,158.13877083147955
114,6/16/2020,197.770004,0.035145507,0.005440602,-0.004578932,182.2821433930736,175.5154633737401,159.57222264328072
115,6/17/2020,192.539993,-0.026800872,0.00539755,-0.004772166,188.88360986770653,181.8777145618864,165.41370707679624
116,6/18/2020,192.289993,-0.001299275,0.005351122,-0.004742228,183.90175037805298,177.12872121702387,161.05198535884344
117,6/19/2020,187.020004,-0.027789028,0.005309887,-0.004939209,183.7074658657472,176.93869762458482,160.94535456619383
118,6/22/2020,188.520004,0.007988539,0.005266292,-0.004829652,178.65213304672827,172.11776363114421,156.71095287453707
119,6/23/2020,187.880005,-0.003400636,0.005222055,-0.004817643,180.14073032235274,173.56458904227162,158.01541447348808
120,6/24/2020,176.690002,-0.061406692,0.005205001,-0.005289218,179.5595624842574,173.02874348720403,157.59351689494648
121,6/25/2020,174.880005,-0.010296743,0.00516219,-0.005330603,168.75571850408767,162.63744421725605,148.22225154648916
122,6/26/2020,170.009995,-0.028242824,0.005124145,-0.005518408,167.0971360727892,161.0552846073881,146.85521000632684
123,6/29/2020,194.490005,0.134523544,0.005240634,-0.004379856,162.42762588558307,156.5916274836058,142.72007854165236
