,Date,CVS,PDR,VAR,AVG,VAR70,VAR85,VAR99
134,7/15/2020,64.580002,0.013720218,0.000894129,-0.00103224,62.61189376669392,61.65899610585161,59.30169671478512
135,7/16/2020,64.989998,0.006328585,0.000887904,-0.000977716,63.48223452599127,62.51458417953412,60.147211762706185
136,7/17/2020,65.360001,0.005677085,0.000881698,-0.000928783,63.893002493586266,62.92897012878982,60.54247337741238
137,7/20/2020,63.91,-0.022434622,0.000878614,-0.00108576,64.2677085900165,63.294408607434626,60.917448852139536
138,7/21/2020,64.519997,0.009499363,0.000873053,-0.001009056,62.82323137060235,61.88292849238978,59.55785533779752
139,7/22/2020,63.779999,-0.011535561,0.000867564,-0.001084787,63.43556716186898,62.48465910362227,60.15044701513275
140,7/23/2020,63.790001,0.000156808,0.000861378,-0.001075918,62.70639776848847,61.7673847851953,59.46975449131262
141,7/24/2020,63.34,-0.007079413,0.000855522,-0.001118496,62.721186640589515,61.7847917192364,59.485738969984396
142,7/27/2020,62.57,-0.012231111,0.000850361,-0.001196754,62.282079501826544,61.35401394093851,59.08242422954382
143,7/28/2020,63.27,0.011125353,0.000845469,-0.001110585,61.52195521472928,60.61072643861093,58.369442326421236
144,7/29/2020,64.220001,0.014903421,0.000841366,-0.000999377,62.21582178761344,61.29827174625339,59.03131931964395
145,7/30/2020,64.0,-0.003431621,0.000835604,-0.001016151,63.16006253853913,62.22789445117347,59.935144000701996
146,7/31/2020,62.939999,-0.016701208,0.000831554,-0.001123583,62.9477111857016,62.02462677275726,59.75113011298417
147,8/3/2020,63.860001,0.014511327,0.000827549,-0.001017223,61.904820400272804,60.99898088942179,58.774661465475525
148,8/4/2020,64.980003,0.017386373,0.000824231,-0.000892874,62.81476495143934,61.89580346182778,59.65044129876105
149,8/5/2020,64.400002,-0.008965912,0.000819133,-0.000947056,63.92424711180412,62.99267024332453,60.69916434832391
150,8/6/2020,64.120003,-0.00435729,0.000813749,-0.000969791,63.34976441474216,62.429931544019716,60.168126924306144
151,8/7/2020,64.959999,0.013015306,0.000809647,-0.000877174,63.08171447288974,62.16438398038317,59.91534245725371
152,8/10/2020,65.709999,0.011479425,0.000805318,-0.000795881,63.918030875967666,62.99461152558222,60.723914601436775
153,8/11/2020,65.260002,-0.006871784,0.000800294,-0.000835593,64.66407523245657,63.732018705257765,61.43995394200461
154,8/12/2020,64.989998,-0.004145941,0.000795168,-0.000857088,64.21714193855964,63.29276725461704,61.03634904668418
155,8/13/2020,64.699997,-0.004472226,0.000790122,-0.000880412,63.952074179441595,63.03733548051293,60.794139017234635
156,8/14/2020,65.669998,0.014881015,0.000786639,-0.000779377,63.67337958952373,62.7613924699008,60.52589327790461
157,8/17/2020,64.900002,-0.011794515,0.000782397,-0.000849537,64.6325805772864,63.71167030070816,61.44648935634108
158,8/18/2020,65.18,0.004305019,0.000777612,-0.000816913,63.8778965107625,62.969593858004586,60.736562051634714
159,8/19/2020,65.279999,0.001533022,0.000772756,-0.000802134,64.1572552552532,63.24807056364546,61.01078399598781
160,8/20/2020,63.720001,-0.024187195,0.000771323,-0.00094829,64.25860024526871,63.350197610818235,61.11741479604735
161,8/21/2020,63.939999,0.003446627,0.000766651,-0.000920993,62.713517815620044,61.82655239269248,59.6509435092965
162,8/24/2020,63.869999,-0.001095376,0.000761919,-0.000922069,62.93764359460501,62.05200986381834,59.88023567831467
163,8/25/2020,63.470001,-0.006282383,0.00075742,-0.000954955,62.87288215148037,61.98825923336609,59.81497245956489
164,8/26/2020,62.700001,-0.012205905,0.000753569,-0.001023558,62.48031269618878,61.603783313969274,59.45095852114809
165,8/27/2020,63.389999,0.010944641,0.000749864,-0.000951023,61.72031153145906,60.85922507592304,58.745086010546
166,8/28/2020,63.209999,-0.002843604,0.000745368,-0.000962425,62.40335413955507,61.53089157917144,59.394743058925656
167,8/31/2020,62.119999,-0.017394518,0.000742512,-0.00106082,62.23112182054453,61.36468632406656,59.24821032207763
168,9/1/2020,60.279999,-0.030067625,0.000743071,-0.00123348,61.15260454731268,60.30589665547639,58.22061275632608
169,9/2/2020,60.91,0.010397008,0.00073947,-0.00116466,59.32587419158854,58.50455567243811,56.48289189901241
170,9/3/2020,60.450001,-0.007580771,0.000735361,-0.001202402,59.95370050767514,59.12784234245474,57.0951974451681
