,Date,CAT,PDR,VAR,AVG,VAR70,VAR85,VAR99
141,7/24/2020,137.580002,0.00714859,0.001140119,-0.000637992,134.02779344887713,131.72023408513925,126.10790034167925
142,7/27/2020,139.889999,0.016650812,0.00113418,-0.000516239,135.00737498591988,132.68540072395012,127.03619129659364
143,7/28/2020,138.029999,-0.013385347,0.001127399,-0.000606233,137.28138129052914,134.93981135845644,129.17952891286703
144,7/29/2020,140.529999,0.017949936,0.001121944,-0.000477371,135.4595027518669,133.15445618931417,127.53521577309421
145,7/30/2020,136.729996,-0.027412833,0.001119176,-0.000663133,137.93081724114293,135.5878940599882,129.86647738268914
146,7/31/2020,132.880005,-0.028561646,0.001116805,-0.000854218,134.1890409390531,131.911584507596,126.3610280214571
147,8/3/2020,131.779999,-0.008312645,0.001109583,-0.000904956,130.39080863819532,128.17568234990205,122.78338736027695
148,8/4/2020,131.520004,-0.001974896,0.001102094,-0.000912185,129.31270849159492,127.12965704463615,121.7738936525364
149,8/5/2020,134.970001,0.025893577,0.001099487,-0.000732281,129.0629227979279,126.89349317450939,121.58973343289237
150,8/6/2020,134.389999,-0.004306526,0.001092242,-0.000756109,132.4704025793022,130.2433378440236,124.78457823795165
151,8/7/2020,134.919998,0.003935982,0.001085153,-0.000725036,131.9063539142256,129.6964412682286,124.27664112232064
152,8/10/2020,142.020004,0.051285926,0.001095694,-0.000382858,132.44371678303574,130.23105113119198,124.81227148356501
153,8/11/2020,142.529999,0.003584576,0.001088635,-0.000356927,139.44684607597054,137.09952865116873,131.3571795012409
154,8/12/2020,142.570007,0.000280659,0.001081568,-0.000352787,139.96819105140813,137.6205506751136,131.8684284966966
155,8/13/2020,140.669998,-0.013416449,0.001075684,-0.000437069,140.00774447735583,137.67153180926988,131.94334283939597
156,8/14/2020,139.960007,-0.00505999,0.001068925,-0.000466703,138.13765014170423,135.83893546837007,130.20977065496433
157,8/17/2020,138.720001,-0.008899197,0.001062567,-0.000520413,137.44531510988793,135.16006362645084,129.58366850542822
158,8/18/2020,138.369995,-0.0025263,0.001055867,-0.000533109,136.20900971130206,133.96446558910262,128.4641747842447
159,8/19/2020,138.020004,-0.002532589,0.001049251,-0.000545684,135.8847124790104,133.63911667837425,128.13184061947948
160,8/20/2020,137.479996,-0.003920208,0.001042764,-0.000566775,135.55946822085485,133.33099950502952,127.865830134619
161,8/21/2020,138.429993,0.006886309,0.00103663,-0.000520482,135.02129797934566,132.81041654136598,127.37770236813516
162,8/24/2020,141.679993,0.023206212,0.001033685,-0.000374021,135.9654037620296,133.74539218357026,128.29424263046997
163,8/25/2020,141.149994,-0.003747832,0.001027413,-0.00039472,139.18957408608713,136.9153733234876,131.35465976378106
164,8/26/2020,141.830002,0.004806059,0.001021312,-0.000363007,138.65723282132447,136.40456714513195,130.9041829443649
165,8/27/2020,143.369995,0.010799495,0.001015873,-0.000295356,139.35483768784562,137.09414049769993,131.5722320213676
166,8/28/2020,143.630005,0.001811917,0.00100978,-0.000282662,140.884070172826,138.60253703493964,133.01042012405713
167,8/31/2020,142.309998,-0.009232821,0.00100421,-0.000336255,141.14377960145538,138.85753359741582,133.28123477182146
168,9/1/2020,146.050003,0.025941287,0.001002318,-0.000179841,139.8415581748736,137.59130019503036,132.08951032753365
169,9/2/2020,149.270004,0.021807724,0.000999231,-4.97e-05,143.5583043947492,141.24947493893046,135.58004137097913
170,9/3/2020,146.759995,-0.016958208,0.000995025,-0.000149199,146.73834232549723,144.3858088390313,138.635192648823
171,9/4/2020,148.179993,0.009629138,0.000989762,-9.2e-05,144.25825105807175,141.94455488209593,136.3048346234184
172,9/8/2020,148.520004,0.002291952,0.00098404,-7.82e-05,145.66274992633367,143.33151076534958,137.63999013439852
173,9/9/2020,152.690002,0.027690079,0.000982784,8.24e-05,146.00821187648086,143.68611772866225,137.99902049713967
174,9/10/2020,149.860001,-0.018708204,0.000979153,-2.56e-05,150.1329550371309,147.7479233989578,141.905321326361
175,9/11/2020,153.830002,0.026146578,0.00097745,0.000123918,147.3446466126,145.0029522542283,139.25779663555474
176,9/14/2020,153.509995,-0.002082431,0.000971923,0.000111382,151.2768122680508,148.87189396274965,143.0076002272377
177,9/15/2020,148.600006,-0.032507506,0.00097241,-7.29e-05,150.9526327572361,148.5609209970763,142.7112438937229
178,9/16/2020,151.110001,0.016749882,0.000968528,2.16e-05,146.10903373169913,143.79407151298696,138.11616474641286
179,9/17/2020,153.869995,0.018100003,0.000964933,0.000122601,148.586419560472,146.2532664042253,140.5008220589861
180,9/18/2020,152.389999,-0.00966504,0.000960101,6.82e-05,151.3292547503282,148.9432478919131,143.09896472913837
181,9/21/2020,145.330002,-0.047435985,0.000967195,-0.000194229,149.87269903994826,147.51773361569406,141.74163411088915
182,9/22/2020,147.149994,0.012445402,0.000962754,-0.00012478,142.87520849525833,140.6229681648071,135.06992277772912
183,9/23/2020,144.380005,-0.019003687,0.00095943,-0.000227943,144.6810722379953,142.39525531717715,136.81497902029298
184,9/24/2020,145.139999,0.00525004,0.000954378,-0.000198172,141.95652432669618,139.71991002161317,134.255893662776
185,9/25/2020,145.910004,0.005291234,0.000949381,-0.000168499,142.700302179137,140.46146658113062,134.9616858129137
186,9/28/2020,147.679993,0.012057703,0.000945076,-0.000102767,143.47973237527248,141.23997528669932,135.73234405745814
187,9/29/2020,147.410004,-0.001829876,0.000940038,-0.000112003,145.23211484339888,142.96785720406695,137.40454452522957
188,9/30/2020,149.149994,0.011734624,0.000935781,-4.9e-05,144.9728359957553,142.7149972335332,137.1680586148434
189,10/1/2020,146.710007,-0.016494574,0.000932253,-0.000136003,146.7011902528788,144.41973153384086,138.82065985075076
190,10/2/2020,149.940002,0.021777331,0.00092986,-2.07e-05,144.27899775456433,142.05192566820247,136.56550139929232
191,10/5/2020,153.490005,0.023400223,0.000927849,0.000101953,147.48838538442288,145.21049458266776,139.6008356238537
192,10/6/2020,151.529999,-0.012851832,0.000923886,3.45e-05,150.99921317962816,148.66793913888048,142.93668106096467
193,10/7/2020,154.770004,0.021156551,0.000921398,0.000143926,149.06603768233757,146.76819506141524,141.12015256389518
194,10/8/2020,156.660004,0.012137708,0.000917387,0.00020575,152.2743753782745,149.9338297842202,144.17008122799913
195,10/9/2020,158.940002,0.014448908,0.000913717,0.000278792,154.15787093473884,151.79068720459694,145.95238537849923
196,10/12/2020,162.610001,0.022827917,0.000911636,0.000393838,156.4090445665832,154.0042271572243,148.14313571929716
197,10/13/2020,162.119995,-0.003017931,0.000907067,0.00037652,160.04719917998227,157.59093636174205,151.5818693536428
198,10/14/2020,163.610001,0.009148782,0.000902873,0.000420824,159.57023467374873,157.12683071726624,151.1318696069077
199,10/15/2020,165.039993,0.008702273,0.000898679,0.000462439,161.04576021775463,158.57832777417042,152.5369341376497
