,Date,UNH,PDR,VAR,AVG,VAR70,VAR85,VAR99
171,9/4/2020,312.0,-0.013466644,0.001211376,0.000377418,310.4663239888839,304.9698146544528,291.5440708023469
172,9/8/2020,307.25,-0.015341439,0.001205762,0.00028603,306.2723459718928,300.8529496149413,287.65247579034684
173,9/9/2020,312.019989,0.015405505,0.001200106,0.000373425,301.5827407932584,296.27210669624463,283.40348711902385
174,9/10/2020,304.600006,-0.024067793,0.001196622,0.000232959,306.34508574406937,300.9778858059296,287.7939487235961
175,9/11/2020,301.480011,-0.010295745,0.001190414,0.000172795,299.03058461807973,293.80733410750616,280.925639627234
176,9/14/2020,308.570007,0.023245029,0.001186658,0.000303887,295.95281083669926,290.77783854672214,278.1640881359902
177,9/15/2020,307.230011,-0.004352056,0.001180075,0.000277582,302.9570551112273,297.6490067169606,284.73850660106194
178,9/16/2020,306.519989,-0.002313718,0.001173483,0.000263024,301.64230051630386,296.3817419203174,283.5597278919332
179,9/17/2020,304.980011,-0.005036733,0.001167083,0.000233417,300.9685632769293,295.7287671001831,282.937570108445
180,9/18/2020,308.019989,0.009918443,0.001161118,0.000287222,299.4810997638405,294.27808260151494,281.5456219386832
181,9/21/2020,299.190002,-0.02908585,0.001159443,0.00012494,302.4743899966921,297.2517426619957,284.46921041728916
182,9/22/2020,294.26001,-0.016615066,0.001154604,3.3e-05,293.7749733159475,288.6909738651902,276.28721392236974
183,9/23/2020,292.140015,-0.007230573,0.001148581,-6.73e-06,288.91363921696916,283.9122011485355,271.7258270265372
184,9/24/2020,292.660004,0.001778349,0.001142356,2.97e-06,286.82207863133226,281.8817351257341,269.8839820162976
185,9/25/2020,302.5,0.033069738,0.00114206,0.000181711,287.352943086487,282.4088910075042,270.3836315218933
186,9/28/2020,303.230011,0.002410352,0.001135946,0.000193693,297.07065082599047,291.95795047494556,279.4653737029734
187,9/29/2020,304.149994,0.003029351,0.001129914,0.000208857,297.8190526974019,292.72891946298665,280.25765042327663
188,9/30/2020,311.769989,0.02474472,0.001127089,0.000339367,298.7058730345005,293.604876858936,281.17990140900696
189,10/1/2020,313.070007,0.004161129,0.001121203,0.000359588,306.2451714134449,301.02436868646873,288.269459862045
