,Date,MCK,PDR,VAR,AVG,VAR70,VAR85,VAR99
107,6/5/2020,161.619995,0.013078539,0.001401769,0.001429968,156.49837504296949,153.5173051545736,146.2533338605349
108,6/8/2020,164.679993,0.018756285,0.001391544,0.001590397,158.5848818956009,155.5757010950656,148.24058669522378
109,6/9/2020,161.190002,-0.021420349,0.00138359,0.00137929,161.62909051823596,158.57545585328265,151.15442170151675
110,6/10/2020,154.389999,-0.043101944,0.001388836,0.000974915,158.18416625358185,155.19768539046458,147.92934383689678
111,6/11/2020,146.559998,-0.052046975,0.001401423,0.00049724,151.44185686753795,148.57291352853255,141.55226504685544
112,6/12/2020,148.25,0.011465151,0.001389975,0.000595168,143.66808206173633,140.93483853308965,134.2792469492509
113,6/15/2020,151.720001,0.023136686,0.001382131,0.00079465,145.3510442537101,142.61282093470152,135.9250350049764
114,6/16/2020,156.320007,0.02986851,0.001377357,0.001049684,148.8039146346858,145.98653688274354,139.1702303204229
115,6/17/2020,154.449997,-0.012034833,0.001366855,0.000935906,153.35210266510882,150.47396623055874,143.44099728278985
116,6/18/2020,153.419998,-0.006691154,0.001355569,0.000870155,151.52179185125954,148.6834441244184,141.76743066044796
117,6/19/2020,156.699997,0.021153885,0.00134747,0.00104352,150.53408177477422,147.7161838835702,140.87009739824163
118,6/22/2020,154.889999,-0.011617949,0.001337398,0.00093622,153.77190684874378,150.90270231261454,143.9268498977391
119,6/23/2020,153.669998,-0.007907748,0.001326811,0.000861901,151.99579961093465,149.16651968270233,142.31286427541284
120,6/24/2020,150.559998,-0.02044577,0.001319506,0.000684337,150.79647676508077,148.01194481748178,141.1997742709371
121,6/25/2020,151.289993,0.004836816,0.001308742,0.000718655,147.72338666123497,144.99558438415912,138.3379760680288
122,6/26/2020,148.210007,-0.020568244,0.001301699,0.000544172,148.4609948137234,145.73200457058036,139.0777728017798
123,6/29/2020,151.770004,0.023736009,0.001295453,0.000732724,145.42280774564887,142.75946581540774,136.2647379175223
124,6/30/2020,153.419998,0.010813002,0.001285819,0.000814016,148.938826428868,146.20819655875863,139.61165005304687
125,7/1/2020,150.910004,-0.016495586,0.00127791,0.000675539,150.5947318084974,147.84520127276704,141.1950197406034
126,7/2/2020,152.729996,0.011987971,0.001268775,0.000765321,148.1241725844395,145.42039521267154,138.8740796639232
127,7/6/2020,151.509995,-0.008020034,0.001259388,0.000696145,149.92006984395917,147.21150290434676,140.62242620031273
128,7/7/2020,145.800003,-0.038415756,0.001261407,0.000390583,148.72915303844172,146.0571661588128,139.518815738177
129,7/8/2020,144.570007,-0.008471972,0.001252232,0.000321881,143.08065020259676,140.5034145974772,134.2346184449483
130,7/9/2020,140.889999,-0.025784431,0.001247802,0.000121063,141.87648840575633,139.31707124396084,133.12584242047228
131,7/10/2020,143.020004,0.015005072,0.001239955,0.000234681,138.2473702313302,135.76200463924368,129.68626048817907
132,7/13/2020,144.979996,0.013611266,0.001231907,0.000336019,140.3513945708116,137.8393479233761,131.7365703959155
133,7/14/2020,147.839996,0.019534807,0.001225395,0.000480371,142.2909221788331,139.7667012188363,133.58068402769638
134,7/15/2020,153.5,0.037569986,0.00122644,0.000757159,145.12738973480307,142.55049847485895,136.24552465552725
