,Date,YUM,PDR,VAR,AVG,VAR70,VAR85,VAR99
153,8/11/2020,92.699997,0.014779676,0.00109748,-0.000635749,89.65114908342392,88.13702318384941,84.45150653294337
154,8/12/2020,93.160004,0.004950048,0.001090555,-0.000599478,90.99604368298186,89.46322925009936,85.71659890579235
155,8/13/2020,92.769997,-0.004195209,0.001083602,-0.000622676,91.45879366789559,89.93236014329554,86.1811110155687
156,8/14/2020,92.650002,-0.001294305,0.001076658,-0.000626981,91.07098942884906,89.55066779633425,85.8275314960904
157,8/17/2020,93.599998,0.010201388,0.001070543,-0.000558011,90.9661887508209,89.44577620703308,85.74636605520953
158,8/18/2020,94.900002,0.013793365,0.001065063,-0.000467179,91.90471211802614,90.37865705519407,86.63230738607726
159,8/19/2020,93.93,-0.010273903,0.001058965,-0.000528857,93.19525485208153,91.65000217471588,87.86794773278169
160,8/20/2020,95.370003,0.015214271,0.001053886,-0.000430462,92.23754034177465,90.71545831505505,87.0002870882642
161,8/21/2020,96.099998,0.0076252,0.001047741,-0.000380427,93.67162363717746,92.13135484724728,88.34109082931055
162,8/24/2020,96.559998,0.004775261,0.001041436,-0.000348602,94.39234709849173,92.83551978431963,89.03749922502266
163,8/25/2020,96.480003,-0.000828792,0.001035048,-0.000351548,94.85390686914326,93.30037781606555,89.50915518729703
164,8/26/2020,95.330002,-0.011991187,0.001029558,-0.000422521,94.78276799290454,93.23140000707747,89.43644653071543
165,8/27/2020,95.470001,0.001467495,0.00102334,-0.000411067,93.65106034167765,92.12549031876897,88.37975805905307
166,8/28/2020,97.449997,0.020527323,0.0010198,-0.000284932,93.78886032134824,92.26873314177585,88.54236113662218
167,8/31/2020,95.849998,-0.016554947,0.001015269,-0.000382357,95.75181041377083,94.20369830534888,90.41026192584866
168,9/1/2020,96.150002,0.003125044,0.001009299,-0.00036148,94.17904051714646,92.65641467684536,88.91963645431942
169,9/2/2020,97.980003,0.018853914,0.001005499,-0.000247779,94.48317419589011,92.95516703416551,89.22556276461437
170,9/3/2020,96.330002,-0.016983589,0.001001222,-0.000346225,96.29083539248968,94.74046221658921,90.93481260494697
171,9/4/2020,95.220001,-0.011589803,0.000996102,-0.000411977,94.67007890979919,93.14938618263415,89.43648532127018
172,9/8/2020,93.68,-0.016305295,0.00099177,-0.00050438,93.567640120039,92.07168654381601,88.39216606011796
173,9/9/2020,93.389999,-0.003100457,0.000986076,-0.000519386,92.04550194759095,90.57734945978507,86.95807713288457
174,9/10/2020,92.349998,-0.011198577,0.000981061,-0.000580761,91.77103296173951,90.30394422220922,86.71587056391954
175,9/11/2020,92.269997,-0.000866656,0.000975455,-0.000582395,90.7406661352628,89.29661370479221,85.77638791744938
176,9/14/2020,92.870003,0.006481669,0.000970195,-0.000542258,90.67457428311589,89.23563287046017,85.70821842056587
177,9/15/2020,93.519997,0.006974587,0.000965031,-0.00049979,91.27296202582839,89.82575505017576,86.2892952157876
178,9/16/2020,94.809998,0.013699583,0.000960736,-0.000420018,91.91628550971883,90.46840140970586,86.88963170834155
179,9/17/2020,93.709999,-0.011669971,0.000956072,-0.000482867,93.20014598739617,91.73845354447121,88.154080681628
180,9/18/2020,92.110001,-0.017221371,0.000952308,-0.000575859,92.12033652096767,90.67537612065897,87.12278155642954
181,9/21/2020,89.339996,-0.030534255,0.000951978,-0.000741375,90.53499589194627,89.11254817158616,85.63177781872584
182,9/22/2020,90.589996,0.013894516,0.000947918,-0.000660958,87.80004906344337,86.42368780369257,83.05545531508402
183,9/23/2020,89.769997,-0.009092977,0.000943124,-0.000707034,89.03640005888093,87.64100748755833,84.22134030629711
184,9/24/2020,91.370003,0.017666419,0.000939823,-0.000607178,88.23238237928628,86.85535837192907,83.48606375022948
185,9/25/2020,91.379997,0.000109373,0.000934746,-0.000603305,89.81725485461679,88.41489675398523,85.01333811936036
186,9/28/2020,91.879997,0.005456742,0.000929917,-0.000570724,89.82481754159713,88.43181393869737,85.00700478278812
187,9/29/2020,90.709999,-0.012815752,0.000925742,-0.000636206,90.32866644802341,88.92753723940628,85.48396632333046
188,9/30/2020,91.300003,0.006483227,0.000921086,-0.000598336,89.17653932978949,87.79631688866745,84.43530036844244
189,10/1/2020,91.82,0.005679318,0.00091642,-0.000565121,89.76626481022373,88.37736695766701,84.97974252081964
190,10/2/2020,95.169998,0.035834606,0.000918533,-0.000373544,90.27755838997952,88.88474616584253,85.4757582646906
191,10/5/2020,94.089996,-0.011413017,0.000914359,-0.000431342,93.59327998673267,92.15169952814011,88.61885031793997
192,10/6/2020,91.919998,-0.023333117,0.000912314,-0.000550622,92.52895558825627,91.1061712403455,87.62882648869981
193,10/7/2020,93.879997,0.021098727,0.000910003,-0.000438449,90.38685983083798,89.00399049760338,85.58643165139134
194,10/8/2020,95.410004,0.016166098,0.000906726,-0.000352859,92.32109811076343,90.91373574151663,87.43098332177138
195,10/9/2020,95.489998,0.000838072,0.000902083,-0.000346752,93.83761619248195,92.40687491862981,88.88551293386988
196,10/12/2020,95.980003,0.005118359,0.000897632,-0.000318868,93.9114600409783,92.4862411600987,88.97036291049623
197,10/13/2020,96.010002,0.000312506,0.000893078,-0.000315663,94.40518689176157,92.96758732138608,89.45186427733618
198,10/14/2020,96.519997,0.005297836,0.000888726,-0.000287312,94.44736231561201,93.01820099898698,89.50121680669403
199,10/15/2020,99.489998,0.030306907,0.00088894,-0.000133573,94.9534633658837,93.51681821031563,89.98446261856068
200,10/16/2020,98.529999,-0.009696056,0.00088495,-0.000181385,97.88808532425479,96.4024583632018,92.75918794792119
201,10/19/2020,97.25,-0.013076078,0.00088137,-0.000245538,96.94899713324973,95.47963421132214,91.89710638765612
202,10/20/2020,97.279999,0.000308425,0.000877008,-0.000242795,95.68117060881352,94.24301524478427,90.71598183771985
203,10/21/2020,99.07,0.018233263,0.000874362,-0.00015178,95.71760847414501,94.27712135617425,90.74888257303104
204,10/22/2020,99.849998,0.007842369,0.000870387,-0.000112593,97.48396769512529,96.01967279636139,92.42881745789111
205,10/23/2020,101.279999,0.014219909,0.000867139,-4.27e-05,98.26211933579509,96.7871659864177,93.19072636964864
206,10/26/2020,99.199997,-0.020750964,0.000865001,-0.000143204,99.68416513913196,98.19219588296521,94.5320481193466
207,10/27/2020,97.989998,-0.012272572,0.000861529,-0.0002018,97.62732505953242,96.16905940448595,92.5926484821645
208,10/28/2020,95.059998,-0.030357162,0.000861738,-0.000346778,96.43437463988116,94.99218414268464,91.47032569995265
209,10/29/2020,94.940002,-0.001263116,0.000857619,-0.000351162,93.5318079179473,92.1390293257024,88.70545754870815
210,10/30/2020,93.330002,-0.017103513,0.000854865,-0.000430935,93.42187204152565,92.0315721421407,88.62458600585278
211,11/2/2020,95.25,0.020363393,0.000852853,-0.000332384,91.82606820913026,90.46586136562283,87.13504399676113
212,11/3/2020,96.769997,0.015831984,0.000850057,-0.000256137,93.73377499953858,92.33832951755166,88.92717109402479
213,11/4/2020,98.580002,0.018531424,0.000847716,-0.000167933,95.23545502767256,93.82204761017627,90.36610424572706
214,11/5/2020,100.699997,0.021277348,0.000845893,-6.77e-05,97.02496343259466,95.59126838280086,92.0777138518341
215,11/6/2020,99.379997,-0.013194914,0.000842757,-0.000128778,99.12714609106379,97.65522379582663,94.06870864690956
216,11/9/2020,101.980003,0.025825889,0.000841959,-8.62e-06,97.82351528149316,96.37418051986299,92.82350104496861
217,11/10/2020,102.989998,0.009855132,0.000838526,3.68e-05,100.39646612453166,98.91283676213318,95.27131878509103
218,11/11/2020,101.82,-0.011425328,0.000835279,-1.57e-05,101.40017239722052,99.9118677690325,96.22511425072368
219,11/12/2020,100.419998,-0.013845178,0.000832334,-7.89e-05,100.23972864396676,98.7670072411709,95.13524926686505
220,11/13/2020,102.870003,0.024104714,0.000831197,3.1e-05,98.86675413334191,97.4145475066925,93.85765034466499
221,11/16/2020,104.760002,0.018205954,0.000828924,0.000113276,101.29052720608728,99.80595011696207,96.17115780375141
222,11/17/2020,104.040001,-0.006896589,0.000825411,8.17e-05,103.16818381556595,101.65651913163958,97.94849962876047
223,11/18/2020,104.169998,0.001248711,0.000821715,8.69e-05,102.44230690826043,100.94806862619306,97.2898406602033
224,11/19/2020,105.269997,0.010504289,0.000818529,0.000133439,102.58499846673095,101.08943616509501,97.3980798643604
225,11/20/2020,104.989998,-0.002663361,0.000814926,0.000121009,103.6764331098715,102.16577922230988,98.46248016323982
226,11/23/2020,105.0,9.53e-05,0.00081132,0.000120895,103.40087695229064,101.8950781552418,98.20423230270019
227,11/24/2020,107.190002,0.020642629,0.000809593,0.000211299,103.41048833468732,101.91736077257869,98.24109539797485
228,11/25/2020,106.610001,-0.005425654,0.000806181,0.000186576,105.57757863447269,104.04354402048692,100.28975222886426
229,11/27/2020,107.18,0.005332339,0.000802776,0.000209046,105.01294412709763,103.49336780461036,99.78067420225332
230,11/30/2020,105.800003,-0.012959116,0.000800036,0.000151793,105.57670849887015,104.05814758829011,100.33894333278742
231,12/1/2020,106.339996,0.005090923,0.000796678,0.000173175,104.21282884974548,102.71292265384874,99.025274050227
232,12/2/2020,104.980003,-0.012871586,0.000793974,0.000116947,104.75092410148781,103.24736261022102,99.57078133800862
233,12/3/2020,104.519997,-0.004391472,0.000790653,9.76e-05,103.41016025728379,101.93800552567194,98.2882427362064
234,12/4/2020,105.860001,0.012739064,0.000787954,0.000151621,102.95656451771615,101.49394038419517,97.86781777290959
235,12/7/2020,105.239998,-0.005874039,0.000784755,0.00012598,104.28613327688936,102.8038682183551,99.13205849484233
236,12/8/2020,105.150002,-0.000855516,0.000781434,0.000121821,103.6720974172799,102.1978876819091,98.57194958195197
237,12/9/2020,106.57,0.013414125,0.000778879,0.000177907,103.5867641145182,102.11661964497146,98.49957466456492
238,12/10/2020,106.459999,-0.001032728,0.000775613,0.00017282,105.00232148985013,103.51553809063657,99.84371527596693
239,12/11/2020,105.989998,-0.004424587,0.000772456,0.000153584,104.89962536596526,103.41096738626412,99.75917824310166
240,12/14/2020,105.5,-0.004633778,0.000769332,0.000133637,104.43630162330022,102.95311805588013,99.33132645000101
241,12/15/2020,107.379997,0.017662964,0.00076741,0.000206373,103.95303693809733,102.4914642494531,98.88090936612535
242,12/16/2020,107.419998,0.000372449,0.000764239,0.000207059,105.81305696466413,104.32505544904726,100.66311158415304
243,12/17/2020,108.790001,0.012673062,0.000761731,0.000258359,105.85166449098256,104.36532519983443,100.69646772797232
244,12/18/2020,109.779999,0.009058926,0.000758925,0.000294427,107.21481355396394,105.710347284591,102.00960317196238
245,12/21/2020,108.629997,-0.010530769,0.000756304,0.000250243,108.19886877539211,106.68624417139044,102.96958458717381
246,12/22/2020,107.400002,-0.011387384,0.000753777,0.000202935,107.05967642924315,105.56583637978471,101.89225948780243
247,12/23/2020,106.790001,-0.005695902,0.000750866,0.000179054,105.85558957770283,104.37953645391863,100.76522163526782
248,12/24/2020,107.540001,0.006998582,0.000748025,0.000206552,105.24569470836353,103.7845692340886,100.17685357976922
249,12/28/2020,109.779999,0.020615473,0.000746687,0.000288515,105.99238376468107,104.51754666742465,100.89895046190199
250,12/29/2020,109.449997,-0.003010557,0.000743744,0.000275319,108.20170523081703,106.70537066095322,103.01014568668657
251,12/30/2020,109.510002,0.000548091,0.000740781,0.000276406,107.88411294291105,106.3863361103768,102.7002781145848
252,12/31/2020,108.559998,-0.00871289,0.000738161,0.000240734,107.94967964876544,106.45143042532246,102.7764288078234
253,1/4/2021,105.82,-0.02556346,0.000737864,0.000138741,107.00856155449004,105.52499976342867,101.90135655040983
254,1/5/2021,105.830002,9.45e-05,0.000734959,0.000138567,104.29638644606813,102.85572413290731,99.2999672794598
255,1/6/2021,106.410004,0.005465543,0.000732188,0.000159457,104.31216428128846,102.87506844350335,99.34541674320732
256,1/7/2021,105.599998,-0.007641243,0.000729565,0.000128985,104.89035022065963,103.44377591693015,99.88247460761448
257,1/8/2021,107.150002,0.014571388,0.000727534,0.000185182,104.09152089609779,102.66147796791154,99.15827900385561
258,1/11/2021,107.669998,0.004841235,0.000724798,0.000203228,105.628642625536,104.18022879642615,100.60855190084091
259,1/12/2021,107.669998,0.0,0.000722,0.000202444,106.15358783001462,104.69980966798346,101.10862875497999
260,1/13/2021,107.150002,-0.004841235,0.00071932,0.000183045,106.1473375033726,104.69397637842889,101.11515105066387
261,1/14/2021,107.779999,0.005862363,0.000716688,0.000204805,105.63436488745482,104.19881389603145,100.64635867298195
262,1/15/2021,106.620003,-0.010820964,0.000714414,0.000162722,106.2630681082572,104.8184783526397,101.26541770832326
263,1/19/2021,107.389999,0.007195919,0.000711885,0.000189464,105.11479575485816,103.68217771909141,100.16622180821287
264,1/20/2021,109.410004,0.018635271,0.000710473,0.000259334,105.87918411462007,104.44298590917303,100.90684826948828
265,1/21/2021,107.879997,-0.01408286,0.000708565,0.000205213,107.8749381369906,106.41855528972475,102.82640278322539
266,1/22/2021,107.089996,-0.007349905,0.000706115,0.00017681,106.36973029317731,104.92980800001608,101.38787166427744
