,Date,WSM,PDR,VAR,AVG,VAR70,VAR85,VAR99
122,6/26/2020,83.220001,-0.005751226,0.002953672,0.001114525,81.30292696550028,79.06019768721296,73.67356617969182
123,6/29/2020,81.989998,-0.014890451,0.002931724,0.000984403,80.85697858036535,78.64129453969643,73.28873809858666
124,6/30/2020,82.010002,0.000243951,0.002908085,0.000978431,79.65492888357295,77.48855388524642,72.28285560445507
125,7/1/2020,84.82,0.033690149,0.002893312,0.001240125,79.68837225090644,77.51948687068288,72.29817786360707
126,7/2/2020,83.199997,-0.019284052,0.002873666,0.001077235,82.44359292945387,80.2075098570531,74.83602786717475
127,7/6/2020,84.0,0.009569487,0.002851602,0.001144103,80.86940315371169,78.68087024528317,73.4223957570121
128,7/7/2020,83.660004,-0.004055785,0.002829534,0.001103479,81.65481279372939,79.45190311082285,74.1603370334406
129,7/8/2020,85.980003,0.027353732,0.0028129,0.001306969,81.3346618558845,79.1496703734278,73.91809678061537
130,7/9/2020,84.629997,-0.015825968,0.002793503,0.001175177,83.62262410101646,81.38140473798205,76.01337405343352
131,7/10/2020,85.019997,0.004597709,0.002772267,0.001201304,82.3010737277942,80.1069951299155,74.8289589193612
132,7/13/2020,82.910004,-0.025130757,0.002756478,0.001001818,82.68291682479747,80.48231613374737,75.22483322380202
133,7/14/2020,83.32,0.004932886,0.002735868,0.001031375,80.63238386148338,78.49086139649049,73.35247873041533
134,7/15/2020,84.849998,0.018196352,0.002717633,0.001159472,81.03490617762189,78.89065501009675,73.74834634600369
135,7/16/2020,84.379997,-0.005554597,0.002697834,0.001109738,82.54747314230308,80.37173621079653,75.15213254020672
136,7/17/2020,83.800003,-0.006897328,0.002678465,0.001050863,82.0878118952497,79.93058619199546,74.74873292131518
137,7/20/2020,81.540001,-0.027339334,0.002664755,0.000843635,81.53477853927548,79.407518197328,74.26984269064748
138,7/21/2020,82.529999,0.012068142,0.002646351,0.000924972,79.31841657024381,77.24797920573928,72.2575633033673
139,7/22/2020,86.779999,0.050214317,0.002644665,0.001279572,80.3044051974219,78.22101221194235,73.20123656138877
140,7/23/2020,85.309998,-0.017084511,0.002628166,0.0011484,84.45749687848749,82.26420838279479,76.98406284034937
141,7/24/2020,84.910004,-0.004699738,0.002609767,0.001106923,83.02702803532057,80.87923270343363,75.70818897089904
142,7/27/2020,86.589996,0.01959237,0.002593778,0.001237103,82.64087014487777,80.51238027734605,75.36631507451354
143,7/28/2020,83.5,-0.036337657,0.002585444,0.000974342,84.29443576928044,82.12906815639091,76.93957529218596
144,7/29/2020,85.599998,0.024838628,0.002571417,0.001140066,81.26985604362035,79.18702227927913,74.18921807716815
145,7/30/2020,87.650002,0.023666374,0.002557159,0.00129542,83.34388567745019,81.20744866215651,76.07358245284502
146,7/31/2020,87.120003,-0.006065121,0.002540012,0.001245005,85.3649219985826,83.18146127499553,77.92649426478415
147,8/3/2020,86.959999,-0.001838282,0.002522797,0.001224031,84.85433295043558,82.68166722906015,77.47523814409988
148,8/4/2020,87.889999,0.01063779,0.002506346,0.001287637,84.7008753109895,82.555030857109,77.35545607666081
149,8/5/2020,88.669998,0.00883557,0.002489905,0.001338294,85.61728793154316,83.45495294642339,78.22121582504859
150,8/6/2020,89.739998,0.011994987,0.002474058,0.001409339,86.38619883239723,84.21024979758815,78.94461450725755
151,8/7/2020,93.169998,0.037509182,0.002466246,0.001648411,87.4457798197058,85.24796186631808,79.92300749393495
152,8/10/2020,93.839996,0.007165402,0.00245022,0.001684707,90.81167794302168,88.52859283084476,83.03767059989023
153,8/11/2020,92.940002,-0.009637017,0.002435038,0.001610709,91.48085851927917,89.18662682338284,83.6329563959254
154,8/12/2020,93.699997,0.008144012,0.002419501,0.001653133,90.59701639447813,88.34071420264728,82.87947546366306
155,8/13/2020,93.709999,0.000106739,0.002403907,0.001643156,91.34984703423915,89.07828762208376,83.60473929835285
156,8/14/2020,94.580002,0.009241162,0.002388865,0.001691861,91.38115146735379,89.11565527312999,83.64319292518749
157,8/17/2020,97.480003,0.030201201,0.002378793,0.001873449,92.24079074937713,89.96366354548404,84.44953928362423
158,8/18/2020,96.510002,-0.010000609,0.002364624,0.001798297,95.07854582281064,92.73680660836348,87.08597018228474
