,Date,HPQ,PDR,VAR,AVG,VAR70,VAR85,VAR99
120,6/24/2020,16.200001,-0.048790102,0.002131847,-0.00207884,16.557556166418745,16.170323915400825,15.233130963548186
121,6/25/2020,16.370001,0.010439149,0.002115513,-0.001975386,15.76221338200213,15.392821044942897,14.501926197156324
122,6/26/2020,16.610001,0.014554531,0.002100394,-0.001839895,15.932911965927602,15.560990381212727,14.66075214470565
123,6/29/2020,17.129999,0.03082627,0.002091922,-0.001574316,16.16725487298856,15.793345290670592,14.887016073719995
124,6/30/2020,17.43,0.017361606,0.00207792,-0.001421607,16.681599340432225,16.294593308084266,15.36274427723682
125,7/1/2020,17.0,-0.024979515,0.002065701,-0.00161007,16.97663864485272,16.58535377648888,15.639634095732639
126,7/2/2020,17.07,0.004109193,0.002049564,-0.001564679,16.55462391873568,16.17358210524214,15.252839036474182
127,7/6/2020,17.459999,0.022589956,0.002037984,-0.001374485,16.625413213038335,16.24404804914837,15.316845420878039
128,7/7/2020,16.629999,-0.04870426,0.002039426,-0.001744249,17.010796734189647,16.62006150659073,15.681672260219925
129,7/8/2020,16.75,0.007190025,0.002024231,-0.001674991,16.194473376155027,15.8245106379826,14.930096657446434
130,7/9/2020,16.41,-0.020507353,0.002011367,-0.001819856,16.315728276522727,15.944300962121002,15.045069236543535
131,7/10/2020,16.99,0.034734031,0.002006135,-0.001540818,15.983625905058352,15.621048359604373,14.743243902208816
132,7/13/2020,17.08,0.005283253,0.001991287,-0.001489121,16.554047210216225,16.180453007805767,15.269358389384683
133,7/14/2020,17.790001,0.04072837,0.001989615,-0.001171696,16.643655017576478,16.267839942698675,15.359190005946346
134,7/15/2020,17.790001,0.0,0.001974778,-0.001162952,17.341436799854005,16.947652768343744,15.998352298775911
135,7/16/2020,17.83,0.002245874,0.001960235,-0.001137702,17.3430358156839,16.95375527858851,16.012465735241303
136,7/17/2020,17.549999,-0.015828539,0.001947397,-0.001245722,17.384334135179834,16.994704651657432,16.052746203631184
137,7/20/2020,17.65,0.00568189,0.00193353,-0.001195156,17.111621184476213,16.729338045762326,15.8053465602805
138,7/21/2020,17.48,-0.009678413,0.001920037,-0.001256629,17.210250087199228,16.825984562803995,15.900557785217782
139,7/22/2020,17.73,0.01420075,0.00190793,-0.001145425,17.0424242210804,16.66457118856563,15.744357522966997
140,7/23/2020,17.66,-0.003955925,0.001894358,-0.0011655,17.291463456935357,16.909810931673306,15.983356832490523
141,7/24/2020,17.5,-0.009101314,0.001881366,-0.001221782,17.225627249762987,16.845902285452258,15.925469151254388
142,7/27/2020,17.809999,0.01755916,0.001870584,-0.001089522,17.071312182550887,16.696217037496,15.785315208404906
143,7/28/2020,16.700001,-0.064351262,0.001885293,-0.001531912,17.376073305030506,16.994347780872147,16.071808175377882
144,7/29/2020,17.08,0.022499409,0.001876183,-0.001365028,16.28197577502425,15.92462207847856,15.054817154501139
145,7/30/2020,17.24,0.009324077,0.001864027,-0.00129131,16.65863116306176,16.292627240743176,15.403996782256206
146,7/31/2020,17.58,0.019529627,0.001854208,-0.0011487,16.818405822403868,16.451160813206904,15.56349905303338
147,8/3/2020,17.77,0.01074975,0.001842551,-0.001067759,17.151062411300426,16.77782331227645,15.873501105322452
148,8/4/2020,17.889999,0.006730199,0.00183051,-0.00101507,17.34055021055192,16.961977843913537,16.045389570116484
149,8/5/2020,17.969999,0.004461804,0.001818424,-0.000978312,17.46028232269941,17.082595180009754,16.160172892974202
150,8/6/2020,18.27,0.016556725,0.001808338,-0.000861412,17.53823665074934,17.16015303578375,16.242887292243527
151,8/7/2020,18.469999,0.01088737,0.00179727,-0.000783605,17.836978280153478,17.453046729685294,16.523946663300407
152,8/10/2020,18.98,0.027238053,0.001790578,-0.000599252,18.03302171095874,17.644810471852406,16.70789580769341
153,8/11/2020,18.57,-0.021838418,0.001781804,-0.00073807,18.53675803172613,18.139580453193577,17.1754495992838
154,8/12/2020,18.799999,0.012309441,0.001771332,-0.000653346,18.134477631812288,17.74576124159009,16.807995667798856
155,8/13/2020,18.379999,-0.022593754,0.00176299,-0.000794897,18.360499446318336,17.969229866471238,17.020508061504756
156,8/14/2020,18.18,-0.010940974,0.001752344,-0.000859936,17.950211076347635,17.568272035920547,16.642607459490996
157,8/17/2020,17.950001,-0.012731918,0.001742075,-0.000935554,17.755711470634242,17.37866373742258,16.4645067919042
158,8/18/2020,18.24,0.016026814,0.001732858,-0.000828197,17.528910484805976,17.15793900840367,16.25772427121775
159,8/19/2020,18.139999,-0.005497595,0.001722096,-0.000857565,17.815714727882842,17.439439768246462,16.529272050704755
160,8/20/2020,18.15,0.000551171,0.001711345,-0.00084876,17.719228467189442,17.346373215634863,16.439594179685542
161,8/21/2020,18.23,0.004398028,0.001700886,-0.000816171,17.730406412952377,17.358565106402146,16.45764873550463
162,8/24/2020,18.65,0.022777557,0.001693802,-0.000670531,17.80907922379115,17.438012933067014,16.535210015132716
163,8/25/2020,18.440001,-0.011323874,0.001684102,-0.000735889,18.22352339644895,17.84271069105762,16.921488684258936
164,8/26/2020,18.33,-0.005983211,0.001674,-0.000767885,18.0185089384721,17.643784814331436,16.736012795133913
165,8/27/2020,18.700001,0.019984515,0.001666449,-0.000642113,17.911859128823778,17.540111923876395,16.638481674746185
166,8/28/2020,19.85,0.05968043,0.001678199,-0.000278724,18.276447488019347,17.899306023799397,16.980589298781908
167,8/31/2020,19.549999,-0.015228772,0.00166948,-0.000368245,19.407833490726894,19.004734061323266,18.027072681949793
168,9/1/2020,19.26,-0.014944829,0.0016608,-0.00045501,19.114661535566377,18.71812901188246,17.761528836642917
169,9/2/2020,19.84,0.029669695,0.00165631,-0.000276758,18.828582578817144,18.4389456252013,17.49886485022132
170,9/3/2020,19.299999,-0.027595058,0.001650932,-0.000437454,19.401362214151717,19.00129271292831,18.02181136474237
171,9/4/2020,19.23,-0.003633484,0.001641336,-0.000456144,18.86935273068788,18.480102297804255,17.53913974688901
172,9/8/2020,19.450001,0.011375562,0.001632603,-0.000387355,18.800833319173456,18.4150439933475,17.477482302509227
173,9/9/2020,19.700001,0.012771565,0.001624161,-0.000311292,19.022370984123956,18.63261056274517,17.68262347574828
174,9/10/2020,19.01,-0.03565353,0.001621964,-0.000514408,19.267720085637222,18.873338909659516,17.918088619567328
175,9/11/2020,19.290001,0.014621722,0.001613997,-0.000427916,18.587703277459063,18.207081073901797,17.288855161942273
176,9/14/2020,19.33,0.002071414,0.001604862,-0.000413715,18.863975269136457,18.48063813319261,17.55088393195371
177,9/15/2020,19.26,-0.003627887,0.001595853,-0.000431874,18.905892943421065,18.521189846342573,17.58938777310611
178,9/16/2020,19.41,0.007757991,0.001587262,-0.000385864,18.83654882590076,18.45470494864901,17.53050365289155
179,9/17/2020,19.139999,-0.014008063,0.001579426,-0.000461965,18.987694072090918,18.604115262648282,17.673517408759057
180,9/18/2020,18.950001,-0.009976349,0.001571151,-0.000514823,18.721446804699887,18.34515908352946,17.428635374071618
181,9/21/2020,18.34,-0.032719517,0.001568169,-0.00069275,18.53548614502581,18.162828258312047,17.263495664811554
182,9/22/2020,18.440001,0.005437806,0.001559759,-0.000659065,17.937399069142007,17.576843114331275,16.70502907609172
183,9/23/2020,18.32,-0.006528913,0.001551423,-0.000691141,18.036694751432275,17.675675337529224,16.798430734084377
184,9/24/2020,18.15,-0.009322799,0.001543394,-0.000738052,17.919729505361538,17.560886130503906,16.69181447619034
185,9/25/2020,18.299999,0.008230444,0.001535483,-0.000689574,17.752831135299797,17.39857667007035,16.546696993053605
186,9/28/2020,18.860001,0.030142325,0.001532311,-0.000523811,17.90198105330393,17.546029818512057,16.68247910533322
187,9/29/2020,18.92,0.003176233,0.00152419,-0.000504025,18.454228134698752,18.088402392493194,17.19698961534659
188,9/30/2020,18.99,0.003692961,0.001516176,-0.0004817,18.512950586625493,18.14641449867348,17.25994046386823
189,10/1/2020,19.0,0.000526454,0.001508159,-0.000476366,18.584003735327027,18.217328628952792,17.323453472614542
190,10/2/2020,19.09,0.004725659,0.001500363,-0.000448987,18.593712802521036,18.22917017858035,17.339628896299402
191,10/5/2020,19.309999,0.011458407,0.001493246,-0.000386645,18.68341543451448,18.315846062214487,17.42946422673103
192,10/6/2020,18.959999,-0.018291601,0.00148713,-0.0004799,18.900169074207557,18.5307988196417,17.630283724000495
193,10/7/2020,19.23,0.014140116,0.001480526,-0.000404148,18.55792415623927,18.19423530220234,17.313218706334236
194,10/8/2020,19.4,0.008801506,0.001473329,-0.000356696,18.822698866288682,18.45403274566788,17.563706317189872
195,10/9/2020,19.370001,-0.001547537,0.001465781,-0.000362803,18.993119644582663,18.623618826849814,17.72213467324667
196,10/12/2020,19.83,0.023470413,0.001461186,-0.000241205,18.963693868621338,18.594296225768538,17.69552992503378
197,10/13/2020,19.68,-0.007593051,0.001454042,-0.000278524,19.416942535113094,19.041769014191257,18.126854411488058
198,10/14/2020,19.5,-0.009188426,0.001447097,-0.000323524,19.27088942278421,18.89906412572918,17.992943485076292
199,10/15/2020,19.559999,0.003072148,0.001439883,-0.00030646,19.09600821729722,18.72631527139054,17.828642101620346
200,10/16/2020,19.6,0.002042953,0.001432711,-0.000294713,19.15702319119997,18.78779556428568,17.89466945867863
201,10/19/2020,19.360001,-0.012320433,0.001426299,-0.000354542,19.193950191514908,18.826674109598464,17.929450503052283
202,10/20/2020,19.370001,0.000516396,0.001419242,-0.000350231,18.960176262715702,18.59675001611638,17.712592784818753
203,10/21/2020,19.219999,-0.007774178,0.00141252,-0.000386802,18.969557409303356,18.606362983897,17.72317698746913
204,10/22/2020,19.35,0.006741068,0.001405844,-0.000351861,18.823433274774274,18.463291560141236,17.58971895774298
205,10/23/2020,19.120001,-0.01195746,0.00139964,-0.000408474,18.952411949070914,18.592957175286877,17.71703908026085
206,10/26/2020,18.25,-0.04656988,0.00140314,-0.000632559,18.72788817995986,18.372866627149392,17.508135844171463
207,10/27/2020,17.98,-0.014905051,0.001397341,-0.000701508,17.870165255680195,17.530155417227828,16.70409882849035
