,Date,COR,PDR,VAR,AVG,VAR70,VAR85,VAR99
512,1/12/2022,135.710007,-0.005437917,0.0004461,0.000911969,135.04438782968927,133.59038681591753,130.00155171663027
513,1/13/2022,134.889999,-0.006060684,0.000445325,0.000898377,134.30019630265443,132.85655062075176,129.30119149764616
514,1/14/2022,136.199997,0.009664748,0.000444608,0.000915433,133.49549168963424,132.05603778214677,128.51199444872336
515,1/18/2022,133.809998,-0.017703503,0.000444417,0.000879279,134.790886984506,133.3499990628845,129.7733142640156
516,1/19/2022,132.389999,-0.010668764,0.000443813,0.000856899,132.43047215952853,131.00616549152255,127.50117322491765
517,1/20/2022,132.880005,0.003694399,0.00044297,0.000862388,131.02053793057198,129.6201852845993,126.15816478677776
518,1/21/2022,131.520004,-0.010287541,0.000442355,0.000840863,131.50445941949798,130.0994460023632,126.60667496141386
519,1/24/2022,131.550003,0.000228069,0.000441503,0.000839682,130.15908793638843,128.764280321486,125.32348812279413
520,1/25/2022,131.059998,-0.003731812,0.000440694,0.000830891,130.18382693973012,128.79299192630808,125.34612369335741
521,1/26/2022,130.550003,-0.0038989,0.000439891,0.000821812,129.69983188897893,128.3099498563385,124.86884322630803
522,1/27/2022,134.690002,0.031219538,0.000440815,0.000880046,129.1979525445759,127.81292513259494,124.38054100581004
523,1/28/2022,136.800003,0.015544171,0.000440383,0.000908084,133.3013534716468,131.8703598053656,128.35599232919282
524,1/31/2022,136.199997,-0.004395655,0.000439596,0.000897963,135.38804521924058,133.94004297422876,130.37212531593693
525,2/1/2022,137.660004,0.010662534,0.00043894,0.000916562,134.80927234564635,133.37136789270778,129.81389787241778
526,2/2/2022,136.080002,-0.011543943,0.0004384,0.000892873,136.2446770929991,134.79494214917995,131.19219982173942
527,2/3/2022,137.880005,0.013140815,0.000437852,0.000916113,134.68447258758115,133.24756521961137,129.6677106578988
528,2/4/2022,136.610001,-0.00925362,0.000437219,0.000896853,136.4728455193037,135.01967972608867,131.4246594176538
529,2/7/2022,139.410004,0.020289102,0.000437102,0.000933511,135.21794312658804,133.77590055379093,130.21256343567947
530,2/8/2022,142.240005,0.020096546,0.000436968,0.000969668,137.98879058032085,136.5221253604583,132.8931348856043
531,2/9/2022,142.919998,0.004769212,0.000436173,0.000976823,140.79243524697864,139.29319868714873,135.5795171692228
532,2/10/2022,141.539993,-0.009702706,0.000435567,0.000956749,141.47506492958553,139.9621869175504,136.2413637968135
533,2/11/2022,140.240005,-0.009227037,0.000434944,0.000937642,140.1058629272758,138.6193923238913,134.93340859024076
534,2/14/2022,140.179993,-0.000428015,0.000434133,0.000935085,138.81424703324646,137.3428802351126,133.69259207348273
535,2/15/2022,141.479996,0.009231075,0.00043345,0.000950591,138.75460127608903,137.28718210405697,133.64145453519424
536,2/16/2022,142.729996,0.00879637,0.000432756,0.000965229,140.0392763656269,138.55620084068235,134.89109514694533
537,2/17/2022,142.110001,-0.004353293,0.000432002,0.000955325,141.2841707793523,139.7828635907039,136.07525174066774
538,2/18/2022,141.5,-0.004301696,0.000431251,0.000945553,140.67251847974418,139.18155041848505,135.5137891474922
539,2/22/2022,140.559998,-0.006665287,0.000430558,0.000931433,140.06898039565334,138.5872439711866,134.92464066966792
540,2/23/2022,139.470001,-0.007784898,0.000429901,0.000915292,139.13273725462713,137.66134049669742,134.03385120165728
541,2/24/2022,137.860001,-0.011610847,0.000429396,0.000892138,138.05868049259857,136.60263255203063,133.00144996025185
542,2/25/2022,141.919998,0.02902482,0.000430061,0.000944043,136.4597849656167,135.01700498703858,131.45798536044518
543,2/28/2022,142.529999,0.004288992,0.00042929,0.000950203,140.48085258609186,139.0014958538401,135.33296639188333
544,3/1/2022,141.970001,-0.003936722,0.000428544,0.00094122,141.09048461588637,139.60449448188695,135.9298833333106
545,3/2/2022,143.0,0.007228856,0.00042783,0.000952757,140.54199581603305,139.06427878919948,135.4063951066556
546,3/3/2022,145.470001,0.017125256,0.000427525,0.000982377,141.56318780460714,140.06856734104133,136.38842606539802
547,3/4/2022,147.300003,0.012501457,0.000426986,0.001003436,144.01038314200298,142.49451537820494,138.74381545820802
548,3/7/2022,144.839996,-0.016841687,0.000426786,0.000970872,145.82779103836185,144.29601409606636,140.50341490394678
549,3/8/2022,144.410004,-0.002973153,0.000426037,0.000963688,143.3943800288814,141.89145079942264,138.15271125195054
550,3/9/2022,145.830002,0.00978507,0.000425404,0.000979726,142.96214724468473,141.45329678198914,137.74238403279912
551,3/10/2022,146.169998,0.002328741,0.000424635,0.000982175,144.37088474288302,142.854867860907,139.11773628724512
552,3/11/2022,144.559998,-0.011075682,0.000424129,0.000960331,144.71429589088135,143.1937741803155,139.46128311548296
553,3/14/2022,146.149994,0.010938818,0.000423542,0.000978375,143.11660184861796,141.6129932199124,137.90596294718068
554,3/15/2022,151.389999,0.035225832,0.00042489,0.001040194,144.70202263856643,143.18383063090468,139.42726336465054
555,3/16/2022,150.5,-0.005896198,0.000424211,0.001027696,149.89281721036951,148.3173878663428,144.4227184808697
556,3/17/2022,152.199997,0.011232342,0.000423635,0.001046049,149.00304653484469,147.44337221535483,143.57028956408809
557,3/18/2022,152.0,-0.001314905,0.000422885,0.001041811,150.69825077323446,149.11714269242157,145.19144214632888
558,3/21/2022,153.179993,0.007733134,0.000422207,0.001053802,150.49664192947054,148.91750058516843,145.0111621268716
559,3/22/2022,152.110001,-0.007009705,0.000421568,0.001039377,151.66995380456675,150.0817106971369,146.15248243468264
560,3/23/2022,151.529999,-0.003820331,0.000420857,0.001030699,150.61539900218582,149.04398107892186,145.14819941171226
561,3/24/2022,152.610001,0.007102036,0.000420172,0.001041522,150.02995557202584,148.46490608037035,144.57796153456144
562,3/25/2022,154.690002,0.013537473,0.000419702,0.001063756,151.09981901529628,149.5262928310691,145.6240566361487
563,3/28/2022,154.729996,0.000258509,0.000418958,0.001062326,153.16800387144318,151.57083477673498,147.61068829020178
564,3/29/2022,155.039993,0.002001466,0.000418217,0.001063991,153.20915768279139,151.61585167760688,147.6650630402814
565,3/30/2022,155.139999,0.000644826,0.000417477,0.001063249,153.51479219514576,151.9090766296543,147.9515391501917
566,3/31/2022,154.710007,-0.002775487,0.000416765,0.001056467,153.6248612545107,152.02458066970263,148.05511674605586
567,4/1/2022,156.520004,0.011631381,0.000416227,0.001075118,153.19668996660988,151.6066920516254,147.65499136820534
568,4/4/2022,154.75,-0.011372911,0.000415766,0.001053202,154.98793994340582,153.3751107201624,149.36788471723972
569,4/5/2022,155.759995,0.006505417,0.000415088,0.001062784,153.23142253161754,151.63234955504478,147.69486134673406
570,4/6/2022,158.139999,0.015164381,0.000414708,0.001087524,154.24352010247134,152.64360014453527,148.68831338547164
571,4/7/2022,162.919998,0.02977856,0.000415421,0.001137771,156.59688262664795,154.97265927565843,150.96429020406288
572,4/8/2022,165.440002,0.015349333,0.000415047,0.001162616,161.34088942375155,159.6621674659835,155.51689511115697
573,4/11/2022,162.649994,-0.017007987,0.000414898,0.001130905,163.83648424215977,162.13303622962968,157.93206850916917
574,4/12/2022,162.619995,-0.000184456,0.000414178,0.001128614,161.07699785933113,159.41215979946574,155.25033034754568
575,4/13/2022,162.960007,0.002088655,0.000413459,0.001130283,161.0382938226217,159.36814744502934,155.2322985213856
576,4/14/2022,161.210007,-0.010796909,0.000412988,0.001109576,161.37858387170394,159.70328985193194,155.5864562005818
577,4/18/2022,161.899994,0.004270917,0.00041229,0.001115055,159.65129841753603,157.996196975616,153.91435323931935
578,4/19/2022,162.850006,0.005850745,0.000411615,0.001123248,160.32640589009344,158.67342372591472,154.5689971780202
579,4/20/2022,165.729996,0.017530365,0.000411368,0.001151585,161.27225821544795,159.6055166983485,155.4866012342642
