,Date,QCOM,PDR,VAR,AVG,VAR70,VAR85,VAR99
187,9/29/2020,117.379997,-0.009243263,0.001253977,0.001498767,116.39111083280534,114.29445592050115,109.18894322721464
188,9/30/2020,117.68,0.002552567,0.001247313,0.001504372,115.32829251846631,113.24847400535437,108.1706733270453
189,10/1/2020,119.519997,0.01551462,0.001241746,0.0015785,115.61158149410069,113.54147628859296,108.49469988942865
190,10/2/2020,115.470001,-0.034472932,0.001242015,0.001388756,117.44451938507429,115.34512294251633,110.21803816324925
191,10/5/2020,120.519997,0.042804925,0.001244446,0.001605594,113.44145058784956,111.41534350556866,106.46855435518195
192,10/6/2020,119.540001,-0.008164638,0.001238459,0.001554708,118.43280379750637,116.30860010706952,111.12471013576173
193,10/7/2020,123.029999,0.028777168,0.001235862,0.001695757,117.45423273911871,115.35732717761229,110.22850430755643
194,10/8/2020,122.339996,-0.005624199,0.001229766,0.001658025,120.9170310849853,118.76354659460024,113.48377751044706
195,10/9/2020,124.870003,0.020469199,0.001225265,0.001754493,120.23854809601382,118.09609528080354,112.84627284388743
196,10/12/2020,126.690002,0.014469953,0.001219835,0.001819367,122.74050310701708,120.56608249061014,115.25341822842319
197,10/13/2020,127.459999,0.006059409,0.001213733,0.00184089,124.54083082257198,122.33905988176282,116.93679459047755
198,10/14/2020,129.880005,0.018808404,0.00120905,0.001926585,125.31423830026367,123.09619669594186,117.67229844309347
199,10/15/2020,128.580002,-0.010059691,0.001203693,0.001866352,127.70407603839216,125.45607482876093,119.94724947506808
200,10/16/2020,129.029999,0.003493633,0.001197687,0.001874489,126.42509193662937,124.20950045447253,118.74938669901336
201,10/19/2020,128.419998,-0.004738801,0.001191945,0.001841587,126.8683732170562,124.63810801545458,119.2118342346309
202,10/20/2020,128.300003,-0.000934832,0.001186083,0.001827842,126.26747802387655,124.0554021233177,118.67077354630815
203,10/21/2020,128.550003,0.001946662,0.00118024,0.001828428,126.16949117507826,123.96367414453614,118.57072571823224
204,10/22/2020,128.380005,-0.001323302,0.001174503,0.001812978,126.4027524937823,124.20246504498908,118.83172047294383
205,10/23/2020,128.880005,0.003887123,0.001168794,0.001823096,126.24364971269104,124.05648761987213,118.67740489063122
206,10/26/2020,126.199997,-0.021013851,0.00116564,0.001712237,126.75324319085553,124.55249735091058,119.18098623276823
207,10/27/2020,125.910004,-0.002300529,0.001160086,0.001692851,124.09709424627569,121.95010455194628,116.69234691551598
208,10/28/2020,121.580002,-0.034994899,0.001160949,0.001516468,123.81762106186724,121.67688069358799,116.47043035947539
209,10/29/2020,126.440002,0.039195404,0.001162155,0.00169675,119.5453144919496,117.47109703526729,112.42464555608568
210,10/30/2020,123.360001,-0.024660985,0.001159913,0.001571237,124.33114455523362,122.1687565160643,116.90366791795167
211,11/2/2020,123.970001,0.004932691,0.001154469,0.001587168,121.29786007891238,119.20164465584321,114.0516690848687
212,11/3/2020,125.449997,0.01186764,0.00114952,0.001635661,121.89917972010637,119.8033079091861,114.6437099306854
213,11/4/2020,128.970001,0.027672578,0.001147291,0.0017579,123.37426356305313,121.24870735673451,116.05373043014158
214,11/5/2020,145.410004,0.119977539,0.001206932,0.002310328,126.85866451851005,124.67051918294484,119.3292944102245
215,11/6/2020,145.009995,-0.002754695,0.001201437,0.00228677,143.02179125757496,140.49305293621921,134.33553105849816
216,11/9/2020,142.610001,-0.016689032,0.001197534,0.002198919,142.62982229621613,140.11061610097846,134.01519306546143
217,11/10/2020,140.110001,-0.017685803,0.00119383,0.002107284,140.26325729147626,137.78969546483702,131.77855994309817
218,11/11/2020,147.690002,0.05268766,0.001200035,0.002339304,137.79344797055353,135.38254216658981,129.48639232152075
219,11/12/2020,143.910004,-0.025927364,0.001198187,0.002210233,145.2790198763357,142.72182582942176,136.4771987430228
220,11/13/2020,144.259995,0.00242906,0.001192741,0.002211227,141.5515086209833,139.06534709096002,132.99336602523988
221,11/16/2020,149.070007,0.032798849,0.001191558,0.002349633,141.89714951573032,139.41429522214236,133.35770519961642
222,11/17/2020,148.740005,-0.002216192,0.001186285,0.002329066,146.64702833080736,144.0783406825713,137.79583597845723
223,11/18/2020,147.050003,-0.011427163,0.00118181,0.002267379,146.32490127194737,143.7733970955992,137.49777386152113
224,11/19/2020,147.529999,0.003258853,0.001176538,0.002271805,144.66835267390283,142.15082442442417,136.0005916470689
225,11/20/2020,146.029999,-0.010219465,0.001171999,0.002216288,145.15286808210195,142.62054203423617,136.43180870604812
226,11/23/2020,143.820007,-0.015249507,0.001168157,0.002139006,143.65422259582243,141.16237515543145,135.07929456475622
227,11/24/2020,145.929993,0.01456444,0.001163689,0.002193744,141.48961122064344,139.03721678752055,133.0178985992497
228,11/25/2020,144.080002,-0.012758292,0.001159561,0.002128165,143.57364668986753,141.08190719519678,134.9865365579717
229,11/27/2020,143.830002,-0.001736654,0.001154562,0.002111288,141.75562857804005,139.30381832320572,133.3205794295036
230,11/30/2020,147.169998,0.022956307,0.001151423,0.002201918,141.5051813121752,139.0677946274629,133.1043751898813
231,12/1/2020,151.259995,0.02741181,0.001149178,0.002311052,144.81193041704827,142.31866458474272,136.22640519843108
232,12/2/2020,149.979996,-0.008498252,0.001144726,0.00226446,148.8611333723658,146.29369039861984,140.04572284886396
233,12/3/2020,149.910004,-0.000466784,0.001139845,0.002252738,147.59108176278144,145.0612393078827,138.872841198574
234,12/4/2020,157.619995,0.0501519,0.001144737,0.002457435,147.5224384257182,145.00308530984103,138.82906720531017
235,12/7/2020,158.020004,0.002534591,0.001139866,0.002457764,155.13766481664507,152.48173098399334,145.9694008570431
236,12/8/2020,158.800003,0.004923935,0.001135062,0.002468214,155.53622932328048,152.8756757145033,146.3725555033072
237,12/9/2020,156.020004,-0.017661338,0.001131975,0.002383279,156.3106205906873,153.6487965845543,147.09703461558985
238,12/10/2020,155.75,-0.001732072,0.001127289,0.002365987,153.57241174691697,150.94737379712484,144.53748840325875
239,12/11/2020,144.279999,-0.076496309,0.001148486,0.00203602,153.30844768284373,150.69086233703385,144.32313847398066
240,12/14/2020,146.289993,0.013835056,0.001144278,0.002085182,141.93974370340288,139.5027525342251,133.52149392142064
241,12/15/2020,148.360001,0.014050854,0.001140122,0.002134832,143.94177457033328,141.4631976642918,135.42081313484525
242,12/16/2020,149.740005,0.009258731,0.001135619,0.00216427,145.98748458152872,143.48816522590357,137.36854114523766
243,12/17/2020,149.529999,-0.001403455,0.001130998,0.002149588,147.35929026807128,144.84221253101404,138.70376044947304
244,12/18/2020,147.419998,-0.014211393,0.001127455,0.002082535,147.14701795498036,144.6384302185832,138.52008775171322
245,12/21/2020,146.800003,-0.004214506,0.001123015,0.002056833,145.06379655622166,142.5819120754721,136.53459211421162
246,12/22/2020,146.339996,-0.003138482,0.001118559,0.002035713,144.46218143028753,142.00507615887855,136.0218552629505
247,12/23/2020,146.960007,0.004227834,0.00111405,0.002044588,144.00668009254358,141.55721561691337,135.5788113972486
248,12/24/2020,148.789993,0.01237538,0.001109986,0.002086245,144.62606519481406,142.1713795803496,136.1889473162152
249,12/28/2020,147.740005,-0.007081863,0.001105865,0.002049425,146.43851648549204,143.9499231886755,137.89615287335292
250,12/29/2020,148.490005,0.005063644,0.001101477,0.002061482,145.40678329696271,142.94477147487916,136.95018589440568
251,12/30/2020,149.949997,0.009784236,0.001097326,0.00209225,146.14447553932717,143.67873865522458,137.65186143096287
252,12/31/2020,152.339996,0.015812953,0.001093715,0.002146697,147.60116642640799,145.1214972726367,139.0627805384815
253,1/4/2021,148.5,-0.02552988,0.001092408,0.002037304,149.95346495282206,147.43492334043074,141.3032821744316
254,1/5/2021,152.429993,0.02612047,0.001090382,0.002132119,146.1674256601528,143.71607462390983,137.70664790740932
255,1/6/2021,151.190002,-0.008168091,0.00108652,0.002091726,150.0513082788985,147.54058516218217,141.41189783775803
256,1/7/2021,155.699997,0.029393722,0.001085176,0.002198375,148.8311415175433,146.34397341884306,140.22385973742607
257,1/8/2021,156.639999,0.006019113,0.00108101,0.002213241,153.2931589543008,150.722896923214,144.44464615608294
258,1/11/2021,156.110001,-0.003389279,0.001076942,0.002191526,154.22118356179269,151.6418492882651,145.31006416331388
259,1/12/2021,154.449997,-0.010690493,0.001073422,0.002141789,153.70056220940629,151.14168425935478,144.87188818019712
260,1/13/2021,157.419998,0.01904698,0.001070388,0.002206809,152.06710164623829,149.53651739897288,143.33767155046257
261,1/14/2021,160.850006,0.021554911,0.001067716,0.002280939,154.9969894542972,152.4203979312851,146.1055238670692
262,1/15/2021,157.089996,-0.023653427,0.001066198,0.002181953,158.38912379206732,155.76540667069435,149.30544994995893
263,1/19/2021,163.770004,0.041644165,0.001068043,0.002331999,154.67695704059386,152.10654239423062,145.80731159828792
264,1/20/2021,164.600006,0.005055296,0.001064025,0.002342315,161.2652454269787,158.58745481470953,152.06138170793898
265,1/21/2021,164.75,0.000910849,0.001060017,0.002336913,162.09472401592757,159.41068699461658,152.83820172087096
266,1/22/2021,162.419998,-0.014243613,0.001057062,0.00227458,162.24288755643232,159.56691544188044,153.01265843996725
267,1/25/2021,164.399994,0.012116886,0.001053464,0.002311443,159.9650405339991,157.31548833753834,150.84297275104942
