,Date,AXP,PDR,VAR,AVG,VAR70,VAR85,VAR99
127,7/6/2020,96.580002,0.023572407,0.002483666,-0.002084402,91.56679034851534,89.24812986458124,83.6747758057573
128,7/7/2020,93.010002,-0.037664665,0.002474076,-0.002362372,93.771891318957,91.41483244101224,85.7254725718076
129,7/8/2020,92.900002,-0.001183368,0.002454907,-0.002353233,90.28929692890017,88.01987728442008,82.52572367466611
130,7/9/2020,90.57,-0.025400635,0.002440078,-0.002530521,90.19110202147378,87.93917180554755,82.49189905728885
131,7/10/2020,93.230003,0.028946558,0.002428957,-0.002290238,87.92207873621481,85.73272820150756,80.45592528324809
132,7/13/2020,93.559998,0.00353333,0.002410811,-0.00224612,90.5382306671499,88.27562133780438,82.85739366939306
133,7/14/2020,94.839996,0.013588299,0.002394556,-0.002127064,90.8736388491018,88.61927182239259,83.18086418610162
134,7/15/2020,97.360001,0.02622424,0.00238264,-0.001915487,92.12736856281009,89.85159627054355,84.35807527599515
135,7/16/2020,96.32,-0.010739477,0.002365563,-0.00198085,94.60706930175489,92.27197861343204,86.64726398020792
136,7/17/2020,95.18,-0.011906146,0.002348888,-0.00205383,93.60107396359636,91.28667525992859,85.70654567582906
137,7/20/2020,94.0,-0.012475053,0.00233253,-0.002129897,92.48988314312969,90.2218723601076,84.76031304515759
138,7/21/2020,96.330002,0.024485035,0.002320723,-0.001937035,91.3541779946267,89.11305872660924,83.76939992755923
139,7/22/2020,96.540001,0.002177623,0.002304148,-0.001907434,93.63691034711675,91.35176529565297,85.83784381014367
140,7/23/2020,96.669998,0.001345655,0.002287765,-0.001884197,93.8499951238858,91.58065945509487,86.07841970448823
141,7/24/2020,95.330002,-0.013958518,0.002272566,-0.001969831,93.99894449671011,91.72681682757776,86.22580678402302
142,7/27/2020,95.790001,0.004813728,0.002256884,-0.001922059,92.69198811716664,90.45829862800613,85.07145017987553
143,7/28/2020,94.419998,-0.014405412,0.002242184,-0.002009355,93.14015252615776,90.91182055264503,85.48060733558273
144,7/29/2020,96.690002,0.023757111,0.002231192,-0.001830422,91.81568694459285,89.61783198244349,84.30705123343981
145,7/30/2020,94.650002,-0.021324106,0.002218407,-0.001964861,94.0403227361234,91.80003628991426,86.34680943316513
146,7/31/2020,93.32,-0.014151452,0.002204223,-0.002048331,92.05914806964327,89.86546113743235,84.58866891899282
147,8/3/2020,93.540001,0.002354716,0.002189359,-0.002018378,90.76400273789586,88.6040531426156,83.38218620762008
148,8/4/2020,93.190002,-0.003748722,0.002174586,-0.002030069,90.99473199961494,88.83176336879541,83.6521421043341
149,8/5/2020,95.389999,0.023333299,0.00216428,-0.001859845,90.65969980038537,88.525824823534,83.36966190591409
150,8/6/2020,95.919998,0.005540749,0.002150214,-0.001810508,92.82465483156331,90.63960326456915,85.36382755445798
151,8/7/2020,99.160004,0.033220258,0.002144047,-0.001578516,93.34670803488729,91.1472978779021,85.86758099621248
152,8/10/2020,101.620003,0.024505648,0.002134388,-0.00140691,96.52296168885125,94.26067703207563,88.81645934826909
153,8/11/2020,103.260002,0.016009703,0.002122408,-0.001293076,98.9448719154859,96.6273142271199,91.04363239331644
154,8/12/2020,101.68,-0.015419472,0.002109913,-0.001384806,100.55306924421743,98.20965894044754,92.55488251673304
155,8/13/2020,100.419998,-0.012469256,0.002097089,-0.001456318,99.02096058691774,96.72195737225725,91.1604459629811
