,Date,MPC,PDR,VAR,AVG,VAR70,VAR85,VAR99
247,12/23/2020,41.310001,0.040509442,0.002905602,-0.001637964,38.43945891193197,37.391475851840156,34.86701653874201
248,12/24/2020,41.209999,-0.002423705,0.002893888,-0.001641132,40.03644012029546,38.93890641706059,36.32632055888248
249,12/28/2020,40.779999,-0.01048918,0.00288258,-0.001676667,39.9425566430588,38.85626577755286,36.245430421188125
250,12/29/2020,40.73,-0.001226819,0.00287105,-0.001674867,39.521708078356,38.451215631989385,35.872251102721506
251,12/30/2020,41.57,0.020413832,0.002861548,-0.001586864,39.47529924622873,38.40654414084686,35.8350851202996
252,12/31/2020,41.360001,-0.005064499,0.00285024,-0.001600665,40.29555862306498,39.21115708917947,36.60222760749709
253,1/4/2021,40.75,-0.014858415,0.002839666,-0.001653067,40.09614862980542,39.0146170142121,36.41513864455531
254,1/5/2021,42.09,0.032354343,0.002833022,-0.001519179,39.50950314246668,38.44573032577491,35.881982584310535
255,1/6/2021,42.950001,0.020226489,0.002823759,-0.001433902,40.81033079991335,39.708955225419444,37.06520379892389
256,1/7/2021,44.169998,0.028009109,0.002816102,-0.00131889,41.64912166598288,40.53280171777428,37.856548952686666
257,1/8/2021,43.18,-0.022668355,0.002806911,-0.001401962,42.83687069609819,41.68950410698731,38.930746938474336
258,1/11/2021,43.59,0.009450341,0.002796486,-0.001359899,41.87812646189991,40.75928084014517,38.06439333711369
259,1/12/2021,45.580002,0.044641301,0.002793828,-0.001182288,42.27847531388568,41.15006867315722,38.45299105645919
260,1/13/2021,44.32,-0.028033025,0.002785844,-0.00128556,44.22166316767334,43.0386037583883,40.212288970547704
261,1/14/2021,45.52,0.026715747,0.002778163,-0.001178276,42.9971289138833,41.85080439862326,39.10203540483514
262,1/15/2021,43.98,-0.034416805,0.00277176,-0.00130514,44.162180033850056,42.98830247409148,40.142538045102036
263,1/19/2021,46.09,0.046861022,0.002770009,-0.001121999,42.66783456142434,41.53372191356219,38.80684302282953
264,1/20/2021,46.169998,0.001734186,0.002759547,-0.00111118,44.72615086749659,43.53691139404735,40.6882802623031
265,1/21/2021,45.389999,-0.017038399,0.002750087,-0.001171283,44.802807633996075,43.61635977997695,40.76051742286069
266,1/22/2021,45.75,0.007899997,0.002740057,-0.00113718,44.041636821057814,42.87938963858452,40.078167925565914
267,1/25/2021,46.23,0.010437146,0.002730294,-0.001093831,44.404381505692264,43.22862234889607,40.4274374914237
268,1/26/2021,45.16,-0.023417199,0.002721959,-0.001177127,44.8728400589266,43.68576910257624,40.835539670496054
269,1/27/2021,43.939999,-0.027386695,0.002714385,-0.00127456,43.82454898863192,42.67317391970906,39.8989435761908
270,1/28/2021,44.77,0.018713228,0.002705806,-0.001200531,42.64406292222826,41.51909266221767,38.817607549114
271,1/29/2021,43.16,-0.036624132,0.002700434,-0.001331246,43.44806795337877,42.309948356604984,39.559671631061
272,2/1/2021,43.450001,0.006696734,0.002690742,-0.001301731,41.884993926337195,40.78482179419357,38.145657738599
273,2/2/2021,45.150002,0.038379449,0.002686633,-0.001156379,42.17132504287098,41.06475368581764,38.423502632621776
274,2/3/2021,47.299999,0.04651995,0.002685093,-0.000982378,43.83017417125452,42.681677351946426,39.926821790310356
275,2/4/2021,47.330002,0.000634112,0.002675339,-0.000976499,45.92375913749587,44.723233332363314,41.831576451477495
276,2/5/2021,47.650002,0.006738286,0.00266586,-0.000948547,45.95158594456813,44.74423091066621,41.848735920145
277,2/8/2021,49.48,0.037685875,0.002661605,-0.000809073,46.273307273020905,45.06331965940669,42.16075679591541
278,2/9/2021,48.869999,-0.012404857,0.002652513,-0.000850784,48.058639230346536,46.803327863625555,43.79515546167205
279,2/10/2021,49.810001,0.019052096,0.00264442,-0.000779448,47.46669108037182,46.23100621380876,43.2480038182976
280,2/11/2021,49.759998,-0.001004379,0.002634976,-0.000780251,48.37977034349781,47.12679385165031,44.10024429487955
281,2/12/2021,50.459999,0.013969515,0.002626371,-0.000727761,48.33327894655359,47.08315358409127,44.06423834033397
282,2/16/2021,51.459999,0.019623864,0.002618521,-0.000655592,49.02530766118497,47.753736639775575,44.698974379887474
283,2/17/2021,51.889999,0.008321287,0.002609552,-0.000623872,49.9959465153205,48.7061696034805,45.60646023908654
284,2/18/2021,51.220001,-0.012995974,0.0026009,-0.000667435,50.41885490745796,49.1160147561955,45.99413797649348
285,2/19/2021,53.0,0.034161813,0.002596016,-0.000545227,49.76945806025727,48.4853230918448,45.413947634391626
286,2/22/2021,54.849998,0.034310237,0.002591172,-0.000423355,51.509802047978845,50.17510173605936,46.99744688601224
287,2/23/2021,55.77,0.01663394,0.002583154,-0.000363922,53.30815358955753,51.943153407933586,48.643447758911286
288,2/24/2021,56.650002,0.015655932,0.002575072,-0.000308298,54.2169855140361,52.82148277134994,49.45542453888896
289,2/25/2021,55.07,-0.02828692,0.002568861,-0.000405109,55.070166746574486,53.6613593251267,50.260159856942664
290,2/26/2021,54.619999,-0.008205006,0.002560212,-0.000432006,53.539099051237265,52.168430686475126,48.85000875102857
291,3/1/2021,56.099998,0.026735679,0.002553942,-0.000338646,53.10065534908333,51.74050608356207,48.47281803678094
292,3/2/2021,56.029999,-0.001248533,0.002545198,-0.000341762,54.54396713002627,53.14858969273758,49.790797198420854
293,3/3/2021,56.07,0.000713666,0.002536516,-0.00033816,54.48154250613488,53.09541230309177,49.74517850164791
294,3/4/2021,56.509998,0.007816668,0.002528113,-0.000310422,54.52107769509018,53.1333738775772,49.78613449020839
295,3/5/2021,57.32,0.014232025,0.002520258,-0.000261126,54.952804971248355,53.54713682728324,50.17759847346519
296,3/8/2021,57.16,-0.00279525,0.002511765,-0.000269687,55.74028578061044,54.326933685591996,50.92614091480875
297,3/9/2021,55.869999,-0.022826807,0.002505016,-0.000345637,55.59273540660562,54.188797836385156,50.807191292578025
298,3/10/2021,58.18,0.040514107,0.002502193,-0.000208524,54.34138899903179,52.959542221709704,49.64337442635602
299,3/11/2021,58.0,-0.003098643,0.002493852,-0.00021819,56.58956583213277,55.16209819053286,51.70896614147272
300,3/12/2021,57.75,-0.004319661,0.002485595,-0.000231861,56.42052441321433,54.99904276955881,51.5659419583033
301,3/15/2021,57.860001,0.001902967,0.002477353,-0.000224769,56.174589258752256,54.76111393823515,51.36822589516521
302,3/16/2021,56.209999,-0.028931658,0.002471869,-0.000319825,56.28680281431539,54.87017110425223,51.46930064379574
303,3/17/2021,56.209999,0.0,0.002463712,-0.000318769,54.6834258502584,53.307640249245935,49.99937315105134
304,3/18/2021,52.849998,-0.061636985,0.002467935,-0.000520474,54.67647388233555,53.30890557023017,49.99392436591347
305,3/19/2021,53.759998,0.017071985,0.002460855,-0.000462794,51.404506788403445,50.11663459781824,47.00512197783434
306,3/22/2021,53.349998,-0.007655719,0.002452981,-0.0004863,52.285377634746,50.97516843254671,47.80149764463318
307,3/23/2021,52.439999,-0.0172043,0.002445898,-0.000540756,51.890360752555324,50.59564689266914,47.466275084501355
308,3/24/2021,53.169998,0.01382465,0.002438625,-0.000494115,51.004638328708886,49.732060202729436,46.65843947931764
309,3/25/2021,53.880001,0.01326508,0.002431344,-0.000449587,51.71798685723974,50.42698736191102,47.32323921242449
310,3/26/2021,55.02,0.020937385,0.002424971,-0.000380597,52.41370530080285,51.105459041343,47.96023082699035
311,3/29/2021,53.529999,-0.02745453,0.002419523,-0.000467651,53.53039520936399,52.19919451972929,48.995791546795424
312,3/30/2021,53.599998,0.001306805,0.002411779,-0.000461964,52.07932497358797,50.788831494703295,47.67348152882795
313,3/31/2021,53.490002,-0.002054273,0.002404081,-0.000467051,52.147569546661664,50.854287167470076,47.740557089607506
314,4/1/2021,55.799999,0.042279094,0.002402226,-0.000330917,52.045950205598245,50.75569870202256,47.64724899885551
315,4/5/2021,53.959999,-0.033530839,0.002398088,-0.000436313,54.30247727539338,52.956999852525065,49.72549019765407
316,4/6/2021,53.68,-0.00520252,0.00239057,-0.000451396,52.5107941299782,51.21229493452642,48.08135294270916
317,4/7/2021,53.990002,0.005758389,0.00238315,-0.000431807,52.23698772604262,50.94629178297813,47.83764451546505
318,4/8/2021,53.360001,-0.011737461,0.002376057,-0.000467359,52.543240601833546,51.24568524896452,48.104988306111025
319,4/9/2021,52.830002,-0.009982171,0.002368891,-0.000497186,51.9249665832009,50.64184183548812,47.54885545544443
320,4/12/2021,52.209999,-0.011805221,0.002361887,-0.000532524,51.41414787618756,50.14771592117154,47.08572758678469
321,4/13/2021,52.57,0.006871587,0.002354699,-0.000509458,50.80497958886307,49.55912873901018,46.54266880144569
322,4/14/2021,53.869999,0.024428103,0.002349312,-0.000432012,51.16321699274319,49.90658728792687,46.8938412624956
323,4/15/2021,53.869999,0.0,0.002342039,-0.000430675,52.43145658990526,51.147913283179605,48.06080217408286
324,4/16/2021,54.259998,0.007213552,0.00233499,-0.000407082,52.442195695955036,51.15439993295985,48.04690777625183
325,4/19/2021,53.43,-0.015414884,0.002328497,-0.00045326,52.821785287079926,51.53291788261065,48.416865092180416
326,4/20/2021,52.049999,-0.02616761,0.002323376,-0.000532138,52.010266258397984,50.740939472937896,47.68541604950549
327,4/21/2021,53.310001,0.023919174,0.002318094,-0.000457363,50.663522815295195,49.427440806283926,46.445291241785434
328,4/22/2021,52.060001,-0.023727031,0.002312672,-0.000528307,51.9013770142988,50.633595895305135,47.58789067821371
329,4/23/2021,53.0,0.017894995,0.002306671,-0.000472309,50.67330437241367,49.44501432581576,46.4599287254496
330,4/26/2021,53.27,0.005081407,0.002299775,-0.00045548,51.595328566984314,50.3429913785056,47.31561635182776
331,4/27/2021,53.889999,0.011571592,0.002293262,-0.000419144,51.864565671846435,50.61334803585747,47.58048857671387
332,4/28/2021,55.439999,0.028356423,0.002288841,-0.000332471,52.46518984658962,51.193347854105106,48.13364393784843
333,4/29/2021,56.040001,0.010764402,0.002282337,-0.000299147,53.98438630321997,52.673912957873775,49.52445674513035
334,4/30/2021,55.650002,-0.006983626,0.002275637,-0.000319161,54.57362858878569,53.258331599259755,50.076137314435684
335,5/3/2021,57.16,0.026772239,0.002271028,-0.000238291,54.20162882979191,52.88910104084831,49.7296233147553
336,5/4/2021,57.299999,0.002446253,0.00226429,-0.000230301,55.672737771301264,54.33099743026084,51.09968894510366
337,5/5/2021,59.369999,0.035488425,0.002261346,-0.000124311,55.81939454475886,54.47518683574165,51.229179973772894
338,5/6/2021,59.459999,0.001514769,0.002254664,-0.000119461,57.835557739259976,56.440355768771454,53.06635387760159
339,5/7/2021,60.0,0.009040761,0.00224826,-9.24e-05,57.929046910660055,56.537026991024625,53.17569473805337
340,5/10/2021,59.810001,-0.003171674,0.002241675,-0.000101497,58.45577500054305,57.05554539888073,53.6748963230028
341,5/11/2021,58.639999,-0.019755847,0.00223623,-0.000159134,58.269196982741235,56.87354317700932,53.49373644675473
342,5/12/2021,58.970001,0.005611816,0.002229789,-0.00014226,57.12742014531934,55.76265314481189,52.47231452703844
343,5/13/2021,58.779999,-0.003227213,0.002223316,-0.000151254,57.452902513548025,56.07713035281111,52.76496859080847
344,5/14/2021,60.080002,0.021875397,0.002218259,-8.72e-05,57.27403706208169,55.907417323855604,52.587704238755215
345,5/17/2021,61.52,0.023685284,0.002213462,-1.83e-05,58.54502824893737,57.14845608926461,53.78323952997
346,5/18/2021,60.330002,-0.0195328,0.002208163,-7.47e-05,59.955458881239785,58.52504431823601,55.06705475075045
347,5/19/2021,59.549999,-0.013013247,0.00220228,-0.000112004,58.79232935250722,57.39999111793573,54.01496720902424
348,5/20/2021,59.669998,0.002013069,0.002195965,-0.000105898,58.03644181147162,56.65952421575868,53.346393168437096
349,5/21/2021,59.59,-0.001341573,0.002189677,-0.000109438,58.15136314460395,56.77314391403891,53.43892626473793
350,5/24/2021,60.73,0.018950035,0.002184456,-5.5e-05,58.074814015361454,56.70319888486159,53.368904164024954
351,5/25/2021,60.009998,-0.011926628,0.002178632,-8.88e-05,59.18897295668347,57.79088067749372,54.40150389895935
352,5/26/2021,60.799999,0.013078591,0.002172934,-5.14e-05,58.49270351063226,57.110903883938555,53.774468852629155
353,5/27/2021,61.400002,0.009820095,0.002167054,-2.34e-05,59.27020654432711,57.874073304214306,54.4891072912812
354,5/28/2021,61.799999,0.006493481,0.002161052,-5.02e-06,59.854841255608925,58.445070744971815,55.0409005027056
355,6/1/2021,62.5,0.011263208,0.002155321,2.67e-05,60.242287052583045,58.82749705545271,55.410302719086424
356,6/2/2021,62.98,0.007650659,0.00214943,4.81e-05,60.93714635827483,59.51075578862201,56.052595277114165
357,6/3/2021,63.259998,0.004435971,0.002143463,6.04e-05,61.401888724125435,59.960925163749735,56.50422446604364
358,6/4/2021,63.669998,0.006460276,0.002137589,7.83e-05,61.672804805494934,60.233954362410095,56.743422950914436
359,6/7/2021,63.34,-0.005196422,0.002131712,6.36e-05,62.08003407049026,60.63098699219332,57.120006208462286
360,6/8/2021,64.089996,0.011771242,0.002126171,9.61e-05,61.76724666429122,60.32580724754591,56.825618239972556
361,6/9/2021,63.610001,-0.007517577,0.002120441,7.5e-05,62.498236611530814,61.03625959343334,57.52851879142647
362,6/10/2021,63.439999,-0.002676145,0.002114604,6.74e-05,62.027717799997006,60.58523005919148,57.0709128426406
363,6/11/2021,63.18,-0.004106766,0.002108827,5.59e-05,61.8589934026179,60.41786461132896,56.93028788050565
364,6/14/2021,62.990002,-0.00301178,0.002103059,4.75e-05,61.62022967925453,60.19077373850227,56.73647599875416
365,6/15/2021,63.669998,0.010737447,0.00209761,7.68e-05,61.43552040424069,60.010188971455214,56.57058143666768
366,6/16/2021,63.279999,-0.006144155,0.002091984,5.98e-05,62.097995759769795,60.66128777149491,57.17868593515129
367,6/17/2021,60.959999,-0.037351413,0.002090087,-4.21e-05,61.71812744515264,60.29354162827646,56.82230778754097
368,6/18/2021,58.869999,-0.034886289,0.002087698,-0.000136821,59.45320566204608,58.07627424191704,54.748031606479906
369,6/21/2021,61.049999,0.036361578,0.00208564,-3.79e-05,57.41078499077327,56.08032000666251,52.87593024657266
370,6/22/2021,61.34,0.004738975,0.002080065,-2.5e-05,59.5482572565815,58.167266206487156,54.83274986258438
371,6/23/2021,61.549999,0.003417678,0.00207449,-1.57e-05,59.822495526365294,58.440897602682284,55.108545171159975
372,6/24/2021,62.34,0.012753438,0.002069351,1.86e-05,60.030930171990356,58.647039092803446,55.30022282935124
373,6/25/2021,62.549999,0.003362947,0.002063833,2.76e-05,60.8117452569754,59.41277489950992,56.03145114360912
374,6/28/2021,60.5,-0.033322856,0.00206128,-6.16e-05,61.01887858532923,59.62029791469054,56.2263848001649
375,6/29/2021,60.080002,-0.006966324,0.00205591,-8e-05,59.00948328741139,57.66067647406899,54.39087627577144
376,6/30/2021,60.419998,0.005643102,0.002050529,-6.48e-05,58.602974754605114,57.25668886594576,54.003129076085
377,7/1/2021,61.27,0.013970184,0.002045611,-2.76e-05,58.93606218246965,57.58774959615633,54.321039917402445
378,7/2/2021,61.07,-0.00326958,0.002040228,-3.61e-05,59.76753815222228,58.40254385148022,55.10106298876389
379,7/6/2021,58.970001,-0.03499189,0.00203806,-0.000128372,59.57579660244045,58.21187842716495,54.92130407909261
380,7/7/2021,57.950001,-0.01744827,0.002033484,-0.00017395,57.525301123210944,56.21160485983786,53.03268301337709
