,Date,VZ,PDR,VAR,AVG,VAR70,VAR85,VAR99
158,8/18/2020,59.18,0.006782003,0.000345441,-0.000196896,58.18446592607045,57.63236356890053,56.26539001903578
159,8/19/2020,59.049999,-0.002199121,0.000343293,-0.000209488,58.584036946723316,58.029183799753696,56.64901184987995
160,8/20/2020,58.959999,-0.001525295,0.000341158,-0.000217712,58.45561659560065,57.90478689059031,56.54037282264442
161,8/21/2020,58.990002,0.000508741,0.000339042,-0.0002132,58.37193075892325,57.821220851810274,56.45891093427936
162,8/24/2020,59.57,0.00978412,0.000337563,-0.000151488,58.39902780797412,57.849987570890384,56.49709472419494
163,8/25/2020,59.419998,-0.002521255,0.000335526,-0.000166027,58.97979001192387,58.42732708520458,57.05767097864655
164,8/26/2020,59.459999,0.000672964,0.000333484,-0.000160911,58.83213945654194,58.28192734707657,56.922415126293004
165,8/27/2020,59.43,-0.000504651,0.000331464,-0.000162994,58.87257195674998,58.325372370684434,56.96835719351189
166,8/28/2020,59.259998,-0.002864641,0.000329511,-0.000179269,58.84758225149271,58.29910107133857,56.94209100070357
167,8/31/2020,59.27,0.000168767,0.000327539,-0.000177185,58.680033120031204,58.137696261061436,56.792102729919186
168,9/1/2020,59.16,-0.001857638,0.000325606,-0.000187188,58.689416409657866,58.1489139343449,56.80862099016925
169,9/2/2020,60.529999,0.022893456,0.000326812,-5.06e-05,58.58081287413533,58.04050646447973,56.69964559002321
170,9/3/2020,60.610001,0.001320819,0.000324901,-4.25e-05,59.945216136497386,59.39070601017865,58.017913361203334
171,9/4/2020,60.48,-0.002147181,0.000323027,-5.49e-05,60.028599385195136,59.47659407997917,58.107523944337565
172,9/8/2020,59.959999,-0.008635075,0.000321574,-0.000104741,59.898935103741344,59.35239789180462,57.99287819054701
173,9/9/2020,60.040001,0.001333367,0.000319727,-9.64e-05,59.3853470605103,58.84235030078831,57.50137772561261
174,9/10/2020,59.529999,-0.008530653,0.000318296,-0.000144901,59.46540318602814,58.92537852432003,57.58179641874094
175,9/11/2020,59.790001,0.004358069,0.000316593,-0.00011917,58.95670084111388,58.421460730545284,57.09260687140677
176,9/14/2020,60.32,0.008825284,0.000315246,-6.83e-05,59.21823599161766,58.68119106628334,57.34399273849911
177,9/15/2020,60.599998,0.004631136,0.000313589,-4.18e-05,59.74489071796422,59.20497947843292,57.863052497047775
178,9/16/2020,60.369999,-0.003802584,0.000311906,-6.29e-05,60.030681438045434,59.48689666108463,58.14958129747511
179,9/17/2020,60.59,0.003637587,0.00031024,-4.23e-05,59.79993810498785,59.26158436888279,57.91799874482532
180,9/18/2020,60.349998,-0.003968949,0.000308601,-6.41e-05,60.02064035617006,59.4789402665937,58.14451344624081
181,9/21/2020,59.610001,-0.012337552,0.000307724,-0.000131877,59.78419395858497,59.249094139192074,57.92220949070898
182,9/22/2020,59.82,0.003516691,0.000306106,-0.00011183,59.04740436761408,58.520075239872305,57.21154340611927
183,9/23/2020,58.91,-0.015329198,0.000305692,-0.000194985,59.25607637393803,58.72550136832061,57.41746365835951
184,9/24/2020,59.189999,0.004741736,0.000304162,-0.000168155,58.35192000762712,57.83250325910568,56.547053636482836
185,9/25/2020,59.389999,0.003373253,0.000302585,-0.000149013,58.63372966383367,58.11281800936208,56.813736300990456
186,9/28/2020,59.360001,-0.000505229,0.000300959,-0.000150928,58.83427205086826,58.309860105010294,57.01724774495186
187,9/29/2020,59.240002,-0.002023593,0.000299369,-0.000160942,58.8033299444908,58.28405905026795,56.98755817779747
188,9/30/2020,59.490002,0.004211242,0.000297877,-0.000137686,58.68641472768569,58.16832293243652,56.88110468056609
189,10/1/2020,59.450001,-0.000672625,0.000296303,-0.000140516,58.93928685746519,58.418549782306485,57.13316028770075
190,10/2/2020,59.240002,-0.003538617,0.000294804,-0.000158401,58.89767209975235,58.381129246976144,57.100682742558206
191,10/5/2020,59.66,0.007064756,0.000293532,-0.000120583,58.691701995242376,58.17896112951313,56.909206092501286
192,10/6/2020,59.459999,-0.003357978,0.000292057,-0.000137445,59.110963980974134,58.59351790064393,57.31323027980238
193,10/7/2020,59.610001,0.002519561,0.000290581,-0.000123678,58.91348768429116,58.40090274839055,57.125496229318436
194,10/8/2020,59.189999,-0.00707077,0.00028933,-0.000159488,59.0615097136311,58.54763989507355,57.272425501600715
195,10/9/2020,59.330002,0.002362522,0.000287879,-0.000146554,58.645335073481334,58.13625065191886,56.87845915528343
196,10/12/2020,59.549999,0.003701165,0.000286485,-0.000126923,58.788297146443185,58.28013260054199,57.01501255447358
197,10/13/2020,59.360001,-0.003195663,0.000285079,-0.0001425,59.00809552925753,58.500396697109785,57.23779068225042
198,10/14/2020,58.43,-0.015791159,0.000284869,-0.000221534,58.8202200507483,58.31377855012142,57.055448390026676
199,10/15/2020,58.16,-0.004631623,0.000283535,-0.000243695,57.893924152374964,57.39478000885627,56.15893258197992
200,10/16/2020,58.049999,-0.001893142,0.000282131,-0.000251942,57.62440985791941,57.12956696763904,55.906774040033675
201,10/19/2020,57.299999,-0.013004085,0.000281532,-0.000315386,57.51991334721568,57.026346505152,55.80439358227774
202,10/20/2020,57.25,-0.000872964,0.00028014,-0.000318146,56.771346028803876,56.284781790502926,55.08085273353086
203,10/21/2020,56.75,-0.008771986,0.00027911,-0.000359791,56.72332547010975,56.23993311705051,55.03736018863327
204,10/22/2020,57.330002,0.010168425,0.000278283,-0.000308182,56.22687577239838,55.74865938768677,54.55451893397429
205,10/23/2020,57.959999,0.010929018,0.000277538,-0.000253366,56.80302175460799,56.321456259869414,55.1175885936945
206,10/26/2020,57.810001,-0.002591312,0.000276218,-0.000264716,57.433812712054845,56.946339259222356,55.733759111464764
207,10/27/2020,57.380001,-0.00746596,0.000275133,-0.000299504,57.284354500221404,56.79851315695818,55.59684233176225
208,10/28/2020,56.310001,-0.018823671,0.000275452,-0.000388563,56.85930078264152,56.37827933194459,55.18492029736276
209,10/29/2020,56.759998,0.00795966,0.000274465,-0.000348619,55.791335599016655,55.32027904293333,54.152470690492535
210,10/30/2020,56.990002,0.004044032,0.00027325,-0.000327702,56.24193241399096,55.765980156381794,54.58009548130646
211,11/2/2020,57.700001,0.012381342,0.000272717,-0.000267469,56.47149089387138,55.99614036382252,54.816793266968055
212,11/3/2020,57.75,0.000866159,0.000271436,-0.000262122,57.17890227703337,56.69619984335135,55.501763365005566
213,11/4/2020,57.220001,-0.009219844,0.000270537,-0.000304177,57.22910632396846,56.74832961168862,55.556358559135425
214,11/5/2020,58.150002,0.016122408,0.000270528,-0.000227417,56.70540885903615,56.22907951417991,55.04689771082239
215,11/6/2020,58.529999,0.006513513,0.00026948,-0.000196064,57.629192270371554,57.14768975365238,55.94861181575332
216,11/9/2020,59.84,0.022134907,0.00027053,-9.27e-05,58.00877003613607,57.5240487613521,56.31854104590216
217,11/10/2020,61.099998,0.0208375,0.000271293,3.77e-06,59.313489570940035,58.81656879185369,57.58419016046382
218,11/11/2020,61.0,-0.001637969,0.000270061,-3.76e-06,60.567825121045374,60.05913873354522,58.78878441691314
219,11/12/2020,60.790001,-0.003448546,0.000268882,-1.95e-05,60.467833201709006,59.96178753899932,58.70898480786812
220,11/13/2020,61.060001,0.004431685,0.000267749,7.45e-07,60.26032465466328,59.75579051196045,58.5037599899379
221,11/16/2020,60.889999,-0.002788062,0.000266573,-1.19e-05,60.530069769373675,60.022832303556875,58.76949928470808
222,11/17/2020,60.75,-0.002301859,0.000265395,-2.22e-05,60.36457233214045,59.861647326020986,58.61975614944938
223,11/18/2020,60.32,-0.007103359,0.000264429,-5.39e-05,60.222484216227365,59.7220115583176,58.48112873038432
224,11/19/2020,60.209999,-0.001825289,0.000263263,-6.19e-05,59.79613941524319,59.29960714103192,58.07159058180715
225,11/20/2020,60.040001,-0.002827411,0.000262126,-7.41e-05,59.68941936285926,59.19506030563707,57.96932159381474
226,11/23/2020,60.23,0.003159544,0.000261013,-5.98e-05,59.52058454664863,59.02970645465213,57.809477243302986
227,11/24/2020,60.639999,0.006784158,0.000260068,-2.97e-05,59.71124933310825,59.21996619846106,58.00613287641183
228,11/25/2020,60.41,-0.003800071,0.00025899,-4.62e-05,60.12058555716847,59.626258227308405,58.39771252716274
229,11/27/2020,60.580002,0.002810184,0.000257894,-3.37e-05,59.89003871771326,59.39841857966037,58.178364341494955
230,11/30/2020,60.41,-0.002810184,0.000256806,-4.58e-05,60.06062821995412,59.568876189940994,58.34484111628708
231,12/1/2020,60.580002,0.002810184,0.00025573,-3.35e-05,59.89464548564243,59.40480450492802,58.187375636361786
232,12/2/2020,61.360001,0.012793335,0.000255334,2.18e-05,60.06479076741888,59.57505566964115,58.3586312825159
233,12/3/2020,61.740002,0.006173878,0.000254399,4.82e-05,60.840924342,60.34657478730922,59.1153604157257
234,12/4/2020,61.549999,-0.003082215,0.000253354,3.49e-05,61.221455884741395,60.722520592728145,59.488457138383154
235,12/7/2020,61.349998,-0.003254698,0.000252322,2.09e-05,61.031294058685354,60.536355993538855,59.309795087763064
236,12/8/2020,61.450001,0.001628714,0.000251263,2.77e-05,60.8349378369616,60.34225311632667,59.11637675250413
237,12/9/2020,61.459999,0.000162688,0.000250203,2.82e-05,60.93511023702002,60.44078701708726,59.21381846391279
238,12/10/2020,60.509998,-0.015577933,0.000250171,-3.73e-05,60.94694718883683,60.45548814809984,59.23317028543971
239,12/11/2020,60.349998,-0.002647693,0.000249153,-4.83e-05,59.99858210988555,59.51510045510421,58.312847659845225
240,12/14/2020,59.98,-0.006149741,0.000248269,-7.37e-05,59.840947521465,59.35884558115982,58.16631926314886
241,12/15/2020,60.549999,0.00945828,0.000247614,-3.41e-05,59.47298692107883,58.9962975847524,57.807120925486004
242,12/16/2020,59.91,-0.010626017,0.000247053,-7.79e-05,60.04393597768885,59.56180685342353,58.3598531607742
243,12/17/2020,60.009998,0.001667746,0.000246049,-7.07e-05,59.406913727478916,58.927666228828876,57.75280110609105
244,12/18/2020,60.459999,0.007470791,0.000245272,-3.98e-05,59.50780606827949,59.03048868879736,57.84768696641734
245,12/21/2020,59.490002,-0.016173708,0.000245329,-0.000105653,59.9553210627137,59.47761302887519,58.284815504470494
246,12/22/2020,58.990002,-0.008440293,0.000244613,-0.000139533,58.99063869034478,58.51913264212606,57.35114415007853
247,12/23/2020,58.959999,-0.000508741,0.000243624,-0.000141028,58.49290914847644,58.02570562508795,56.866602155694366
248,12/24/2020,58.84,-0.002037335,0.000242656,-0.000148675,58.46295086572573,57.99903861200732,56.84496442745855
249,12/28/2020,58.98,0.002376508,0.000241707,-0.000138533,58.34481599685118,57.881168490278355,56.73085227175622
250,12/29/2020,58.810001,-0.002886478,0.00024077,-0.000149525,58.48586567750535,58.02315817085068,56.86930160294678
251,12/30/2020,58.139999,-0.011458048,0.000240318,-0.000194579,58.320531414034285,57.8591437856506,56.707258058499036
252,12/31/2020,58.75,0.010437275,0.000239811,-0.000152389,57.65180127561318,57.19623807261083,56.059912466348
253,1/4/2021,58.849998,0.001700647,0.000238877,-0.000145065,58.25812145526948,57.799033768721955,56.656364351359784
254,1/5/2021,58.580002,-0.004598424,0.000238014,-0.000162598,58.3592355769491,57.89912753309798,56.75730044183318
255,1/6/2021,59.290001,0.012047299,0.000237663,-0.000114716,58.09218394491564,57.635033737120885,56.505084272153454
256,1/7/2021,58.529999,-0.012901248,0.000237371,-0.000164663,58.79945883235881,58.3360364185893,57.18891660683072
257,1/8/2021,57.799999,-0.012550668,0.000237042,-0.000212858,58.04303203686379,57.58568325520116,56.451127161162965
258,1/11/2021,57.459999,-0.005899722,0.000236248,-0.0002349,57.318075906798725,56.865996040876226,55.74892186715778
259,1/12/2021,57.259998,-0.003486771,0.000235377,-0.000247455,56.97621469925763,56.52992063808925,55.420146250596375
260,1/13/2021,57.060001,-0.003498901,0.000234512,-0.000259961,56.78243162783772,56.33897743416361,55.23438035726248
261,1/14/2021,57.040001,-0.00035057,0.000233613,-0.000260308,56.582274297036,56.13940797701324,55.04201097040527
262,1/15/2021,57.380001,0.005943034,0.000232868,-0.000236631,56.56320195216736,56.12346530616862,55.028007371668465
263,1/19/2021,57.049999,-0.005767769,0.000232098,-0.000257662,56.9026823096982,56.45794932489845,55.356395370675386
264,1/20/2021,57.259998,0.003674206,0.000231278,-0.000242769,56.57432019075427,56.133517701281555,55.04590559422595
