,Date,TSN,PDR,VAR,AVG,VAR70,VAR85,VAR99
90,5/12/2020,60.080002,-0.011254604,0.001813248,-0.004486658,59.09914809301458,57.816130271135336,54.68993563944184
91,5/13/2020,58.119999,-0.033167219,0.001802262,-0.004801829,58.44250309394254,57.184785431606414,54.11600202603828
92,5/14/2020,59.16,0.017735816,0.001788134,-0.004556855,56.51450466850584,55.29859065295884,52.347881056666026
93,5/15/2020,58.209999,-0.016188494,0.001770346,-0.004681926,57.551429922409376,56.31598387430609,53.31432753129693
94,5/18/2020,60.830002,0.044025977,0.001776483,-0.004163757,56.632279649908895,55.426578237979456,52.485086275647866
95,5/19/2020,58.360001,-0.04145238,0.001772265,-0.004556269,59.197843640311106,57.938176577893394,54.87792206491921
96,5/20/2020,60.650002,0.038488928,0.001772904,-0.004107881,56.77277177465957,55.55902253312441,52.62266296404647
97,5/21/2020,59.25,-0.023353888,0.001758406,-0.004306294,59.029339747544,57.7717946504783,54.718920250280284
98,5/22/2020,59.189999,-0.001013188,0.001740572,-0.004272691,57.66466044903721,56.44193683142227,53.45819939116526
99,5/26/2020,61.639999,0.040558402,0.001743087,-0.003819851,57.60788840939616,56.39120615590867,53.444315885322524
100,5/27/2020,62.75,0.017847584,0.001730304,-0.003603177,60.01984906207361,58.749790718595285,55.667314754831494
101,5/28/2020,62.66,-0.001435292,0.001713218,-0.003581713,61.121157577859165,59.83137207941973,56.71367754530059
102,5/29/2020,61.439999,-0.019662213,0.001698932,-0.003739365,61.040062151038285,59.76045530843225,56.64374130084053
103,6/1/2020,62.610001,0.018863953,0.00168735,-0.003519915,59.84682854331367,58.59705128015038,55.56525284185955
104,6/2/2020,62.5,-0.001758469,0.001671155,-0.003502978,61.01026645281576,59.736351594693346,56.6572824963817
105,6/3/2020,60.099998,-0.039156748,0.00166723,-0.003842538,60.90748309369287,59.650514270668175,56.59349012822291
106,6/4/2020,64.07,0.063966427,0.001694471,-0.003202831,58.55268686358006,57.340778428762476,54.39377661453129
107,6/5/2020,64.919998,0.013179476,0.001681119,-0.003049725,62.4416785191672,61.142251174434236,57.97666993905509
108,6/8/2020,68.669998,0.056156682,0.00169771,-0.002501518,63.2947748009957,61.979796586615876,58.78229434723792
109,6/9/2020,66.769997,-0.028058561,0.001688072,-0.002735986,66.9731219923438,65.57521454192977,62.19606760320282
110,6/10/2020,64.540001,-0.033968631,0.001681513,-0.003019919,65.11463228988201,63.755276056437886,60.4607053501971
111,6/11/2020,59.849998,-0.075443804,0.001713193,-0.003672386,62.92737393639065,61.62053359177567,58.441900370748584
112,6/12/2020,62.200001,0.038513617,0.001713645,-0.003295726,58.29907248540426,57.07741985311185,54.11503736746377
113,6/15/2020,62.759998,0.00896288,0.001699798,-0.003187242,60.61322469835978,59.34438595133226,56.26805769376879
114,6/16/2020,64.849998,0.032758984,0.001696122,-0.002871925,61.16563753862591,59.89082762224386,56.778909151220844
115,6/17/2020,63.490002,-0.021194435,0.001684267,-0.003031251,63.231374109509396,61.91022923811703,58.70728261165376
116,6/18/2020,64.019997,0.008313043,0.001670848,-0.002933455,61.904233655640546,60.61402673896977,57.485979275263865
117,6/19/2020,63.220001,-0.012574765,0.001657355,-0.00301586,62.4321374269901,61.1402366306592,57.999003111494304
118,6/22/2020,61.419998,-0.02888524,0.001648932,-0.003235092,61.64744494500912,60.37689753917814,57.282384789079
119,6/23/2020,61.16,-0.004242101,0.001635084,-0.003243554,59.88340708036633,58.64905649286161,55.66105957870916
