,Date,AMZN,PDR,VAR,AVG,VAR70,VAR85,VAR99
120,6/24/2020,136.720001,-0.010915226,0.000646454,0.003042551,136.7687225421661,134.9923091120567,130.65432854726222
121,6/25/2020,137.729004,0.007352969,0.000641264,0.003078174,135.27735071641152,133.5254434342964,129.2295853209322
122,6/26/2020,134.643494,-0.022657515,0.000641392,0.002867226,136.2892204197012,134.53418875526782,130.188181373814
123,6/29/2020,134.018997,-0.004648942,0.000636633,0.002806119,133.20079788430243,131.47809536470166,127.25286847619594
124,6/30/2020,137.940994,0.028844455,0.000636923,0.003016105,132.5839085909593,130.88293914820343,126.68430322125822
125,7/1/2020,143.934998,0.042535781,0.000644222,0.003332263,136.49861987781185,134.74297520023197,130.4027290490047
126,7/2/2020,144.514999,0.004021507,0.000639113,0.003337733,142.45686282436344,140.62062165265982,136.07061535827552
127,7/6/2020,152.852005,0.056086864,0.000655817,0.00375308,143.0446052168708,141.20455677595635,136.66843810001737
128,7/7/2020,150.005997,-0.018794892,0.000654634,0.003576924,151.3300947741032,149.35932481639864,144.50356681941045
129,7/8/2020,154.055496,0.026637628,0.00065365,0.00375569,148.48888521043637,146.55575173898518,141.82510372823245
130,7/9/2020,159.1315,0.032418003,0.000654893,0.003976169,152.52637977539192,150.54341823070303,145.66466779175758
131,7/10/2020,160.0,0.005442911,0.00064991,0.003987365,157.58906529184665,155.54137221764785,150.49485288469353
132,7/13/2020,155.199997,-0.030459227,0.000653908,0.003726406,158.45241018540193,156.4005959653204,151.333276441798
133,7/14/2020,154.199997,-0.006464147,0.000649766,0.003649786,153.65107668780715,151.65115833046798,146.74428374514824
134,7/15/2020,150.443497,-0.024662863,0.000650854,0.003438497,152.6589715869761,150.6812841892288,145.75623157703495
135,7/16/2020,149.994995,-0.002985652,0.000646337,0.003390911,148.89792433380478,146.96597579841372,142.21334725941307
136,7/17/2020,148.098495,-0.012724368,0.00064348,0.003272416,148.46633046225833,146.5471393129056,141.7923449397467
137,7/20/2020,159.841995,0.076308237,0.000677435,0.003805524,146.57564669950693,144.6827972372054,140.00090602290717
138,7/21/2020,156.914505,-0.018484693,0.0006761,0.003644001,158.21197442282045,156.11894240495994,150.98088116876636
139,7/22/2020,154.995499,-0.012305025,0.000673053,0.00352926,155.2986102162856,153.24759787116787,148.1985764198587
140,7/23/2020,149.327499,-0.037254204,0.000680041,0.003237949,153.39379928193657,151.36279757284947,146.37992646263683
141,7/24/2020,150.445496,0.007458992,0.000675344,0.003267886,147.71991579872835,145.76055633804242,140.9339779824957
142,7/27/2020,152.760498,0.015270457,0.000671595,0.003352411,148.85088229396493,146.879510894331,142.04250128108126
143,7/28/2020,150.016495,-0.018126068,0.000670102,0.003202212,151.15442765153097,149.15846768821797,144.23849633449603
144,7/29/2020,151.676498,0.011004695,0.000665868,0.003256396,148.42393547336496,146.4691023966532,141.6604706170086
145,7/30/2020,152.593994,0.00603081,0.000661329,0.00327553,150.0770534916506,148.10787154577798,143.2421202210054
146,7/31/2020,158.233994,0.036294152,0.000664215,0.003501685,150.9918731762033,149.01754771622907,144.15227207591144
147,8/3/2020,155.594498,-0.016821661,0.000662488,0.003363431,156.59943362016142,154.54906308349294,149.52952072547959
148,8/4/2020,156.941498,0.00861986,0.000658197,0.003398947,153.97506227218747,151.9547490709274,146.96959473632356
149,8/5/2020,160.251495,0.020871313,0.000655814,0.003516211,155.31414807374833,153.28687502536698,148.29921273782335
150,8/6/2020,161.25,0.006211531,0.00065149,0.00353418,158.6052960525868,156.53775243264494,151.4565979462938
151,8/7/2020,158.373001,-0.018002939,0.000650227,0.00339155,159.6211869588456,157.54057165604877,152.42366515884484
152,8/10/2020,157.408005,-0.006111824,0.00064654,0.003329028,156.74838732977898,154.72300165544976,149.72069490844953
153,8/11/2020,154.033493,-0.021671127,0.000646372,0.003165628,155.79007847788014,153.7804553390634,148.79053605885696
154,8/12/2020,158.112,0.026133577,0.000645578,0.003314771,152.4261161480754,150.45516801031266,145.6225353339566
