,Date,DELL,PDR,VAR,AVG,VAR70,VAR85,VAR99
96,5/20/2020,22.63558,0.013979878,0.001884478,-0.001642989,21.75748641994919,21.27589760404223,20.118066755030544
97,5/21/2020,22.498734,-0.006063964,0.00186525,-0.001688566,22.070268196291742,21.586496225964453,20.412198537546544
98,5/22/2020,21.8297,-0.030187613,0.00185442,-0.001979373,21.93877954644473,21.459215709683285,20.29526202858359
99,5/26/2020,22.534212,0.03176326,0.001847073,-0.001638538,21.279014622495886,20.81514376401973,19.68874520138114
100,5/27/2020,23.096807,0.024659695,0.001835449,-0.001375556,21.976882990376797,21.49911596362,20.338618385826553
101,5/28/2020,23.101875,0.0002194,0.001817301,-0.001359764,22.53271631856861,22.044415509077407,20.85938995996294
102,5/29/2020,25.159655,0.085327936,0.001872436,-0.000509885,22.538682471580948,22.05205836023442,20.875490867848416
103,6/1/2020,25.022808,-0.005453991,0.001854492,-0.000557886,24.55841775817468,24.020421068479823,22.71270219733084
104,6/2/2020,24.911303,-0.004466093,0.001836806,-0.000595465,24.429420612048634,23.896709213739964,22.603148274148566
105,6/3/2020,24.738976,-0.006941661,0.001819693,-0.000655905,24.32101420093422,23.794549478992156,22.514394963466746
106,6/4/2020,24.936646,0.007958473,0.001803219,-0.000574637,24.156340182287984,23.634309853878072,22.370023938002337
107,6/5/2020,25.605677,0.026475636,0.001793141,-0.000321831,24.35257509758881,23.829892030708685,22.560692403938997
108,6/8/2020,26.183477,0.022314478,0.001781239,-0.000112235,25.01079934041591,24.47350674882048,23.173390022338673
109,6/9/2020,25.357325,-0.03206092,0.001774175,-0.000405342,25.581609907228607,25.035785608491732,23.71107708699805
110,6/10/2020,25.032946,-0.012874846,0.001759447,-0.000518702,24.76904492503477,24.241164553998605,22.959297464697308
111,6/11/2020,23.613787,-0.058362061,0.001773468,-0.001039813,24.453422730867654,23.934250818990595,22.670131866563903
112,6/12/2020,23.770906,0.00663166,0.001758154,-0.000971318,23.053401262399408,22.561286530745118,21.36786807234758
113,6/15/2020,23.852001,0.003405717,0.001742763,-0.000932583,23.211933702636028,22.718149249321723,21.524210839271618
114,6/16/2020,24.166245,0.013088712,0.001729185,-0.000809589,23.29233798060464,22.799061620790503,21.605245100894027
115,6/17/2020,24.08515,-0.003361357,0.001714205,-0.000831778,23.605966664986827,23.109091365424614,21.90530839364853
116,6/18/2020,24.034466,-0.002106585,0.001699441,-0.000842768,23.529864287197416,23.03399132208033,21.835582521809208
117,6/19/2020,24.794729,0.031142207,0.001693585,-0.000569392,23.48054854217366,22.98910590939154,21.794717286702117
118,6/22/2020,24.475418,-0.012961823,0.001680523,-0.000674413,24.23274333922715,23.727166226368567,22.504112945650792
119,6/23/2020,24.840345,0.014799879,0.001668396,-0.000544377,23.918902530373217,23.421166854426158,22.213474843344517
120,6/24/2020,26.91333,0.080152557,0.001708307,0.000128098,24.281452200739963,23.779800097340633,22.566167834745062
121,6/25/2020,26.153067,-0.028655234,0.00170098,-0.000109781,26.316832693511774,25.763160225770818,24.42233549416668
122,6/26/2020,26.482513,0.01251816,0.001688334,-6.27e-06,25.56984680579372,25.035298424215163,23.738061971888037
123,6/29/2020,27.247847,0.02848988,0.001681155,0.000225403,25.89654360670321,25.360510491614466,24.048148257611622
124,6/30/2020,27.845921,0.021711984,0.001671291,0.000398682,26.650270233004726,26.097576897031075,24.758737208252803
125,7/1/2020,27.511404,-0.012085883,0.001659157,0.000298805,27.241262042666662,26.677665131781307,25.31159861154718
126,7/2/2020,27.242777,-0.009812188,0.001646794,0.000218559,26.91748901573308,26.361483369229354,25.017503110763496
127,7/6/2020,27.399899,0.005750906,0.001634067,0.000262121,26.65307298545927,26.10379357389677,24.768958428749528
128,7/7/2020,26.837303,-0.020746505,0.001624722,9.8e-05,26.81044941618455,26.261769611594385,24.928069492921605
129,7/8/2020,27.445515,0.022409944,0.001615956,0.000270952,26.257462480550323,25.720954076085064,24.415141943421755
130,7/9/2020,27.212366,-0.008531264,0.001604117,0.000203243,26.85807091324609,26.309148964488166,24.97724718530953
131,7/10/2020,27.080587,-0.004854378,0.001592066,0.000164635,26.63004806777415,26.089912924121595,24.778125044123207
132,7/13/2020,26.239229,-0.031561543,0.001587572,-7.57e-05,26.502027329229843,25.966185376842255,24.663598735583353
133,7/14/2020,26.609224,0.014002342,0.001577115,3.01e-05,25.67604010772577,25.158911953965944,23.899908790941158
134,7/15/2020,26.700457,0.003422759,0.00156543,5.55e-05,26.039394283353182,25.515283057706956,24.241945955609822
135,7/16/2020,29.954384,0.11499501,0.00165097,0.000906857,26.132370826819457,25.610736213400862,24.332855148400107
136,7/17/2020,30.598074,0.021261375,0.001641854,0.001056523,29.325810886365254,28.720950287660905,27.252289612230665
137,7/20/2020,31.145464,0.017731551,0.001631885,0.001178238,29.964018569628713,29.346624501359926,27.85933162738857
138,7/21/2020,30.947796,-0.006366832,0.001620469,0.001123564,30.501771083713386,29.876052016597665,28.354559223842315
139,7/22/2020,31.302586,0.011398929,0.001609565,0.001197487,30.311413645224427,29.695666634168287,28.186510679895626
140,7/23/2020,31.180943,-0.003893607,0.001598252,0.001161122,30.663994089512062,30.041360991105662,28.51739523856217
141,7/24/2020,30.816015,-0.011772585,0.001588095,0.001069394,30.5443984981698,29.927407408062958,28.41661314898744
142,7/27/2020,30.897112,0.002628194,0.001576928,0.001080371,30.184776521713875,29.573649882828143,28.081128273965316
143,7/28/2020,30.091232,-0.026428883,0.001571156,0.000887999,30.26941185876093,29.659877493195516,28.18110524086074
144,7/29/2020,30.253422,0.005375468,0.001560384,0.000919162,29.4757828293217,28.88404560176116,27.447267312399315
145,7/30/2020,29.984795,-0.008918882,0.001550285,0.000851313,29.637248894291847,29.045220550646487,27.608369259560956
146,7/31/2020,30.324379,0.011261557,0.001540404,0.000922616,29.37464026040641,28.787924787655697,27.363003780623114
147,8/3/2020,30.653828,0.010805572,0.001530585,0.000989847,29.70992577769301,29.121216551110404,27.684649320969697
148,8/4/2020,30.572733,-0.002649015,0.001520332,0.000965261,30.0380709449007,29.442789509903427,27.996485831550277
149,8/5/2020,30.719715,0.004796098,0.001510226,0.000990971,29.958650447341345,29.36600815827418,27.923266962446608
150,8/6/2020,30.892042,0.005593979,0.001500298,0.001021658,30.104720694735548,29.51124805783223,28.072145446471993
151,8/7/2020,30.816015,-0.002464088,0.001490443,0.000998573,30.280180412231903,29.68781448223051,28.239159073383647
152,8/10/2020,31.338064,0.016798939,0.001482269,0.001102523,30.204287947449647,29.61423726106092,28.17510839178942
153,8/11/2020,31.19108,-0.004701304,0.001472799,0.001064589,30.722240998507363,30.120624972121863,28.662613753380892
154,8/12/2020,31.338064,0.004701304,0.001463321,0.001088204,30.578744749580494,29.98548177344287,28.53825346084581
155,8/13/2020,30.187532,-0.037404469,0.001463378,0.000839865,30.727604932976945,30.131395816500284,28.67755980072781
156,8/14/2020,30.364927,0.005859234,0.001454158,0.00087204,29.592500361917214,29.01752229134134,27.618619931083057
157,8/17/2020,30.253422,-0.003678923,0.001445027,0.000843053,29.768488312770515,29.194515356038355,27.794739187318843
158,8/18/2020,30.420679,0.005513305,0.001436018,0.000872612,29.663554429462806,29.088982418590454,27.698377404023123
159,8/19/2020,30.334517,-0.002836368,0.001427073,0.000849285,29.8262109018364,29.25317468147289,27.85454311057557
160,8/20/2020,30.238216,-0.003179684,0.001418254,0.000824104,29.740474041071927,29.171995073182497,27.782017003848708
161,8/21/2020,30.64369,0.013320214,0.001410409,0.000901719,29.651004267838122,29.08609898101399,27.708314944060263
162,8/24/2020,31.201216,0.0180303,0.001403503,0.001007451,30.054367147029637,29.483237418643068,28.079736157240088
163,8/25/2020,30.734921,-0.015057568,0.001396466,0.000908893,30.60388865998825,30.019572643129685,28.604138050399907
164,8/26/2020,31.490116,0.024274219,0.001391259,0.001051364,30.144376296542756,29.573663700383925,28.17990858924258
165,8/27/2020,31.64217,0.004817006,0.001382913,0.001074186,30.890963058582404,30.3054104659184,28.888389492353408
166,8/28/2020,33.558033,0.058785544,0.001394525,0.001421845,31.04417047356598,30.45695778314503,29.031173479586293
167,8/31/2020,33.492146,-0.001965305,0.001386243,0.001401563,32.92907930727065,32.305259739673424,30.785980637456305
168,9/1/2020,33.63913,0.004379009,0.001378044,0.001419286,32.86707071887572,32.24665068587919,30.741337054649755
169,9/2/2020,34.703499,0.031150545,0.001375089,0.00159521,33.01635789667471,32.39229527176454,30.879471510473287
170,9/3/2020,33.218449,-0.043735103,0.001379017,0.001328561,34.06573918503,33.4248614258364,31.858329580791924
171,9/4/2020,32.767361,-0.013672486,0.001372261,0.001240836,32.59578955923373,31.98148611049969,30.48376255966673
172,9/8/2020,32.513939,-0.007764039,0.001364751,0.001188482,32.155523285800186,31.549508515051585,30.07282846511208
173,9/9/2020,33.877342,0.041077524,0.001366007,0.001419055,31.90606795221391,31.309776200271163,29.8444295511689
174,9/10/2020,33.167767,-0.021167883,0.001361071,0.001289245,33.249489117538076,32.625791099453984,31.110725480996514
175,9/11/2020,33.649265,0.014412683,0.001354272,0.001364236,32.55407929056649,31.945082230569536,30.46122769440003
176,9/14/2020,33.882412,0.006904846,0.001346751,0.001395716,33.0307488085169,32.414271353709424,30.911606584346572
177,9/15/2020,34.009125,0.003732811,0.001339173,0.00140892,33.262245628379496,32.64241161371409,31.134114435242353
178,9/16/2020,34.145969,0.00401567,0.001331687,0.001423565,33.38665780255827,32.767528272948155,31.256381631196696
179,9/17/2020,33.735428,-0.01209598,0.001325263,0.001348037,33.52339251583006,32.900980916473486,31.384465055773976
180,9/18/2020,33.63913,-0.002858588,0.001317998,0.001324667,33.121885824885396,32.50938323313966,31.024580693425072
181,9/21/2020,33.198174,-0.013195098,0.001311875,0.001244447,33.02639547362113,32.419740706972185,30.93494231787948
182,9/22/2020,33.608719,0.012290653,0.001305333,0.00130514,32.59306013665253,31.99344779127268,30.536504433649725
183,9/23/2020,33.253929,-0.010612602,0.001298972,0.001240016,32.99897598160279,32.3928450141423,30.921680708870515
