,Date,MSFT,PDR,VAR,AVG,VAR70,VAR85,VAR99
151,8/7/2020,212.479996,-0.018049647,0.001043281,0.001853024,213.01705331382448,209.5224697901221,200.94414022499598
152,8/10/2020,208.25,-0.020108566,0.00103957,0.001708539,209.20075187980453,205.76551595663943,197.3495639322505
153,8/11/2020,203.380005,-0.023663106,0.001036955,0.001542712,205.01374913481104,201.64627534059503,193.47432083186413
154,8/12/2020,209.190002,0.028166765,0.001034794,0.001715595,200.1697310753376,196.89400011453193,188.86101598104523
155,8/13/2020,208.699997,-0.00234514,0.001028224,0.001689397,205.9427763062413,202.58260412171126,194.29954371899942
156,8/14/2020,208.899994,0.00095784,0.001021636,0.001684707,205.4715690703569,202.11564445433126,193.91138808944334
157,8/17/2020,210.279999,0.006584331,0.001015281,0.001715915,205.66414923099708,202.3371974345222,194.171414996927
158,8/18/2020,211.490005,0.005737768,0.001008957,0.00174137,207.04656386835447,203.70427652028326,195.522091429865
159,8/19/2020,209.699997,-0.008499816,0.001003267,0.00167696,208.24345277734702,204.8823011131678,196.6857317147837
160,8/20/2020,214.580002,0.023004715,0.000999821,0.001810258,206.4967227494357,203.17122584215667,195.01487353077226
161,8/21/2020,213.020004,-0.007296562,0.000994123,0.001753694,211.33133014333626,207.9303816153027,199.59652021656245
162,8/24/2020,213.690002,0.003140299,0.000987998,0.001762254,209.77940125057938,206.4141714289275,198.2051963433973
163,8/25/2020,216.470001,0.012925598,0.000982697,0.00183074,210.46409925492088,207.1109001070535,198.87635790448877
164,8/26/2020,221.149994,0.021389203,0.000979023,0.001949999,213.2409086417522,209.83963413414017,201.54311610120308
165,8/27/2020,226.580002,0.024256915,0.000976087,0.002085193,217.8534026901444,214.40578554698854,205.9471308360539
166,8/28/2020,228.910004,0.010230838,0.000970604,0.002134263,223.25961767598494,219.72261937541808,211.0221413651708
167,8/31/2020,225.529999,-0.014875747,0.000966515,0.002032407,225.5596735817773,222.00236790872714,213.24725592971856
168,9/1/2020,227.270004,0.007685572,0.000960951,0.002066056,222.23109262677636,218.72387117508708,210.15212498548286
169,9/2/2020,231.649994,0.01908883,0.000956969,0.002166783,223.96166272424475,220.43987997452646,211.77583735547597
170,9/3/2020,217.300003,-0.063948685,0.000976902,0.001777868,228.30372203866526,224.71001829107732,215.92574159180091
171,9/4/2020,214.25,-0.014135344,0.000972661,0.001684809,214.0426374768054,210.64050194026618,202.30779966584845
172,9/8/2020,202.660004,-0.05561384,0.000985983,0.001351677,211.01682866217,207.67360094235084,199.484922423165
173,9/9/2020,211.289993,0.041701847,0.000989641,0.001584915,199.5190522755147,196.3353215004519,188.55914293399192
174,9/10/2020,205.369995,-0.028418358,0.000989097,0.001412482,208.05777770281418,204.7235712301832,196.57557145839806
175,9/11/2020,204.029999,-0.006546169,0.000983805,0.001367004,202.19163381153868,198.95622741345937,191.0444058859809
176,9/14/2020,205.410004,0.006740964,0.000978378,0.001397538,200.87712539627913,197.6761900592335,189.8260281214613
177,9/15/2020,208.779999,0.01627306,0.000974094,0.001481581,202.25414643587837,199.03762963132627,191.19732161305032
178,9/16/2020,205.050003,-0.018027195,0.000970747,0.001371981,205.5984503993982,202.32288864226692,194.3357655438137
179,9/17/2020,202.910004,-0.010491316,0.000966106,0.001305705,201.90797878483892,198.7215976468359,190.92058583227674
180,9/18/2020,200.389999,-0.012497088,0.000961791,0.001229023,199.78665707827284,196.62768294907178,188.9160124764931
181,9/21/2020,202.539993,0.010671901,0.000956967,0.001281194,197.3055862801213,194.19774473734924,186.57530810403358
182,9/22/2020,207.419998,0.02380835,0.000954482,0.001404969,199.4388487301863,196.3108281322811,188.65158434919985
183,9/23/2020,200.589996,-0.03348271,0.000955881,0.001214326,204.27218932210522,201.07345549480925,193.22869550718247
184,9/24/2020,203.190002,0.012878508,0.000951422,0.001277719,197.50381278142333,194.40438002304037,186.79162999578196
185,9/25/2020,207.820007,0.022530842,0.000948707,0.0013926,200.10171675266932,196.96330899643146,189.28832050229457
186,9/28/2020,209.440002,0.007764958,0.000943824,0.00142686,204.6792980001977,201.47816061421463,193.6232859923698
187,9/29/2020,207.259995,-0.010463292,0.000939529,0.001363277,206.29655762590176,203.08048790802044,195.18566096217427
188,9/30/2020,210.330002,0.014703716,0.000935473,0.001434236,204.148684093061,200.97544225576453,193.1343395644858
189,10/1/2020,212.460007,0.010076033,0.000930916,0.00147996,207.1732813616393,203.95643952948927,196.09141048458335
190,10/2/2020,206.190002,-0.029955685,0.00093119,0.001314509,209.30839695125613,206.07700042482796,198.10737572389175
191,10/5/2020,210.380005,0.02011736,0.000928156,0.001412954,203.08168131933706,199.9430734608823,192.22996387773196
192,10/6/2020,205.910004,-0.021476244,0.000926037,0.001293739,207.24584473950918,204.03951142638186,196.19319967045763
193,10/7/2020,209.830002,0.018858489,0.000922829,0.001384748,202.81492898167787,199.6777323082484,191.99076302950508
194,10/8/2020,210.580002,0.003567949,0.000918097,0.001396002,206.70250628411182,203.50382257547437,195.6943790115115
195,10/9/2020,215.809998,0.024532744,0.000916119,0.001514652,207.45878396325443,204.26058457736283,196.46526198367926
196,10/12/2020,221.399994,0.025572611,0.000914383,0.001637396,212.64143553417964,209.36573591783895,201.32433927964487
197,10/13/2020,222.860001,0.006572783,0.000909865,0.001662449,218.17615605119357,214.81879471900712,206.64980955039098
198,10/14/2020,220.860001,-0.009014755,0.000905842,0.001608524,219.6216644992049,216.25594771207477,208.00566092207382
199,10/15/2020,219.660004,-0.005448107,0.000901539,0.001573063,217.64337028371278,214.31044183735958,206.18379693850585
200,10/16/2020,219.660004,0.0,0.000897044,0.001565198,216.47698624006014,213.18308534055674,205.07023526628973
201,10/19/2020,214.220001,-0.025077386,0.000896095,0.001432648,216.4608796929308,213.16736931505332,205.10218777360336
202,10/20/2020,214.649994,0.002005238,0.00089166,0.001435483,211.083635289858,207.88141276256354,200.00251261365105
203,10/21/2020,214.800003,0.00069861,0.000887271,0.001431853,211.52632646774998,208.31500791148974,200.42842190431722
204,10/22/2020,214.889999,0.000418888,0.000882926,0.001426887,211.68028683273,208.47877204780576,200.6228731061454
205,10/23/2020,216.229996,0.006216373,0.000878731,0.00145025,211.76790029571987,208.57313185035707,200.7410773418129
206,10/26/2020,210.080002,-0.028854217,0.000878901,0.001303141,213.10773965651902,209.89031816407777,202.02974627294765
207,10/27/2020,213.25,0.014976766,0.000875554,0.001369198,207.024338151401,203.9017448741575,196.27369163869676
208,10/28/2020,202.679993,-0.05083684,0.000884385,0.001118207,210.16316764225078,206.99520920805628,199.24173801823017
209,10/29/2020,204.720001,0.010014851,0.000880531,0.001160775,199.67538532952827,196.65958049801094,189.27130683250257
210,10/30/2020,202.470001,-0.011051464,0.000877044,0.001102621,201.70197240069254,198.6580750662549,191.1870374421323
211,11/2/2020,202.330002,-0.000691695,0.000872903,0.001094117,199.48004694049217,196.48451473426562,189.11955833953292
212,11/3/2020,206.429993,0.0200613,0.000870475,0.001183585,199.3549352406703,196.3601645997704,189.03583317857704
