,Date,BAC,PDR,VAR,AVG,VAR70,VAR85,VAR99
90,5/12/2020,21.870001,-0.031948678,0.00245053,-0.005426141,21.85736435038054,21.307422715498433,19.98564126590435
91,5/13/2020,20.870001,-0.046803111,0.002442208,-0.005880833,21.169432493170646,20.63966683359599,19.360109565470257
92,5/14/2020,21.709999,0.039460169,0.002437765,-0.005387996,20.191876624929897,19.686589994122222,18.465764179119216
93,5/15/2020,21.440001,-0.012514555,0.002412093,-0.005464626,21.01790168309417,20.493710342227413,19.23224145477047
94,5/18/2020,22.93,0.067187714,0.002441988,-0.004691728,20.757529880124324,20.24486190162498,19.0008757096038
95,5/19/2020,22.209999,-0.031903504,0.002423995,-0.004978168,22.209723605957215,21.65502184957881,20.3169411133698
96,5/20/2020,22.91,0.031030904,0.002412112,-0.004603074,21.51055506176214,20.97390692120154,19.68648219864571
97,5/21/2020,22.9,-0.000436586,0.002387422,-0.00456012,22.197890420911424,21.647276326402547,20.315116800940064
98,5/22/2020,22.66,-0.010535655,0.002363421,-0.004621095,22.19548422825856,21.64846841171474,20.320932679112897
99,5/26/2020,24.280001,0.069051752,0.002393819,-0.003876925,21.96283458164985,21.42240140072605,20.12398099499005
100,5/27/2020,25.98,0.067674004,0.002420564,-0.003161416,23.544305329473207,22.963238474529046,21.55651013863591
101,5/28/2020,24.860001,-0.044066885,0.002413001,-0.00356642,25.210977984544126,24.581818841972964,23.063269811301755
102,5/29/2020,24.120001,-0.030218713,0.00239624,-0.003827717,24.11384482161088,23.515365520988855,22.075128974145095
103,6/1/2020,24.610001,0.020111492,0.002378486,-0.003595298,23.39122116190323,22.810757563406124,21.41264900451002
104,6/2/2020,24.84,0.009302352,0.0023572,-0.003471282,23.87275873358217,23.284355697800816,21.868000847798463
105,6/3/2020,25.99,0.045256592,0.002357148,-0.003007207,24.103222742663213,23.511422612119045,22.0849357574562
106,6/4/2020,26.780001,0.029943529,0.002345057,-0.002696351,25.2318322678704,24.611031077878202,23.116583964184507
107,6/5/2020,28.110001,0.048470043,0.00234738,-0.00221816,26.00668322397467,25.371708284902383,23.833056639898242
108,6/8/2020,28.540001,0.015181227,0.002328422,-0.002057055,27.313539194757613,26.642183880708465,25.02820723839881
109,6/9/2020,28.219999,-0.011275736,0.002307833,-0.00214163,27.736176346205077,27.059581612705486,25.422376114830882
110,6/10/2020,26.6,-0.059119695,0.002316098,-0.002659612,27.428908712773257,26.763702387067692,25.16699249801182
111,6/11/2020,23.93,-0.105778314,0.002390166,-0.00358861,25.841053874604103,25.21187795417398,23.682489423133212
112,6/12/2020,24.780001,0.034904015,0.002381936,-0.003244925,23.215990356798734,22.643019843934724,21.26354351501928
113,6/15/2020,25.15,0.01482098,0.00236372,-0.00308505,24.0459311273302,23.453363222043006,22.016032937583823
114,6/16/2020,25.799999,0.025516557,0.002350098,-0.002834159,24.41009969161812,23.81123318515684,22.37179963314749
115,6/17/2020,25.0,-0.031498628,0.002336745,-0.003083415,25.049967585529885,24.434929061932145,22.956535199179747
116,6/18/2020,25.040001,0.001598761,0.002316788,-0.003043052,24.269582826130183,23.67448369108947,22.24263085636754
117,6/19/2020,25.25,0.00835157,0.002298087,-0.002945662,24.31302812146109,23.719674039957834,22.293700617784513
118,6/22/2020,24.620001,-0.025266994,0.002282798,-0.003134825,24.523391922826857,23.92674556240201,22.49400978119164
119,6/23/2020,24.790001,0.006881225,0.002264451,-0.003050657,23.909931444101307,23.3303952076161,21.93053311609707
120,6/24/2020,23.809999,-0.040334768,0.002257068,-0.003361358,24.07922996065133,23.49747013455138,22.097820139659188
121,6/25/2020,24.719999,0.037506974,0.002252104,-0.003023603,23.123840543191676,22.5693463745603,21.22276940110597
122,6/26/2020,23.15,-0.065617812,0.002265496,-0.00353667,24.013758159834207,23.43387888294155,22.048559081191026
123,6/29/2020,23.389999,0.010313757,0.002248625,-0.003424065,22.47396014148463,21.932811025343195,20.62248862587206
124,6/30/2020,23.75,0.015273993,0.002233287,-0.003273275,22.71068638905999,22.166359351656688,20.854311436762774
125,7/1/2020,23.26,-0.020847383,0.002217872,-0.003413867,23.06670551286873,22.514717257947897,21.18293185035533
126,7/2/2020,23.290001,0.00128898,0.002200444,-0.003376543,22.587658268292387,22.049637848325293,20.754989741897983
127,7/6/2020,23.66,0.015761732,0.002185979,-0.003225848,22.625109146556383,22.088607402071247,20.789009126057195
128,7/7/2020,23.01,-0.027856955,0.002173604,-0.003418279,22.98948871734427,22.44627501051999,21.12709649363938
129,7/8/2020,23.1,0.003903713,0.002157166,-0.003361519,22.353871798029846,21.825297624569632,20.552272235666866
130,7/9/2020,22.77,-0.014388737,0.002141501,-0.003446344,22.443469462584297,21.91602242982585,20.64419230302453
131,7/10/2020,24.02,0.053442937,0.00214967,-0.003012074,22.12317339600612,21.604712229940297,20.34925949411089
132,7/13/2020,24.190001,0.007052549,0.002134147,-0.002935827,23.347821256555402,22.799676556580764,21.48125989116963
133,7/14/2020,24.139999,-0.002069192,0.002118106,-0.002929311,23.51432049331751,22.967175859298205,21.637636816224802
134,7/15/2020,24.6,0.018876269,0.002105821,-0.002766583,23.46852285955759,22.921463222314458,21.602478301648844
135,7/16/2020,23.93,-0.027613541,0.002094762,-0.002950635,23.921920363368436,23.36814186857399,22.025210175258586
