,Date,BBY,PDR,VAR,AVG,VAR70,VAR85,VAR99
99,5/26/2020,79.470001,0.03261371,0.002005482,-0.000950357,74.95909460478241,73.25593172880686,69.14647594174097
100,5/27/2020,79.080002,-0.004919581,0.001985583,-0.00099005,77.47480238460092,75.71387143240995,71.45971540349079
101,5/28/2020,76.43,-0.034084734,0.00197666,-0.00131772,77.09938706251377,75.35284253513304,71.14822297604495
102,5/29/2020,78.089996,0.021486667,0.00196233,-0.001094147,74.49463158822279,72.82132519226266,68.75239240698926
103,6/1/2020,77.5,-0.00758402,0.001943683,-0.001157156,76.13105470676115,74.4289131435363,70.30153082977289
104,6/2/2020,80.529999,0.038351837,0.001939859,-0.000777262,75.56936870312471,73.87789944273692,69.80378064901078
105,6/3/2020,82.220001,0.02076882,0.001925763,-0.000572061,78.55799261164788,76.81079094554482,72.57461155470642
106,6/4/2020,79.919998,-0.028372484,0.001914818,-0.000834329,80.23516536199655,78.4522831072961,74.10887907247525
107,6/5/2020,82.529999,0.032135742,0.001906986,-0.000526197,77.96591029004549,76.2326203076115,72.05259082236984
108,6/8/2020,83.68,0.013838149,0.001891222,-0.000393194,80.54073533285731,78.76239664078808,74.44301473278118
109,6/9/2020,81.620003,-0.024925634,0.001879342,-0.000618263,81.69369510544705,79.88565435366336,75.52844461628955
110,6/10/2020,81.699997,0.000979598,0.00186228,-0.000603737,79.65927580273653,77.9085213731997,73.66949169033329
111,6/11/2020,77.25,-0.056007049,0.001872907,-0.001102865,79.75147605605454,78.00663410447011,73.7935323556033
112,6/12/2020,77.760002,0.00658027,0.001856707,-0.001034266,75.36200811794838,73.71115101934404,69.70608457403318
113,6/15/2020,80.010002,0.028524466,0.00184794,-0.000772684,75.87643688129849,74.21745677535296,70.18826972642954
114,6/16/2020,83.470001,0.042335646,0.001847888,-0.000394541,78.0973806639106,76.39337076697188,72.26833943161796
115,6/17/2020,83.239998,-0.00275932,0.001831867,-0.000415104,81.50903090802768,79.72892136951408,75.42658468682187
116,6/18/2020,82.300003,-0.011356833,0.001817099,-0.00050943,81.2818253303374,79.51357086885933,75.2546458375374
117,6/19/2020,81.199997,-0.013455934,0.001802988,-0.000620084,80.36679143165746,78.63650422804461,74.42999180367717
118,6/22/2020,84.779999,0.043144444,0.001803803,-0.000249198,79.29413542430761,77.58836110510602,73.44047430720275
119,6/23/2020,85.839996,0.012425398,0.001789983,-0.000142688,82.81349179832678,81.0347239022796,76.68915591692806
120,6/24/2020,83.82,-0.023813409,0.001779697,-0.000339944,83.86600762735743,82.06800616570615,77.70107771445866
121,6/25/2020,84.709999,0.010562004,0.001765963,-0.000249846,81.88329263979966,80.13017210346068,75.8991913046331
122,6/26/2020,84.800003,0.001061932,0.001751502,-0.000239093,82.76959710760696,81.00369161026502,76.7250730716616
123,6/29/2020,86.330002,0.017881607,0.00173991,-9.18e-05,82.87128035516685,81.10900533799237,76.84526413653347
124,6/30/2020,87.269997,0.010829541,0.001726833,-3.7e-06,84.38145242438623,82.60080866478152,78.26922036193388
125,7/1/2020,87.349998,0.000916287,0.001713025,3.66e-06,85.31767569139595,83.50852222943956,79.14239984408214
