,Date,META,PDR,VAR,AVG,VAR70,VAR85,VAR99
101,5/28/2020,225.460007,-0.016190375,0.001200687,0.000713697,225.06724822919549,221.10562623001883,211.40098174148045
102,5/29/2020,225.089996,-0.001642486,0.001188969,0.000690597,221.4241816911414,217.53036719914363,208.06025444587658
103,6/1/2020,231.910004,0.029849078,0.0011856,0.00097369,221.0973592800372,217.2320996116276,207.78378486765175
104,6/2/2020,232.720001,0.003486636,0.001174261,0.000997852,227.8436014365013,223.85761028914573,214.13738311290106
105,6/3/2020,230.160004,-0.011061282,0.001164449,0.000883004,228.67776687397313,224.70177296110774,214.9706406126504
106,6/4/2020,226.289993,-0.016957405,0.001156438,0.000714698,226.1426822323293,222.24509383382284,212.65077763739228
107,6/5/2020,230.770004,0.019604229,0.001148934,0.000891236,222.3163950568902,218.46744750685272,209.1551659916773
108,6/8/2020,231.399994,0.002726228,0.001138326,0.000908226,226.76798508623105,222.86897035687895,213.3389621446405
109,6/9/2020,238.669998,0.030934047,0.001136078,0.001183692,227.41813484235797,223.52816407395318,214.02084633484483
110,6/10/2020,236.729996,-0.008161602,0.001126537,0.001098735,234.61630075348526,230.6052627936974,220.79664629350194
111,6/11/2020,224.429993,-0.053356411,0.001142862,0.000608148,232.7408031480318,228.76493515800416,219.07453724790065
112,6/12/2020,228.580002,0.018322444,0.001135435,0.000766312,220.5040253552331,216.71267493880185,207.4102809994193
113,6/15/2020,232.5,0.017003958,0.001127699,0.000910008,224.61473565577344,220.76460209629798,211.36817742884634
114,6/16/2020,235.649994,0.013457403,0.001119176,0.001020073,228.51650630122128,224.63615988514982,215.09840450877536
115,6/17/2020,235.529999,-0.000509338,0.001109464,0.001006773,231.65878261464934,227.70984694471588,218.11853028242953
116,6/18/2020,235.940002,0.001739254,0.001099905,0.001013088,231.5569466755854,227.64617353066805,218.067269623823
117,6/19/2020,238.789993,0.012006931,0.001091528,0.001107052,231.96372089670834,228.07331870302855,218.55493250267935
118,6/22/2020,239.220001,0.00179916,0.001082282,0.001112918,234.8215820351439,230.87923470660496,221.22941493876183
119,6/23/2020,242.240005,0.012545356,0.001074276,0.001208988,235.27012635333867,231.3536996217085,221.81070224796588
120,6/24/2020,234.020004,-0.034522392,0.001075874,0.000911227,238.27971421752468,234.30583110219595,224.55888325430928
121,6/25/2020,235.679993,0.007068324,0.001067294,0.000962112,230.1119868408575,226.27963394635526,216.91474956471626
122,6/26/2020,216.080002,-0.086826204,0.001121198,0.000242536,231.7836939837821,227.9479764374981,218.54473865301247
123,6/29/2020,220.639999,0.020883691,0.001115518,0.00041035,212.25839660197326,208.63410674838394,199.82128408253487
124,6/30/2020,227.070007,0.028725961,0.001112936,0.000638702,216.77080715993907,213.09699074146792,204.0787723043163
125,7/1/2020,237.550003,0.045119769,0.001119734,0.00099455,223.13136874702423,219.3451501494408,210.1521027817803
126,7/2/2020,233.419998,-0.017538743,0.001113552,0.000847461,233.52065558745775,229.55397959459813,219.86088088841842
127,7/6/2020,240.279999,0.028965508,0.00111096,0.001068863,229.43565706896996,225.55362758605088,216.05869674012317
128,7/7/2020,240.860001,0.00241095,0.001102295,0.001079348,236.2380726004512,232.23621655826855,222.48298739315067
129,7/8/2020,243.580002,0.011229583,0.001094542,0.001158032,236.82725968489822,232.8467584561966,223.04995436797665
130,7/9/2020,244.5,0.00376987,0.001086175,0.001178123,239.53705115784007,235.50963510271404,225.63292792947806
131,7/10/2020,245.070007,0.002328604,0.001077893,0.001186905,240.46651935739973,236.43627499904153,226.59894299820695
132,7/13/2020,239.0,-0.025080361,0.001074915,0.000987911,241.07376986158062,237.03661715656443,227.13738570439145
133,7/14/2020,239.729996,0.003049721,0.001066865,0.001003413,235.03060847166495,231.1297824352377,221.59340856478823
134,7/15/2020,240.279999,0.002291632,0.001058915,0.001013026,235.76468088014173,231.86135506442406,222.30073017527167
135,7/16/2020,240.929993,0.0027015,0.001051092,0.001025534,236.33499035010126,232.4352908133295,222.86132594295816
136,7/17/2020,242.029999,0.004555275,0.001043455,0.001051488,236.99031451157234,233.09874790972376,223.5549444836416
137,7/20/2020,245.419998,0.013909339,0.001037036,0.001145341,238.08778829995927,234.17784729316392,224.6261871007384
138,7/21/2020,241.75,-0.015066886,0.001031412,0.001027861,241.47364797604138,237.51868519801204,227.80759103156353
139,7/22/2020,239.869995,-0.007807045,0.00102455,0.0009643,237.85455205926337,233.9674024869541,224.4704191259211
140,7/23/2020,232.600006,-0.030776823,0.001024376,0.000737578,235.9825782636048,232.15311066885943,222.74973926132304
141,7/24/2020,230.710007,-0.008158725,0.001017669,0.000674484,228.77961803755673,225.0639686010032,215.97425045855115
142,7/27/2020,233.5,0.012020536,0.001011402,0.000754385,226.91741027156513,223.25130215170842,214.2538916907776
143,7/28/2020,230.119995,-0.014581187,0.001005962,0.000647144,229.70002496897465,225.985837367428,216.86752941418405
144,7/29/2020,233.289993,0.013681395,0.001000148,0.000737659,226.3551081891142,222.71051809395004,213.80109068632038
145,7/30/2020,234.5,0.005173303,0.000993385,0.00076825,229.5101329264732,225.82629977911995,216.79982868895777
146,7/31/2020,253.669998,0.078578614,0.001027766,0.001301198,230.71931684118843,227.02633135474443,217.9472623196409
147,8/3/2020,251.960007,-0.006763829,0.001021214,0.001246333,249.63195761591888,245.57022172926665,235.61450165470958
148,8/4/2020,249.830002,-0.008489678,0.00101495,0.00118055,247.9589470850849,243.93304105553534,234.0588888018522
149,8/5/2020,249.119995,-0.002846007,0.001008246,0.001153526,245.8558811376914,241.87958130811268,232.09894176152505
150,8/6/2020,265.279999,0.06285118,0.001026733,0.001564843,245.1773887929381,241.22701352012947,231.49686975200262
