,Date,GOOG,PDR,VAR,AVG,VAR70,VAR85,VAR99
111,6/11/2020,70.192001,-0.043223967,0.000914618,0.000237137,72.15650284087012,71.05277764603932,68.35900671392254
112,6/12/2020,70.658997,0.006631088,0.000906814,0.000294225,69.06882308999695,68.00955422390193,65.40463717713702
113,6/15/2020,70.9925,0.004708791,0.00089896,0.000333292,69.5415878092998,68.47436392346508,65.8666391616468
114,6/16/2020,72.136002,0.015979016,0.000893203,0.000470536,69.87376707826255,68.81428955877098,66.2020376252707
115,6/17/2020,72.556,0.005805424,0.000885681,0.000516926,71.01653619648062,69.94124144350742,67.30833563408035
116,6/18/2020,71.797997,-0.010502099,0.000879084,0.000421934,71.44084618408561,70.36063904296357,67.71960018418538
117,6/19/2020,71.585999,-0.002957069,0.000871667,0.000393054,70.68861840326741,69.62095379562255,67.00414134923855
118,6/22/2020,72.593002,0.013969016,0.000865829,0.000508105,70.48177980741613,69.42672981859685,66.82365312567669
119,6/23/2020,73.220497,0.008606869,0.000859099,0.000576161,71.49012165802876,70.42332774770382,67.7890339829597
120,6/24/2020,71.598503,-0.02240123,0.000856303,0.000384683,72.11527277079271,71.04491062236252,68.39440779443554
121,6/25/2020,72.066498,0.00651511,0.000849534,0.000435348,70.50160479415,69.45199809405864,66.88615661257785
122,6/26/2020,67.995003,-0.058155059,0.000870478,-4.49e-05,70.97758339380842,69.92393657496622,67.34662918176225
123,6/29/2020,69.748497,0.025461655,0.000868647,0.000162469,66.9202158405358,65.91802250157822,63.44748234912488
124,6/30/2020,70.680496,0.013273793,0.000863017,0.000268205,68.65756031309176,67.63204378509447,65.11209256354012
125,7/1/2020,71.902,0.017134416,0.000858371,0.000403135,69.59183606223938,68.5494158050525,66.00099763214409
126,7/2/2020,73.235001,0.018369382,0.0008541,0.000545724,70.80242239394455,69.75200974496077,67.16365031946785
127,7/6/2020,74.785004,0.020943921,0.000850625,0.00070634,72.1369482175178,71.06381282430507,68.42959649277515
128,7/7/2020,74.259003,-0.007058361,0.000844447,0.000645678,73.669030287738,72.58006144661718,69.90157276149743
129,7/8/2020,74.800003,0.007258902,0.000838237,0.000696944,73.14947655196653,72.07216924546944,69.41918931780006
130,7/9/2020,75.5495,0.009970145,0.000832446,0.000768276,73.69529657553882,72.60480094395724,69.9522271945146
131,7/10/2020,77.086998,0.020146558,0.000828936,0.000916202,74.43842608819124,73.34893071752109,70.66442679151604
132,7/13/2020,75.567001,-0.019914935,0.000825918,0.00075839,75.97267794612924,74.8579800697258,72.12711675217848
133,7/14/2020,76.028999,0.00609514,0.000819921,0.000798516,74.46366593528637,73.37424773063898,70.71817784471016
134,7/15/2020,75.681999,-0.004574495,0.000814016,0.000758419,74.92651418802099,73.83622744065606,71.1599280452305
135,7/16/2020,75.900002,0.002876373,0.000808019,0.000774108,74.58505743786394,73.50769413992477,70.85135307639885
136,7/17/2020,75.777496,-0.001615349,0.00080212,0.000756538,74.80624082230071,73.72320886199954,71.07689221153073
137,7/20/2020,78.286003,0.032567464,0.000803597,0.000988735,74.68559588431945,73.6079238145272,70.9793573974652
