,Date,C,PDR,VAR,AVG,VAR70,VAR85,VAR99
140,7/23/2020,52.080002,0.008097249,0.002851456,-0.003175026,49.99309077675524,48.64220140698123,45.381000970859944
141,7/24/2020,51.669998,-0.007903733,0.00283139,-0.003208563,50.411119333440055,49.04827212684901,45.77630439305464
142,7/27/2020,51.290001,-0.007381483,0.002811572,-0.00323795,50.020296113817146,48.675671818017875,45.433369574302134
143,7/28/2020,51.27,-0.000390035,0.002791967,-0.003218034,49.648692776828604,48.32267161808472,45.141336325720594
144,7/29/2020,52.52,0.024088264,0.002777721,-0.003028407,49.64076565487799,48.312910850446805,45.137511467972445
145,7/30/2020,50.869999,-0.03192071,0.002764281,-0.003227664,50.86903582556419,49.514870074083575,46.26450335836162
146,7/31/2020,50.009998,-0.017050394,0.002746648,-0.003322341,49.25644670628868,47.94943553575292,44.79486773390339
147,8/3/2020,50.389999,0.007569777,0.002728765,-0.003248245,48.426209777403294,47.143712228572845,44.06703690120385
148,8/4/2020,50.139999,-0.00497365,0.002710347,-0.003259903,48.79758252190962,47.514059691217184,44.41792245913712
149,8/5/2020,51.040001,0.017790586,0.002695111,-0.003118624,48.56491295106113,47.28388536916366,44.21255377735178
150,8/6/2020,50.889999,-0.002943238,0.002677143,-0.003117455,49.44875879137284,48.15171384768773,45.044039054469515
151,8/7/2020,52.119999,0.023882312,0.00266421,-0.002938649,49.307383030201436,48.01261584826705,44.92379703472862
152,8/10/2020,52.860001,0.014098195,0.002648579,-0.002826564,50.51481741123691,49.19472738930972,46.042195376129975
153,8/11/2020,53.759998,0.016882731,0.00263379,-0.002697745,51.243520680570796,49.90928732109064,46.69908566039753
154,8/12/2020,53.349998,-0.007655719,0.002616847,-0.00272994,52.12373247512988,50.76733907065249,47.52130897879961
155,8/13/2020,52.889999,-0.008659674,0.002600189,-0.002768196,51.72985853573169,50.38798858445508,47.18008553230812
156,8/14/2020,52.93,0.00075602,0.0025836,-0.002745605,51.28517839483951,49.961284256571595,46.78395015431302
157,8/17/2020,51.419998,-0.028943123,0.002571488,-0.002912468,51.32662261690101,50.00728357590125,46.83007316601798
158,8/18/2020,50.34,-0.021227173,0.002557322,-0.003028384,49.86418326820253,48.58407691666664,45.50509480641316
159,8/19/2020,50.290001,-0.00099372,0.002541264,-0.003015587,48.80928801295864,47.557741890099,44.56344661417456
160,8/20/2020,49.580002,-0.014218703,0.002526161,-0.003085607,48.76816135961037,47.52378340888508,44.541353294665036
161,8/21/2020,49.299999,-0.005663506,0.002510511,-0.003101619,48.07862937404084,46.85799869381071,43.91264200320716
162,8/24/2020,51.060001,0.035077371,0.002503957,-0.002865946,47.81410832826739,46.603817881957966,43.687565564828056
163,8/25/2020,51.650002,0.011488803,0.002489851,-0.00277788,49.53025201261629,48.276372474367776,45.25839006678786
164,8/26/2020,50.849998,-0.015610151,0.002475667,-0.002856126,50.119302833785355,48.84837564528686,45.81243629506215
165,8/27/2020,51.720001,0.01696449,0.00246303,-0.002736001,49.33767783972685,48.09733818388601,45.12099378375977
166,8/28/2020,52.279999,0.010769296,0.002449284,-0.002654643,50.19164960264151,48.937151949842,45.90994639985323
167,8/31/2020,51.119999,-0.022438079,0.002436948,-0.002773107,50.747132964310026,49.475575876229136,46.41688913758822
168,9/1/2020,51.200001,0.001563761,0.002422553,-0.002747292,49.613011082771365,48.37629772763792,45.39556120876516
169,9/2/2020,51.950001,0.014542185,0.002409977,-0.002644988,49.69479569551444,48.45413496553087,45.47541143887272
170,9/3/2020,51.5,-0.008699929,0.002396015,-0.002680605,50.433894785962345,49.18108498867013,46.1686697441272
171,9/4/2020,52.52,0.019612242,0.002384892,-0.002550238,49.99926057277003,48.7590714932267,45.79222658426515
172,9/8/2020,51.040001,-0.028584391,0.002374944,-0.002701599,51.00254680486909,49.74681208584431,46.72413185537603
173,9/9/2020,51.400002,0.007028553,0.002361761,-0.002645355,49.55440656901211,48.3386082119343,45.38905251387708
174,9/10/2020,50.950001,-0.008793432,0.002348403,-0.002680689,49.91225402200308,48.68816439061087,45.715796275250426
175,9/11/2020,51.0,0.000980853,0.00233506,-0.002659766,49.48174928602833,48.268503544344526,45.33640063824775
176,9/14/2020,48.150002,-0.057504453,0.002338786,-0.002971384,49.53913519700174,48.328649269539184,45.415991986938536
177,9/15/2020,44.810001,-0.071889829,0.002352256,-0.003360753,46.74959526868399,45.61121038765662,42.8427193550302
178,9/16/2020,46.02,0.026644733,0.00234407,-0.003192183,43.4829466386235,42.42148689052016,39.83570746795919
179,9/17/2020,45.529999,-0.010704657,0.002331288,-0.003234152,44.667556440876275,43.577136278041834,40.940987446172855
180,9/18/2020,44.860001,-0.014824876,0.002319079,-0.003298545,44.199126057528495,43.11388805688098,40.50383018113294
181,9/21/2020,43.93,-0.020949093,0.002307978,-0.003396062,43.547160393833614,42.48860764439249,39.94419013444524
182,9/22/2020,43.290001,-0.014675773,0.002295992,-0.003458038,42.638707060668736,41.60487293309661,39.104015778167586
183,9/23/2020,41.849998,-0.033829935,0.002288459,-0.003624005,42.020757293913874,41.00399061289955,38.53881992374507
184,9/24/2020,42.189999,0.008091453,0.002276764,-0.003560334,40.621496289553484,39.63402060873296,37.263541269485295
185,9/25/2020,42.02,-0.004037507,0.002264458,-0.003562913,40.95512330590296,39.968751290735234,37.58152397601952
186,9/28/2020,43.34,0.030930301,0.002258646,-0.003377466,40.79585784197331,39.81459508447346,37.43382109691713
187,9/29/2020,42.419998,-0.021456094,0.002248306,-0.003474143,42.08389411545676,41.07547037952428,38.64158245520756
188,9/30/2020,43.110001,0.01613511,0.002238381,-0.003369839,41.18956445302877,40.200691220166746,37.81181290345216
189,10/1/2020,43.439999,0.007625641,0.002227174,-0.003311661,41.86384660499385,40.86418597879496,38.44072706471909
190,10/2/2020,43.66,0.005051699,0.002215819,-0.003267644,42.188538400443875,41.18249834224668,38.74917020401015
191,10/5/2020,44.91,0.028228136,0.002209384,-0.003102744,42.40945280619884,41.400942290201066,38.955249677355226
192,10/6/2020,44.41,-0.011195818,0.002198216,-0.003144896,43.63361388601427,42.596520413482246,40.087656900994176
193,10/7/2020,44.84,0.009635929,0.002187668,-0.003078674,43.15129898115983,42.12724569447276,39.65805511309153
194,10/8/2020,44.720001,-0.002679747,0.002176392,-0.003076618,43.57028749527424,42.53992808946653,40.045412065743314
195,10/9/2020,44.93,0.004684872,0.002165539,-0.003036815,43.45936192300405,42.43308166913912,39.95626791836485
196,10/12/2020,45.880001,0.020923591,0.002157404,-0.002914568,43.667682077459155,42.63894098507526,40.15605084360637
197,10/13/2020,43.68,-0.049138983,0.002157244,-0.00314921,44.597347164156155,43.550592174385194,41.014822541022546
