,Date,IBM,PDR,VAR,AVG,VAR70,VAR85,VAR99
146,7/31/2020,117.533463,0.000325467,0.000959974,-0.000662223,115.45863885903016,113.63606843511877,109.18186262810572
147,8/3/2020,118.843208,0.01108196,0.000954375,-0.000582331,115.51236904086896,113.69594630511638,109.23510392488876
148,8/4/2020,120.305923,0.012232813,0.000949029,-0.000495742,116.80939573104446,114.97760749373091,110.48070145391425
149,8/5/2020,119.933075,-0.003103978,0.000942705,-0.000513247,118.2647706253956,116.42079275041341,111.84222547491754
150,8/6/2020,120.573616,0.005326609,0.000936646,-0.000474315,117.89917615433444,116.05741741906961,111.55871469431438
151,8/7/2020,119.46463,-0.009240143,0.000930948,-0.000532367,118.5413785673791,116.69539036543675,112.15710091675727
152,8/10/2020,121.520073,0.017059115,0.000926846,-0.000416633,117.45442272739871,115.63041936025292,111.16242643859518
153,8/11/2020,121.175911,-0.002836159,0.000920826,-0.000432447,119.48801558666169,117.64145709875531,113.11637828065264
154,8/12/2020,121.128105,-0.000394595,0.000914847,-0.000432201,119.16259297641275,117.3236964259593,112.82463462555594
155,8/13/2020,119.531548,-0.013268368,0.000910001,-0.000515015,119.11924447069276,117.2867184062662,112.79997179993872
156,8/14/2020,119.760994,0.001917703,0.000904205,-0.000499421,117.54571041569254,115.74451817469667,111.31237153613868
157,8/17/2020,118.967499,-0.006647702,0.000898685,-0.000538582,117.77654794965477,115.97612089381796,111.58697681736872
158,8/18/2020,119.426384,0.00384981,0.000893119,-0.000510807,116.98730504092448,115.21330664280104,110.84626512485497
159,8/19/2020,118.393883,-0.008683091,0.000887919,-0.000562205,117.4608959616384,115.67787701300733,111.299945895296
160,8/20/2020,117.734222,-0.005587329,0.000882526,-0.000593612,116.44060878413725,114.67919044843681,110.33299448068094
161,8/21/2020,117.74379,8.13e-05,0.000877047,-0.000589421,115.79333984750936,114.05096024735425,109.74968026744045
162,8/24/2020,120.152962,0.020254622,0.000874299,-0.000460754,115.80537134793208,114.06401525992811,109.80998723462358
163,8/25/2020,119.158699,-0.008309405,0.000869311,-0.000508905,118.19603926464744,116.41939015561904,112.06458089709001
164,8/26/2020,118.709366,-0.003778006,0.000864075,-0.000528838,117.21781543383855,115.46210661539837,111.13737034348358
165,8/27/2020,119.168259,0.003858232,0.000858954,-0.00050225,116.77715845533895,115.03337518144775,110.7532586007989
