,Date,MCD,PDR,VAR,AVG,VAR70,VAR85,VAR99
497,12/21/2021,264.390015,0.010111862,0.000371011,0.000553653,259.18811362578634,256.64754780310085,250.32319716151855
498,12/22/2021,264.940002,0.00207805,0.000370271,0.000556715,261.8383618219234,259.26082741792777,252.93475267852432
499,12/23/2021,265.950012,0.003804974,0.00036955,0.000563224,262.37851719602037,259.7973547127379,253.4253770771213
500,12/27/2021,268.23999,0.008573699,0.000368939,0.000579245,263.38405449901603,260.80188069577844,254.39957605134234
501,12/28/2021,267.880005,-0.001342927,0.00036821,0.000575408,265.64831858949657,263.0435956307048,256.6078009119662
502,12/29/2021,268.48999,0.002274494,0.000367482,0.000578793,265.3096773323254,262.7014374106862,256.2883937751868
503,12/30/2021,267.209991,-0.0047788,0.000366809,0.000568142,265.9220549634978,263.31922016453046,256.8739689176548
504,12/31/2021,268.070007,0.003213334,0.000366095,0.00057339,264.64461396530174,262.0603911711418,255.6696395878298
505,1/3/2022,268.579987,0.001900606,0.000365373,0.000576018,265.49526914447165,262.9055401013207,256.491871714999
506,1/4/2022,268.51001,-0.000260578,0.000364652,0.000574365,266.0160337852327,263.4248364549206,257.0073050068419
507,1/5/2022,267.190002,-0.004928171,0.000363993,0.000563512,265.9383381115766,263.3582405581424,256.9645702900626
508,1/6/2022,269.690002,0.009313135,0.000363427,0.000580735,264.6277849764894,262.0515475589834,255.67250971083584
509,1/7/2022,267.059998,-0.009799814,0.000362924,0.000560341,267.10665835701565,264.50173554126644,258.11905703940187
510,1/10/2022,264.410004,-0.009972401,0.000362429,0.000539689,264.50672822612506,261.94016229710155,255.5787935279694
511,1/11/2022,262.119995,-0.008698549,0.000361887,0.00052161,261.87709067412175,259.3397633436506,253.04832992122243
512,1/12/2022,260.920013,-0.004588498,0.000361231,0.00051163,259.6063943982579,257.0739045255445,250.86112203744563
513,1/13/2022,261.410004,0.001876175,0.00036053,0.00051429,258.4263422186578,255.9129033750878,249.7242166483728
514,1/14/2022,257.709991,-0.014255185,0.000360253,0.000485555,258.91022199937885,256.405612300812,250.17626596455128
515,1/18/2022,256.480011,-0.004784155,0.000359607,0.000475323,255.2307550103775,252.76495724883227,246.6179286580483
516,1/19/2022,255.220001,-0.00492481,0.000358966,0.000464857,254.01878489236947,251.57454006929632,245.5195314179208
517,1/20/2022,253.130005,-0.008222712,0.000358418,0.000448053,252.77459835119487,250.3355616538008,244.31162363729234
518,1/21/2022,254.589996,0.005751182,0.00035778,0.000458291,250.68324082771798,248.2674880784131,242.2366340207423
519,1/24/2022,253.610001,-0.003856734,0.000357126,0.000449977,252.1412365485148,249.7119873925645,243.74236977985413
520,1/25/2022,250.679993,-0.01162046,0.000356719,0.000426765,251.180331055239,248.7656408659204,242.7760951078571
521,1/26/2022,249.850006,-0.003316436,0.000356061,0.00041958,248.26835405823738,245.87780075236316,239.93940871822574
522,1/27/2022,248.740005,-0.004452567,0.000355425,0.000410246,247.45512219189987,245.07115862733778,239.17821918928627
523,1/28/2022,256.089996,0.029120735,0.000356318,0.000465142,246.36535629092276,243.99592099817323,238.12125633374308
524,1/31/2022,259.450012,0.013035122,0.000355939,0.000489131,253.64263905415214,251.19471820339297,245.1668203273718
525,2/1/2022,258.98999,-0.00177464,0.000355271,0.000484819,256.97387312174044,254.50662115464777,248.37717258755808
526,2/2/2022,262.279999,0.012623219,0.000354875,0.000507896,256.51159513107837,254.04929262280692,247.94701814839632
527,2/3/2022,260.640015,-0.006272429,0.000354289,0.00049503,259.7847832227781,257.286682588426,251.11440822708434
528,2/4/2022,260.059998,-0.002227836,0.000353632,0.000489873,258.1740630730526,255.6942268393829,249.57192360832164
529,2/7/2022,259.850006,-0.000807801,0.000352966,0.00048742,257.5992097378928,255.12541835711323,249.01378679405622
530,2/8/2022,260.079987,0.000884661,0.000352301,0.000488169,257.3788276776045,254.90761629789588,248.81871436323493
531,2/9/2022,259.859985,-0.000846259,0.000351641,0.000485656,257.6125175324591,255.14764205182118,249.03711894728542
532,2/10/2022,256.869995,-0.011572866,0.000351253,0.00046299,257.3924096458954,254.9386885128738,248.8576268871089
533,2/11/2022,255.160004,-0.006679286,0.000350689,0.00044959,254.43406443263555,252.00525079354563,246.01355394513635
534,2/14/2022,253.389999,-0.006961015,0.000350135,0.000435712,252.73836676376223,250.3283877084228,244.36293254077418
535,2/15/2022,253.809998,0.001656148,0.000349483,0.000437993,250.984361825214,248.58590601671722,242.6620991685002
