,Date,COST,PDR,VAR,AVG,VAR70,VAR85,VAR99
110,6/10/2020,307.329987,0.005808654,0.000580476,0.000481058,301.74660497275084,298.019521377014,288.8838000813477
111,6/11/2020,300.829987,-0.021376769,0.000579512,0.000284141,303.52017634449896,299.8201877830043,290.64952179147684
112,6/12/2020,298.700012,-0.007105513,0.000574821,0.000218162,297.0498292828154,293.40640195630175,284.48058085537525
113,6/15/2020,297.179993,-0.005101773,0.000569983,0.000171083,294.9436920927718,291.3455648697382,282.4490384725009
114,6/16/2020,301.359985,0.013967521,0.000566638,0.000292104,293.4545240791866,289.8785785342541,281.10719977966244
115,6/17/2020,299.609985,-0.005823935,0.000562033,0.000238921,297.62925478418884,294.0270161217847,285.1588288550269
116,6/18/2020,299.570007,-0.000133442,0.000557189,0.000235711,295.8930944127836,292.3310337816375,283.54985108758154
117,6/19/2020,299.899994,0.001100929,0.000552433,0.000243106,295.86285519401815,292.3077827210172,283.53230332359425
118,6/22/2020,300.450012,0.001832325,0.000547773,0.000256574,296.2179005607403,292.6688132600057,283.8938935836429
119,6/23/2020,301.290009,0.002791895,0.000543223,0.000277879,296.77976559755,293.24596615370467,284.5362614906696
120,6/24/2020,298.019989,-0.010912725,0.000539731,0.000184624,297.626855842492,294.0869086937148,285.3629209013839
121,6/25/2020,300.529999,0.008387018,0.000535822,0.000252413,294.3902618003032,290.9107802232676,282.35174280306535
122,6/26/2020,296.559998,-0.013298027,0.000532923,0.000141343,296.9024989178865,293.40539253619556,284.805679200385
123,6/29/2020,301.589996,0.016818914,0.000530833,0.000276933,292.95099973308385,289.51521948525976,281.0167111459564
124,6/30/2020,303.209991,0.005357139,0.000526758,0.000317903,297.968201988927,294.47612251185245,285.83826348292604
125,7/1/2020,304.75,0.005066163,0.000522723,0.000355889,299.5885405098522,296.08597588940665,287.48062948438326
126,7/2/2020,305.73999,0.003243267,0.00051864,0.000378805,301.14824083366784,297.6472840154159,288.98232874769184
127,7/6/2020,311.48999,0.018632168,0.000517159,0.000522532,302.1578182803634,298.66249038586545,290.0313585828917
128,7/7/2020,316.230011,0.015102629,0.000514767,0.000636439,307.87418644348395,304.3083759410567,295.5253421095879
129,7/8/2020,316.320007,0.00028455,0.000510777,0.000633711,312.6034056874883,309.0123675438183,300.10305019836784
130,7/9/2020,325.540009,0.028730988,0.000512874,0.000849844,312.702101260475,309.09338564837293,300.2521272651936
131,7/10/2020,326.230011,0.002117318,0.000508971,0.000859519,321.88728220889766,318.16962033429814,309.0316666296358
