,Date,VLO,PDR,VAR,AVG,VAR70,VAR85,VAR99
109,6/9/2020,71.269997,-0.059245399,0.003522387,-0.002649256,73.01789082878378,70.82932328258569,65.61138009491178
110,6/10/2020,69.050003,-0.031644516,0.003497939,-0.002912849,68.77582249539932,66.7153624357069,61.80452931418803
111,6/11/2020,60.68,-0.129216769,0.003608849,-0.004050722,66.62357791566154,64.637499642108,59.87652489288437
112,6/12/2020,63.790001,0.049982299,0.003602462,-0.003568285,58.44815396377738,56.68471146859461,52.482911448260616
113,6/15/2020,63.59,-0.003140229,0.003570583,-0.003564497,61.48343163786237,59.63250619987664,55.20894906615475
114,6/16/2020,66.160004,0.039619886,0.003555478,-0.003185686,61.29194411206218,59.44332349298811,55.0398696524521
115,6/17/2020,62.32,-0.05979371,0.003552183,-0.00367793,63.80358713431415,61.893552356232874,57.305552560313885
116,6/18/2020,64.629997,0.036396251,0.003535286,-0.003332463,60.06597246649782,58.26612540103106,53.9856762160754
117,6/19/2020,63.16,-0.023007463,0.00350835,-0.003500625,62.32491709441298,60.44943888395373,56.00472825646789
118,6/22/2020,62.66,-0.007947904,0.003478784,-0.003538314,60.905514026477945,59.09002017497561,54.74095518288098
119,6/23/2020,62.650002,-0.000159572,0.003449646,-0.003509921,60.42444328140097,58.63352098164396,54.34474373334042
120,6/24/2020,58.02,-0.076775935,0.003465259,-0.004120471,60.4306082368241,58.64341989490937,54.36291093239125
121,6/25/2020,57.279999,-0.012836273,0.003437243,-0.004192503,55.92488766857665,54.26123034841128,50.28384656887644
122,6/26/2020,56.32,-0.016901793,0.003410382,-0.004296677,55.221758266544605,53.584940496366684,49.687807940186
123,6/29/2020,56.950001,0.011123996,0.003384573,-0.004171306,54.288978228205266,52.69321854515642,48.865559534991526
124,6/30/2020,58.82,0.032308226,0.003367923,-0.003877116,54.91290043455071,53.30920450860395,49.460930539539646
125,7/1/2020,56.439999,-0.041303824,0.003352096,-0.00417653,56.73846882814569,55.07650808976067,51.10475153335346
126,7/2/2020,56.34,-0.001773347,0.003325538,-0.004157457,54.434402530056424,52.838751067977945,49.04704134284554
127,7/6/2020,56.470001,0.002304779,0.003299679,-0.004106573,54.33758986959675,52.74930331593472,48.96298572493709
128,7/7/2020,53.119999,-0.061156055,0.003299128,-0.004552272,54.47556910694576,52.89640590259873,49.12243898528013
129,7/8/2020,52.98,-0.002639002,0.003273582,-0.004537441,51.21721909499893,49.73798345588197,46.19688689646066
130,7/9/2020,50.220001,-0.05350111,0.0032667,-0.004914084,51.0930272324807,49.62077605068656,46.09172357908622
131,7/10/2020,53.650002,0.066068133,0.003279932,-0.004372235,48.41693075297779,47.01761393351715,43.666145591704364
