,Date,CI,PDR,VAR,AVG,VAR70,VAR85,VAR99
181,9/21/2020,164.960007,-0.017784601,0.001290899,-0.001198973,164.49365582476975,161.47800936656307,154.17560904978114
182,9/22/2020,161.740005,-0.019712924,0.001285679,-0.001300698,161.57242502971826,158.64056984383876,151.4589454847916
183,9/23/2020,160.5,-0.007696196,0.001278875,-0.001335647,158.41932955187468,155.53621455620836,148.54836711939407
184,9/24/2020,160.880005,0.002364834,0.001271999,-0.001315535,157.20779764524787,154.35304128923266,147.4045116922475
185,9/25/2020,162.449997,0.009711467,0.001265777,-0.00125593,157.58725328998074,154.73704711626658,147.77102050792834
186,9/28/2020,164.289993,0.011262873,0.00125981,-0.001188624,159.13888058201888,156.26610455287087,149.26605679115394
187,9/29/2020,164.309998,0.000121759,0.001253082,-0.001181617,160.9690214946161,158.0703948851501,151.00581076869528
188,9/30/2020,169.410004,0.030566961,0.00125175,-0.001012742,160.98820746216848,158.1104470222735,151.05339259702018
189,10/1/2020,167.380005,-0.012055129,0.001245768,-0.001071167,166.0224888752238,163.06199872402857,155.79488254559953
190,10/2/2020,167.229996,-0.00089662,0.001239212,-0.001070248,164.02672937046987,161.09172410885452,153.9025616912347
191,10/5/2020,172.220001,0.029402649,0.00123756,-0.000910704,163.90481918330255,160.97157945455183,153.7887680751469
192,10/6/2020,170.880005,-0.00781115,0.001231361,-0.000946644,168.82568148722572,165.8262060680814,158.4527723669587
193,10/7/2020,176.300003,0.031225521,0.001230316,-0.000779949,167.4859203403407,164.50457496224013,157.22032910338388
194,10/8/2020,177.869995,0.008865812,0.001224452,-0.000730229,172.86063475932139,169.77737154267095,162.23508062322992
195,10/9/2020,176.399994,-0.008298809,0.001218465,-0.000769042,174.4100579446562,171.29826837444952,163.75766620570377
196,10/12/2020,177.460007,0.005991161,0.00121248,-0.000734551,172.9529158767569,169.88797527806622,162.37116691118476
197,10/13/2020,174.580002,-0.01636217,0.001207559,-0.000813879,174.02064415299904,170.95551638163448,163.452416144992
198,10/14/2020,174.490005,-0.000515639,0.00120146,-0.000812373,171.19045947343773,168.17868352584745,160.77896448716106
199,10/15/2020,176.820007,0.013264844,0.001196414,-0.000741633,171.10284549463702,168.0961643778605,160.74167588485403
200,10/16/2020,177.899994,0.006089255,0.001190664,-0.000707479,173.4106656054213,170.36569364415732,162.94383403881275
201,10/19/2020,171.660004,-0.035705761,0.001190804,-0.000881599,174.47964966894835,171.41022420624924,163.9625657357613
202,10/20/2020,171.089996,-0.003326089,0.001184938,-0.000893701,168.33944958471707,165.3862041599517,158.20339587419136
