,Date,GS,PDR,VAR,AVG,VAR70,VAR85,VAR99
115,6/17/2020,206.190002,-0.016355139,0.001873746,-0.001112084,204.47262601267852,199.98590355163884,189.0605969595819
116,6/18/2020,203.839996,-0.011462731,0.001858509,-0.001201314,201.14996828199213,196.74508967696895,185.98984174242352
117,6/19/2020,201.630005,-0.010900993,0.001843421,-0.001284217,198.85545503098461,194.5153355267123,183.99448531899128
118,6/22/2020,203.419998,0.008838438,0.00182866,-0.001198432,196.7254810848174,192.43934079955469,182.03326229185004
119,6/23/2020,204.779999,0.00666343,0.001813808,-0.001132366,198.48336582187963,194.17970163205484,183.75869554088277
120,6/24/2020,198.020004,-0.033568171,0.001807387,-0.001402664,199.87165091939738,195.5514471798542,185.11591424070397
121,6/25/2020,207.100006,0.044833741,0.001809972,-0.001020545,193.19878767993143,189.05483335730352,178.91811665133372
122,6/26/2020,189.190002,-0.090449986,0.001860153,-0.001753573,202.13940246047017,197.77038570608235,187.2212618146099
123,6/29/2020,193.470001,0.022370655,0.001849723,-0.001557441,184.45790542673095,180.42563282955564,170.66521888089957
124,6/30/2020,197.619995,0.021223503,0.001838958,-0.001373724,188.67882573779227,184.5613598458301,174.583289492062
125,7/1/2020,197.570007,-0.000252982,0.001824256,-0.001364758,192.7822467205951,188.58484264112556,178.46396825912387
126,7/2/2020,197.399994,-0.000860891,0.00180978,-0.001360759,192.75868248320896,188.5922283002341,178.4818127812842
127,7/6/2020,207.360001,0.049224321,0.001815519,-0.000962451,192.6051806161117,188.4736847779041,178.39037793071736
128,7/7/2020,199.360001,-0.039344177,0.001812755,-0.001262309,202.40528989661777,198.04611233439425,187.3956965475732
129,7/8/2020,202.25,0.014392315,0.001800587,-0.001140955,194.52950614291245,190.33077201230552,180.14922912817173
130,7/9/2020,196.830002,-0.027164134,0.001791906,-0.001341133,197.38485227303326,193.14467906707796,182.88161191076037
131,7/10/2020,205.559998,0.04339753,0.001793389,-0.000999617,192.0844862686279,187.97014201106984,178.04146407899117
132,7/13/2020,208.880005,0.016021996,0.001781981,-0.000870665,200.65656640574298,196.3575455825131,185.92416237825935
133,7/14/2020,214.009995,0.024262771,0.001773297,-0.000681692,203.931884600041,199.58055842435553,188.94371848259073
134,7/15/2020,216.899994,0.013413671,0.001761535,-0.000576503,209.02502610312462,204.5707067065866,193.75637543070198
135,7/16/2020,214.669998,-0.010334434,0.001749187,-0.000648784,211.8607759919785,207.35823986889102,196.41882489728127
136,7/17/2020,211.410004,-0.015302561,0.001737892,-0.000756532,209.6829872730129,205.2327024851517,194.41964576244487
137,7/20/2020,211.710007,0.001418052,0.001725241,-0.000740659,206.50044987905616,202.14195198461738,191.55270014428388
138,7/21/2020,212.020004,0.001463182,0.001712774,-0.000724689,206.82939602830032,202.48670724349012,191.9927062593953
