,Date,NKE,PDR,VAR,AVG,VAR70,VAR85,VAR99
119,6/23/2020,101.919998,0.02393001,0.00110806,-2.31e-05,97.70948109764667,96.0610935793126,92.02568760901258
120,6/24/2020,100.080002,-0.018218286,0.001101562,-0.000174681,100.1116457199685,98.41155954552123,94.26846150196161
121,6/25/2020,101.400002,0.013103225,0.001093904,-6.49e-05,98.28000073593749,96.6261870451932,92.58079150377914
122,6/26/2020,93.669998,-0.079295165,0.00113597,-0.000714375,99.59851699246512,97.9228262675671,93.83139330490566
123,6/29/2020,95.870003,0.023215193,0.001131352,-0.000519825,91.90720321934838,90.33461486084316,86.49095898370143
124,6/30/2020,98.050003,0.022484445,0.001126461,-0.000334307,94.08438463031361,92.47747638562089,88.5510240746049
125,7/1/2020,97.400002,-0.006651352,0.001117766,-0.000384843,96.25550531894426,94.61629695110747,90.61002063110416
126,7/2/2020,98.43,0.010519404,0.001109831,-0.000298302,95.6200848472419,93.994049982608,90.02209837290157
127,7/6/2020,99.949997,0.015324395,0.001102999,-0.000175288,96.6470489551354,95.01268139365244,90.99300154243618
128,7/7/2020,97.07,-0.029237663,0.001100929,-0.000402338,98.14819106709666,96.49634207931688,92.48334533945246
129,7/8/2020,98.839996,0.018069973,0.001095019,-0.000259142,95.30690643722932,93.69837181953305,89.77402508201848
130,7/9/2020,96.989998,-0.018894481,0.001089247,-0.000402491,97.06328848573327,95.43459988775636,91.43302464147179
131,7/10/2020,97.989998,0.010257552,0.001081793,-0.000321116,95.23597006763009,93.62944568560309,89.74154774369622
132,7/13/2020,96.459999,-0.015737008,0.001075384,-0.000437903,96.23565859670109,94.627748253875,90.69607027905401
133,7/14/2020,96.760002,0.003105302,0.001067392,-0.000411263,94.7146805248998,93.14834675680108,89.27359886520235
134,7/15/2020,98.540001,0.018228861,0.001062,-0.000272157,95.02358479382679,93.44876291065438,89.59769936945943
135,7/16/2020,97.260002,-0.013074742,0.001055339,-0.000366991,96.79774049574245,95.19262649911737,91.27017924640259
136,7/17/2020,96.279999,-0.010127223,0.001048274,-0.000438758,95.53071801644026,93.95132726519113,90.1132492070341
137,7/20/2020,95.650002,-0.006564886,0.001040894,-0.000483474,94.57075550815713,93.01520194023695,89.22773716897892
138,7/21/2020,98.360001,0.027938511,0.001039163,-0.000277518,93.94997111025822,92.41197487651323,88.64233340427069
139,7/22/2020,98.910004,0.005576159,0.001031932,-0.000235405,96.63267213876034,95.04807044482057,91.19348782465593
140,7/23/2020,98.300003,-0.006186329,0.001024812,-0.000277911,97.18082664982921,95.59900036075157,91.73774546923973
141,7/24/2020,98.43,0.001321578,0.001017562,-0.000266567,96.58605434353285,95.01306285831492,91.16995867906085
142,7/27/2020,97.209999,-0.012472059,0.001011438,-0.000352522,96.72573964110336,95.16105448465598,91.3146018207815
143,7/28/2020,96.269997,-0.009716864,0.001004974,-0.000418007,95.51472796437504,93.97439474885316,90.20460101889286
144,7/29/2020,96.970001,0.00724495,0.0009984,-0.000364792,94.59868781104603,93.07147095839831,89.34520388782776
145,7/30/2020,96.82,-0.001548078,0.000991524,-0.000372952,95.29553564567463,93.77173127755694,90.01611230028436
146,7/31/2020,97.610001,0.008126373,0.000985224,-0.000314738,95.15152106761259,93.63314502035232,89.90669870473928
147,8/3/2020,98.330002,0.007349232,0.000978918,-0.000262602,95.9376615004604,94.40246559935316,90.66486587529526
148,8/4/2020,97.330002,-0.010221902,0.00097297,-0.000329894,96.65541119137966,95.12963311451585,91.35838545384203
149,8/5/2020,100.940002,0.036419014,0.000975443,-8.33e-05,95.67046011022444,94.15316034994142,90.4533871584783
150,8/6/2020,100.449997,-0.004866239,0.000969091,-0.000115144,99.24267879588342,97.66481901264858,93.81632275803898
151,8/7/2020,101.860001,0.01393927,0.000963973,-2.21e-05,98.76653310823781,97.20652252918987,93.37948912465386
152,8/10/2020,105.410004,0.034258215,0.000965311,0.00020346,100.15915884868265,98.58157678281135,94.71056624537475
153,8/11/2020,105.120003,-0.002754963,0.000959059,0.000184124,103.67329110951114,102.03691996859602,98.05427038964723
154,8/12/2020,105.220001,0.000950823,0.000952835,0.000189102,103.39545493599717,101.76327675078225,97.78826765308708
155,8/13/2020,106.519997,0.012279327,0.000947625,0.000267104,103.49986609786595,101.87933908398337,97.8970921565573
156,8/14/2020,106.43,-0.000845241,0.000941558,0.000259973,104.79135839787675,103.1519611462863,99.15068440056048
157,8/17/2020,105.660004,-0.007261062,0.000935919,0.000212069,104.70703599757707,103.07912177966989,99.07047171875038
158,8/18/2020,106.970001,0.012322001,0.000930917,0.000288714,103.95152762157495,102.33558143739457,98.37275461594417
159,8/19/2020,108.389999,0.013187394,0.000926102,0.000369838,105.25645836664565,103.62176642081975,99.60244732497948
160,8/20/2020,108.010002,-0.003511991,0.000920408,0.000345576,106.67146519398008,105.02189885710357,100.96745074277837
161,8/21/2020,109.75,0.015981218,0.0009162,0.000442692,106.29171063973239,104.6490392525888,100.6340423379552
162,8/24/2020,111.830002,0.018774827,0.000912606,0.000555853,108.01716220412153,106.36221096650699,102.28948496054072
163,8/25/2020,111.510002,-0.002865588,0.000907079,0.000534863,110.08668754981679,108.3924765820313,104.24157009333183
164,8/26/2020,111.529999,0.000179313,0.000901549,0.000532695,109.77121874341853,108.09728524970987,103.97678825976274
165,8/27/2020,110.839996,-0.00620592,0.000896358,0.000491855,109.79876469270631,108.126465918898,104.01679181848559
166,8/28/2020,112.290001,0.012997136,0.000891895,0.000567188,109.11641030988778,107.45539726938037,103.39609704574788
167,8/31/2020,111.889999,-0.003568583,0.000886656,0.000542423,110.55375282098878,108.87867997945011,104.75609524029417
168,9/1/2020,114.839996,0.026023584,0.00088522,0.000694096,110.16910399311757,108.50141670370792,104.41797235867993
169,9/2/2020,116.800003,0.016923276,0.000881531,0.000790127,113.09359847249254,111.37730455571004,107.20623795229737
