,Date,DIS,PDR,VAR,AVG,VAR70,VAR85,VAR99
181,9/21/2020,125.410004,-0.025351703,0.001026477,-0.00092251,126.331234504641,124.27909731634995,119.20376972082695
182,9/22/2020,127.209999,0.014250855,0.001022096,-0.00083914,123.14027810662786,121.13921956534443,116.2369948128478
183,9/23/2020,123.279999,-0.031381073,0.00102158,-0.001006036,124.92740825050639,122.89891802106432,117.95770587561448
184,9/24/2020,122.489998,-0.006428805,0.001016187,-0.001035507,121.04766555767607,119.08423573225298,114.2757078388598
185,9/25/2020,124.0,0.012252188,0.001011643,-0.000963682,120.26844292376946,118.31835693572482,113.55104395465597
186,9/28/2020,125.989998,0.015920957,0.001007729,-0.000872904,121.77450550615286,119.81170992526476,114.97649501929207
187,9/29/2020,125.400002,-0.004693879,0.001002417,-0.000893337,123.74359724279675,121.754955366284,116.87822428351906
188,9/30/2020,124.080002,-0.010582109,0.000997582,-0.000944873,123.15840705821942,121.1809213674108,116.30950519090598
189,10/1/2020,123.309998,-0.006225041,0.00099245,-0.000972811,121.86319194476395,119.90780440030933,115.11964410460263
190,10/2/2020,122.550003,-0.006182359,0.000987369,-0.001000229,121.1103050131804,119.16980890300769,114.42801942548377
191,10/5/2020,123.370003,0.00666886,0.000982506,-0.000960077,120.3603733713189,118.44706994891345,113.74070243815801
192,10/6/2020,120.93,-0.019976129,0.000979262,-0.001059119,121.18778796233016,119.25427325691118,114.52640414319534
193,10/7/2020,122.910004,0.016240547,0.000975731,-0.000969483,118.78031493090303,116.8954337339371,112.25323406477645
194,10/8/2020,123.089996,0.00146335,0.000970732,-0.000956943,120.73288461346056,118.81588323868918,114.12170291894905
195,10/9/2020,124.980003,0.015237986,0.000967092,-0.000873892,120.92431185317871,119.01172778373481,114.33143925996947
196,10/12/2020,124.970001,-8e-05,0.000962161,-0.000869842,122.79598936300334,120.85486309025188,116.11627012045628
197,10/13/2020,128.960007,0.031428617,0.000962545,-0.00070589,122.78562554155236,120.85166053280057,116.12883190550765
198,10/14/2020,126.589996,-0.018548847,0.000959284,-0.000796006,126.73496511304802,124.737690901653,119.83697190672505
199,10/15/2020,127.360001,0.006064244,0.000954699,-0.000761532,124.39192472703704,122.43203795353755,117.63289904269828
200,10/16/2020,126.809998,-0.004327842,0.000949988,-0.000779364,125.16355168460314,123.19945027731356,118.37534557759086
201,10/19/2020,124.230003,-0.020555177,0.000947198,-0.000877751,124.6217212594764,122.66483464017125,117.91066563212527
202,10/20/2020,124.949997,0.005778923,0.000942727,-0.000844797,122.08567118412083,120.16724032828124,115.5075694077998
203,10/21/2020,126.629997,0.013355792,0.000939072,-0.000774844,122.79248253180253,120.88273770728573,116.18534901813344
204,10/22/2020,127.559998,0.007317402,0.000934788,-0.000735176,124.4555101131709,122.51514606944981,117.75200523834572
205,10/23/2020,128.350006,0.006174128,0.00093046,-0.000701472,125.3827763919016,123.43588397109588,118.65728248487385
206,10/26/2020,124.059998,-0.033995651,0.000931298,-0.000863094,126.16978504644717,124.21442714700522,119.43797963147897
207,10/27/2020,123.309998,-0.00606381,0.000926929,-0.000888218,121.92691571058641,120.03607822930194,115.3982499589796
208,10/28/2020,118.470001,-0.040041721,0.000929807,-0.001076456,121.19069554326484,119.31802602883472,114.73170211644515
209,10/29/2020,121.540001,0.025583663,0.000928743,-0.000948896,116.40548862877992,114.60365090965773,110.18558429492231
210,10/30/2020,121.25,-0.002388905,0.00092433,-0.000955753,119.43365011929629,117.57905759956374,113.0567075071289
211,11/2/2020,120.129997,-0.009280065,0.000920276,-0.000995205,119.16220095866221,117.31497803674715,112.8049352816004
212,11/3/2020,124.019997,0.031868354,0.000921006,-0.000840188,118.06618016850479,116.24880506809072,111.78265136928347
213,11/4/2020,125.07,0.008430762,0.000917083,-0.000796662,121.90886397828689,120.02797072495525,115.41518895398656
214,11/5/2020,126.959999,0.014998488,0.000913958,-0.000722853,122.94821205629505,121.04907012139836,116.39616439105227
215,11/6/2020,127.459999,0.003930514,0.000909808,-0.00070121,124.81846692419951,122.90057479779304,118.19618873878635
216,11/9/2020,142.589996,0.112170769,0.000964304,-0.000178654,125.31031615610614,123.39181367984469,118.66232024865958
217,11/10/2020,142.110001,-0.003371939,0.000959907,-0.00019337,140.19148409079304,137.98363072666388,132.51980029167
218,11/11/2020,137.820007,-0.030652876,0.00095974,-0.000333092,139.72822047888855,137.53250619208612,132.15283476916488
219,11/12/2020,135.520004,-0.016829276,0.000956595,-0.000408417,135.48935174680884,133.35440160783287,128.1228966207644
220,11/13/2020,138.360001,0.020739731,0.000954271,-0.00031229,133.22562578437328,131.13409954637606,126.00477710908193
221,11/16/2020,144.669998,0.044596282,0.000959037,-0.000109083,136.03368648227666,133.89275872196887,128.6664434182674
222,11/17/2020,144.5,-0.001175765,0.000954722,-0.000113888,142.26104983442147,140.03593170664405,134.55726723013186
223,11/18/2020,143.899994,-0.004160935,0.000950514,-0.000132036,142.09778125751706,139.87719785909545,134.38154919226093
224,11/19/2020,141.720001,-0.015265285,0.000947288,-0.000199596,141.4989352798342,139.28228330820946,133.86982522163268
225,11/20/2020,141.070007,-0.004597016,0.000943164,-0.00021914,139.3553442946055,137.1737991046282,131.84387640748815
226,11/23/2020,145.979996,0.034213328,0.000944213,-6.68e-05,138.7197518919623,136.56204369624265,131.26477955715814
227,11/24/2020,151.490005,0.037050051,0.000946096,9.67e-05,143.56642086048254,141.3293401043882,135.8498315184304
228,11/25/2020,149.089996,-0.015969526,0.000943074,2.63e-05,149.00878295048304,146.6759361728169,140.9640813567621
229,11/27/2020,147.130005,-0.01323354,0.00093972,-3.16e-05,146.63867221048469,144.35408354435356,138.75068048676496
230,11/30/2020,148.009995,0.005963222,0.00093579,-5.58e-06,144.7276421567156,142.46593023311436,136.93172279515372
231,12/1/2020,149.440002,0.009615183,0.000932138,3.61e-05,145.5834172231154,143.31488572270024,137.76850503892757
232,12/2/2020,153.610001,0.027521941,0.000931362,0.000154544,147.00001480699885,144.72957642415145,139.1452908891977
233,12/3/2020,153.240005,-0.002411577,0.000927393,0.000143531,151.12215413171222,148.7804927437499,143.0377864257715
234,12/4/2020,154.139999,0.005855921,0.000923569,0.000167943,150.76638668103422,148.43663854638103,142.7009379117937
235,12/7/2020,153.679993,-0.002988801,0.000919681,0.00015451,151.66600416346662,149.3328311270656,143.5880204939471
236,12/8/2020,153.720001,0.000260299,0.000915784,0.000154958,151.2119993322684,148.86892632082177,143.14943524889387
237,12/9/2020,154.429993,0.004608102,0.000912003,0.000173748,151.2465659263266,148.9283984980836,143.20856826143276
238,12/10/2020,154.690002,0.001682253,0.000908181,0.000180086,151.96235783972762,149.6283722996346,143.91241300276016
239,12/11/2020,175.720001,0.127468698,0.000971889,0.000712674,152.21987790399692,149.89162922265808,144.16773930335887
240,12/14/2020,169.300003,-0.037219518,0.00097381,0.000554623,172.91413058444175,170.17445387803932,163.4494975243532
241,12/15/2020,173.940002,0.027038117,0.000972668,0.000664513,166.56677749392645,163.92252820402007,157.4419318002577
242,12/16/2020,173.119995,-0.004725457,0.000968768,0.000642241,171.151074874537,168.44006347554568,161.80913307343388
243,12/17/2020,173.550003,0.002480793,0.000964795,0.000649807,170.3343498801875,167.64894447734216,161.05553192997118
244,12/18/2020,172.889999,-0.003810211,0.000960922,0.000631528,170.77274115234277,168.07566573226356,161.47627188390467
245,12/21/2020,170.690002,-0.012806491,0.000957734,0.000576679,170.12926629261244,167.44873689082024,160.87004939353395
246,12/22/2020,170.449997,-0.001407077,0.000953857,0.000568615,167.94873921604864,165.30615617820763,158.83344374385337
247,12/23/2020,173.550003,0.018023779,0.000951224,0.000639284,167.71102774646172,165.0950258825301,158.65433323753177
248,12/24/2020,173.729996,0.001036587,0.000947389,0.000640886,170.79661758026722,168.13560255125765,161.57565468386207
249,12/28/2020,178.860001,0.029101036,0.000946824,0.000755184,170.98371639257104,168.30773333749946,161.75161920084733
250,12/29/2020,177.300003,-0.008760153,0.000943397,0.000717122,176.0462333404014,173.2964299981928,166.53457686978263
251,12/30/2020,181.169998,0.021592576,0.000941368,0.000800291,174.5134981536126,171.78578528200947,165.07823772284488
252,12/31/2020,181.179993,5.52e-05,0.000937634,0.000797334,178.33179913647442,175.5504424740045,168.71802505991013
253,1/4/2021,177.679993,-0.019506833,0.000935551,0.000717081,178.3508133767693,175.58029062390338,168.77967542733575
254,1/5/2021,178.440002,0.004268281,0.000931918,0.000731062,174.8929551721752,172.1766926400774,165.50436866714816
255,1/6/2021,179.119995,0.003803523,0.0009283,0.000743111,175.6556683807147,172.939454641577,166.28394090553772
256,1/7/2021,178.580002,-0.003019253,0.000924729,0.000728414,176.33204180722072,173.60359575484716,166.91710203725657
257,1/8/2021,178.690002,0.000615781,0.000921131,0.000727976,175.8076203327767,173.09021511646336,166.46265537442682
258,1/11/2021,179.089996,0.002235978,0.000917569,0.000733821,175.91375108709175,173.198918351945,166.546763721051
259,1/12/2021,175.990005,-0.017461247,0.0009153,0.00066357,176.3101711770442,173.60347940248937,166.97535917844826
260,1/13/2021,176.119995,0.000738349,0.000911779,0.000663857,173.26255024420544,170.59077135774564,164.06264344247802
261,1/14/2021,173.429993,-0.015391533,0.00090927,0.000602342,173.3999907877745,170.7310091165118,164.20431938214958
262,1/15/2021,171.440002,-0.011540657,0.00090636,0.000555995,170.73688357433136,168.12277290315788,161.7177940335869
263,1/19/2021,172.259995,0.004771572,0.000902981,0.000572024,168.76457658198416,166.1922530737041,159.87063772194492
264,1/20/2021,173.639999,0.00797925,0.000899768,0.000600081,169.58713204894457,167.00059799220946,160.6455914637795
265,1/21/2021,171.279999,-0.013684546,0.00089714,0.000546177,170.948173438298,168.34080609209144,161.97046310752032
