,Date,KR,PDR,VAR,AVG,VAR70,VAR85,VAR99
181,9/21/2020,33.459999,0.00749966,0.000483031,0.000855515,32.84673053788711,32.47889459732811,31.5679186703874
182,9/22/2020,33.740002,0.008333471,0.000480682,0.000896603,33.097525972709114,32.72673575456337,31.81325158734605
183,9/23/2020,33.279999,-0.01372755,0.000479218,0.000816689,33.37624006197249,33.00306163110224,32.08412502772165
184,9/24/2020,33.43,0.004497115,0.000476686,0.000836692,32.92020508905739,32.554406423079875,31.648315549558692
185,9/25/2020,33.529999,0.00298683,0.000474135,0.000848314,33.0690770015105,32.70104216048177,31.79368985466842
186,9/28/2020,33.700001,0.005057336,0.00047168,0.000870943,33.16884090267952,32.79996899309241,31.890777600533802
187,9/29/2020,33.77,0.002074967,0.000469166,0.000877382,33.34014192247582,32.97236447708791,32.0541902881428
188,9/30/2020,33.91,0.004137122,0.000466726,0.000894721,33.40957823803936,33.040810111135016,32.13457081279532
189,10/1/2020,34.02,0.003238631,0.000464286,0.000907123,33.55094635377205,33.1817609433164,32.27058605310935
190,10/2/2020,34.07,0.001468645,0.000461844,0.000910078,33.66003841357771,33.289760882581255,32.38106834840958
191,10/5/2020,34.529999,0.013411251,0.00046024,0.000975529,33.709572147499365,33.34161476589334,32.432704391829425
192,10/6/2020,33.950001,-0.016939599,0.000459505,0.000882221,34.16879264018104,33.793743967352825,32.87266615408157
193,10/7/2020,34.029999,0.002353576,0.000457136,0.000889845,33.59404002316152,33.227366599609105,32.326308199821874
194,10/8/2020,34.290001,0.007611337,0.000455011,0.000924492,33.67262018306338,33.306158053992945,32.40654280241366
195,10/9/2020,34.450001,0.004655231,0.000452749,0.000943624,33.93210669118149,33.56289812668159,32.655170438784374
196,10/12/2020,34.630001,0.005211361,0.000450531,0.000965398,34.091624161866775,33.72116617678641,32.80828137049414
197,10/13/2020,34.799999,0.004896971,0.000448322,0.000985355,34.27192375777255,33.900129710177985,32.98307599446949
198,10/14/2020,33.84,-0.027973823,0.000450272,0.000839097,34.441837830097484,34.06926179394935,33.1519534574293
199,10/15/2020,33.98,0.004128582,0.000448064,0.000855627,33.48704353075019,33.12557474365506,32.232875831852155
200,10/16/2020,34.07,0.002645115,0.000445839,0.000864574,33.62557293054907,33.26262888194658,32.36745430276475
201,10/19/2020,33.880001,-0.005592332,0.000443828,0.00083245,33.7165959784118,33.35275141868692,32.45859417102637
202,10/20/2020,33.330002,-0.016366947,0.000443088,0.000747305,33.526688640799925,33.168852999503386,32.278289048675525
203,10/21/2020,33.330002,0.0,0.000440908,0.000743623,32.98123665404576,32.626251404190164,31.753211799615457
204,10/22/2020,32.639999,-0.020919453,0.000441035,0.000637432,32.98249396628178,32.63059824667823,31.756798901361783
205,10/23/2020,32.759998,0.003669698,0.000438929,0.000652223,32.29596255638465,31.951264914336246,31.096188669755367
206,10/26/2020,33.16,0.012136132,0.000437435,0.00070797,32.41713554954049,32.06994335147616,31.21366296725231
207,10/27/2020,32.34,-0.025039476,0.000438509,0.000583587,32.814567070626936,32.46451543532595,31.60207274305208
208,10/28/2020,32.16,-0.00558141,0.000436583,0.000553947,31.999292709063123,31.65750579644345,30.811154708624578
209,10/29/2020,32.259998,0.003104566,0.000434525,0.000566151,31.819811700203932,31.481713727312723,30.648353013702593
210,10/30/2020,32.209999,-0.001551078,0.000432477,0.000556069,31.920391940224818,31.582223617467836,30.749903438897583
211,11/2/2020,32.060001,-0.004667754,0.000430556,0.000531312,31.871919176298785,31.533253980766062,30.69990275259882
212,11/3/2020,32.740002,0.020988455,0.00043049,0.000627808,31.72186416594894,31.38882310872657,30.560180427175066
213,11/4/2020,32.09,-0.020053178,0.000430467,0.000530714,32.39972944048332,32.056953187859804,31.212615915047255
214,11/5/2020,32.720001,0.019442087,0.000430119,0.000619085,31.75294745349947,31.41749291017902,30.588482891158893
