,Date,PEP,PDR,VAR,AVG,VAR70,VAR85,VAR99
160,8/20/2020,136.720001,0.001976821,0.000775187,4.13e-05,134.4151734788113,132.5126050329531,127.8270580783519
161,8/21/2020,136.460007,-0.001903463,0.000770395,2.92e-05,134.70341641031905,132.79723416696976,128.09971626771963
162,8/24/2020,137.639999,0.008609991,0.000766091,8.22e-05,134.44663556574022,132.5443556973498,127.89348414436905
163,8/25/2020,137.300003,-0.002473239,0.000761431,6.65e-05,135.61700422869586,133.7068138257231,129.00663803244532
164,8/26/2020,138.470001,0.008485368,0.000757218,0.000117824,135.28708315818747,133.3849504382559,128.72134136567686
165,8/27/2020,138.399994,-0.000505703,0.000752631,0.000114045,136.44667478279527,134.54357771449776,129.8682415690838
166,8/28/2020,139.940002,0.011065774,0.000748815,0.00018002,136.39023223768334,134.482509925436,129.82939702296534
167,8/31/2020,140.059998,0.000857114,0.000744334,0.000184074,137.91958620683613,135.99830969046852,131.2844698495336
168,9/1/2020,139.190002,-0.006230967,0.000740147,0.000145889,138.04862491474938,136.1340970799326,131.41829051401797
169,9/2/2020,143.289993,0.029030579,0.000740675,0.000316805,137.18072788454782,135.28528904835443,130.61188930167057
170,9/3/2020,139.369995,-0.027738269,0.000740921,0.000151775,141.25238549783217,139.28876733898485,134.50542681630682
171,9/4/2020,138.759995,-0.004386445,0.000736708,0.000125235,137.36043186319606,135.46434198045017,130.7992292932811
172,9/8/2020,135.550003,-0.023405188,0.000735625,-1.16e-05,136.76147450689692,134.8782048041349,130.23627254334374
173,9/9/2020,137.110001,0.011442933,0.000732127,5.46e-05,133.5809915434926,131.72895089031113,127.20875802645388
174,9/10/2020,134.759995,-0.017288149,0.000729638,-4.5e-05,135.14224424016774,133.27923155421107,128.72469169628044
175,9/11/2020,135.809998,0.007761454,0.000725815,-4.21e-07,132.8186204141052,130.98562432650095,126.47704772841897
176,9/14/2020,136.669998,0.006312411,0.000721916,3.54e-05,133.86342851963343,132.02990799128213,127.50522979830001
177,9/15/2020,135.619995,-0.007712426,0.000718174,-8.33e-06,134.7159636668086,132.87565767497435,128.34728417088007
178,9/16/2020,134.979996,-0.004730231,0.000714264,-3.49e-05,133.6739354430767,131.85198724891518,127.39514283269972
179,9/17/2020,133.199997,-0.013274854,0.000711248,-0.00010882,133.05307887907605,131.2388319160964,126.79111800479376
180,9/18/2020,131.470001,-0.013073039,0.000708225,-0.000180843,131.2839710924665,129.50237926433132,125.13215093134714
181,9/21/2020,131.240005,-0.00175095,0.000704326,-0.000189518,129.58021802699952,127.81607265296348,123.51230112059436
182,9/22/2020,132.149994,0.006909849,0.000700731,-0.000150511,129.3603932552025,127.61016911653452,123.32366237348675
183,9/23/2020,131.0,-0.008740272,0.000697303,-0.000197449,130.26114057060715,128.5090302239938,124.18884084202821
