,Date,CHS,PDR,VAR,AVG,VAR70,VAR85,VAR99
100,5/27/2020,1.51,0.075637414,0.006245393,-0.008935168,1.3258038244422046,1.2732199346065989,1.1500786991000067
101,5/28/2020,1.52,0.006600684,0.006185924,-0.008781348,1.431348401891423,1.374399669507724,1.2407859702498647
102,5/29/2020,1.35,-0.118605742,0.006242367,-0.009858058,1.4413315438282512,1.3844717279285665,1.251554705184744
103,6/1/2020,1.39,0.029199155,0.006196428,-0.009478861,1.2787400315640023,1.2282400407793643,1.1086395887527
104,6/2/2020,1.46,0.049132689,0.006169562,-0.008915289,1.3170368846549976,1.2650727932988917,1.1429850175301346
105,6/3/2020,1.56,0.066249386,0.006164098,-0.008199435,1.3843608543832653,1.3297972815940327,1.201503752728709
106,6/4/2020,1.83,0.159630146,0.006369164,-0.006616137,1.4802070765353064,1.4218075504119418,1.2842209020411721
107,6/5/2020,2.17,0.170411201,0.006599787,-0.004961676,1.7377690499662202,1.6683566393805453,1.5047312180727062
108,6/8/2020,2.4,0.10074157,0.006641175,-0.003982942,2.0621752478010014,1.9779872176002882,1.7804876327977457
109,6/9/2020,2.1,-0.133531393,0.006732805,-0.00517146,2.2828748488134663,2.189603718933113,1.9711430960008651
110,6/10/2020,1.52,-0.32322701,0.007582867,-0.008062874,1.9946828754235957,1.9123282690290424,1.7203273244803596
111,6/11/2020,1.31,-0.148683198,0.007691093,-0.009329724,1.4350051069025134,1.3723178419798543,1.2262876789669745
112,6/12/2020,1.49,0.128748983,0.007791133,-0.008096878,1.2347910074073405,1.1803777838171987,1.0538998214622552
113,6/15/2020,1.4,-0.062303883,0.007747958,-0.008576586,1.4055487925485608,1.3433312760858558,1.1991602528162506
114,6/16/2020,1.52,0.082238098,0.007751704,-0.007779966,1.3204129456359752,1.262225891495017,1.1266365621819432
115,6/17/2020,1.37,-0.103899595,0.007763938,-0.008615789,1.43451118077506,1.371256217615936,1.2241061171966496
116,6/18/2020,1.39,0.014493007,0.007701571,-0.008416575,1.2919949079255804,1.235186494100148,1.1021010269919576
117,6/19/2020,1.39,0.0,0.007636346,-0.008344639,1.3110969886958135,1.2533934898416363,1.118666158552487
118,6/22/2020,1.41,0.014285957,0.007575935,-0.008152854,1.3116282531956607,1.25427537478065,1.1205717720088832
119,6/23/2020,1.33,-0.058410762,0.007533319,-0.008575189,1.3308892961582954,1.272927485402694,1.1373146853015288
120,6/24/2020,1.25,-0.062035391,0.007494159,-0.009020691,1.255375398752194,1.2006874085286796,1.0737107560321737
121,6/25/2020,1.27,0.015873349,0.007437303,-0.008814955,1.1793972246991515,1.128565569990219,1.0099407594064442
122,6/26/2020,1.28,0.007843177,0.007378598,-0.008678413,1.1986118342967038,1.146942438217871,1.0260245630305271
123,6/29/2020,1.33,0.038318864,0.00733642,-0.008296321,1.2086578301325657,1.156616609598977,1.0347764612340764
124,6/30/2020,1.38,0.036904557,0.0072936,-0.007931798,1.2567599744957942,1.2027378069438706,1.076667051973199
125,7/1/2020,1.33,-0.036904557,0.007241912,-0.00816358,1.3043901625918881,1.2486174996408497,1.118800565354227
126,7/2/2020,1.33,0.0,0.007184962,-0.00809879,1.2570177630687174,1.2032741858842932,1.078537321648823
