,Date,FNMA,PDR,VAR,AVG,VAR70,VAR85,VAR99
108,6/8/2020,2.27,0.022272636,0.003114729,-0.003548078,2.144134098383752,2.0835967538680973,1.9383593304646645
109,6/9/2020,2.2,-0.031322471,0.003093166,-0.003802889,2.193170352619637,2.131662767155623,1.9834598352946409
110,6/10/2020,2.17,-0.013730193,0.003065934,-0.003893138,2.125371127960393,2.065831994531642,1.9226863721661396
111,6/11/2020,2.02,-0.071629656,0.003079276,-0.004503377,2.096746143806819,2.0380924360711283,1.897650362994041
112,6/12/2020,2.06,0.019608471,0.003056927,-0.004288092,1.950299549510773,1.8956304413211227,1.7646777920826908
113,6/15/2020,2.02,-0.019608471,0.003031933,-0.004423671,1.989519455203699,1.9341214971795893,1.8009604743956356
114,6/16/2020,2.14,0.057708318,0.003038904,-0.003878653,1.9505487870582685,1.8963383543079773,1.7664229160880005
115,6/17/2020,2.09,-0.023641763,0.003015845,-0.004050506,2.0677480829006263,2.010256839513898,1.8722968083221976
116,6/18/2020,2.08,-0.004796172,0.002989851,-0.004056935,2.019163747480461,1.96327847069829,1.8288010554968497
117,6/19/2020,2.03,-0.024332101,0.00296778,-0.004230227,2.010236701388223,1.9544980036379769,1.821130059845789
118,6/22/2020,2.03,0.0,0.00294278,-0.004194377,1.9616766289332979,1.9076013956379387,1.778309414839497
119,6/23/2020,2.09,0.029128273,0.002927304,-0.003914355,1.9618440360061742,1.9082528711961608,1.77893755202335
120,6/24/2020,2.05,-0.019324273,0.002904872,-0.004042771,2.020675041452049,1.9656161863023445,1.8327204802784356
121,6/25/2020,2.07,0.009708814,0.002882414,-0.003929121,1.9818409913311497,1.9280497801963143,1.79811120700753
122,6/26/2020,2.03,-0.019512814,0.002860762,-0.004056857,2.001755381304044,1.94748857291013,1.8173250248182955
123,6/29/2020,2.15,0.057432049,0.002867993,-0.003556947,1.963085442345488,1.9099508998603874,1.7826264924355721
124,6/30/2020,2.17,0.009259325,0.002846178,-0.00345359,2.0799305036823363,2.0237028637549006,1.8885366998290762
