,Date,XOM,PDR,VAR,AVG,VAR70,VAR85,VAR99
119,6/23/2020,46.700001,0.006013828,0.001620754,-0.003508624,45.244765072158266,44.31642421682926,42.067607612582
120,6/24/2020,44.5,-0.048254997,0.001623794,-0.003881511,45.52844043462575,44.60068722526719,42.32827303193502
121,6/25/2020,45.169998,0.014943916,0.001613279,-0.003725929,43.36064741513599,42.47447644446256,40.33508761928339
122,6/26/2020,43.619999,-0.034917368,0.001607964,-0.003981596,44.027657209380244,43.12669468548027,40.9495605607967
123,6/29/2020,44.32,0.015920305,0.001598086,-0.003819792,42.51206630823665,41.649590251990986,39.545366657494355
124,6/30/2020,44.720001,0.008984809,0.001586509,-0.003716529,43.200872784608826,42.32420982613026,40.199043990176754
125,7/1/2020,43.709999,-0.022843965,0.001576721,-0.003869549,43.59508532795197,42.71658720360418,40.57361130521742
126,7/2/2020,44.080002,0.008429324,0.001565398,-0.003771938,42.608196219323695,41.75072688523842,39.65888585693713
127,7/6/2020,44.389999,0.007007986,0.00155398,-0.003687057,42.97820784867974,42.118305577777264,40.00992600837435
128,7/7/2020,43.240002,-0.026248157,0.001545785,-0.003863316,43.28828884821476,42.42551462602885,40.31417810060275
129,7/8/2020,43.139999,-0.002315421,0.001533821,-0.003851317,42.16184100652459,41.31947152883578,39.27355149919845
130,7/9/2020,41.360001,-0.042136363,0.00153321,-0.004145817,42.0661254835704,41.23010869751565,39.202280012036276
131,7/10/2020,42.650002,0.030713066,0.001530711,-0.003879719,40.32090279243206,39.51833468061937,37.574815456341284
132,7/13/2020,42.66,0.000234392,0.001519242,-0.003848551,41.590723274018806,40.76591931062938,38.76135640037903
133,7/14/2020,44.07,0.032517566,0.001517688,-0.003575122,41.60374935464721,40.778219812807855,38.780673149742356
134,7/15/2020,44.630001,0.012627022,0.001508307,-0.00345421,42.99226585066511,42.14147164236903,40.06903124232317
135,7/16/2020,44.279999,-0.007873216,0.001497278,-0.003486944,43.54212886297134,42.68643584377828,40.60361752266337
136,7/17/2020,43.52,-0.017312483,0.001487663,-0.003588602,43.20680050442577,42.35646142932539,40.2954859216547
137,7/20/2020,42.5,-0.023716527,0.00147974,-0.003735521,42.464109953679944,41.630818355137436,39.60714617639166
138,7/21/2020,44.650002,0.049350276,0.00148929,-0.003350841,41.4654980643627,40.655459510887525,38.68986300644863
139,7/22/2020,43.610001,-0.023567847,0.001481495,-0.003496287,43.57751555104578,42.724551360648434,40.63910453653265
140,7/23/2020,43.700001,0.00206162,0.001471132,-0.003456588,42.557714253400306,41.726542474137204,39.71098339638294
141,7/24/2020,43.43,-0.006197678,0.001460752,-0.003476028,42.65041305385504,41.82145845042123,39.80477061198964
142,7/27/2020,44.07,0.014628832,0.001452757,-0.003348529,42.392703259691174,41.56664292663899,39.56770580128118
143,7/28/2020,43.549999,-0.011869599,0.001443102,-0.003408117,43.01851121231751,42.189465042835614,40.167799481828006
144,7/29/2020,44.029999,0.010961517,0.001434504,-0.003308328,42.51619219422175,41.69816621039728,39.704506669209955
145,7/30/2020,41.869999,-0.050301641,0.001439736,-0.00363242,42.989945653160106,42.16180961256234,40.157018257285614
146,7/31/2020,42.080002,0.00500306,0.001430382,-0.003573273,40.86726305430366,40.08364576700613,38.15910929910714
147,8/3/2020,42.25,0.004031738,0.001421043,-0.003521538,41.07930661709647,40.29346317821705,38.365333512010224
148,8/4/2020,43.470001,0.028466714,0.001418308,-0.003305401,41.246971896990566,40.45897656459802,38.54242799753994
149,8/5/2020,43.849998,0.008703605,0.001409751,-0.003224804,42.44755358447743,41.635588662094264,39.65883388092148
150,8/6/2020,43.639999,-0.004800535,0.001400369,-0.003235309,42.82529480184644,42.00890638032323,40.024252949588075
151,8/7/2020,43.439999,-0.004593485,0.001391107,-0.003244303,42.62435133684575,41.8131974619992,39.84426123617488
152,8/10/2020,44.509998,0.024333185,0.001386925,-0.003062873,42.43074600692526,41.629535104615336,39.66377742892458
153,8/11/2020,44.970001,0.010281785,0.001379017,-0.002975653,43.48313347303311,42.66362061808816,40.664585836167625
154,8/12/2020,44.09,-0.019762624,0.00137188,-0.003084659,43.94106192781335,43.11345553050801,41.096232001411295
155,8/13/2020,43.009998,-0.024800399,0.001366052,-0.00322476,43.07887627117625,42.26791926593358,40.2999525041224
156,8/14/2020,43.200001,0.004407918,0.001357666,-0.003175833,42.020662879734076,41.2347138972351,39.31473040904439
157,8/17/2020,42.639999,-0.013047762,0.001349636,-0.003238711,42.209831989378735,41.419875321688295,39.49806297944839
158,8/18/2020,42.43,-0.004937097,0.001341112,-0.003249461,41.66133160829309,40.88657770036676,39.00525196983334
159,8/19/2020,41.959999,-0.0111389,0.001333066,-0.00329908,41.4615509845706,40.690892224771865,38.811389711414044
160,8/20/2020,41.32,-0.015370115,0.001325639,-0.003374524,41.001241688868866,40.241996285665074,38.39491197153467
161,8/21/2020,41.009998,-0.007530754,0.001317512,-0.003400339,40.37685097341043,39.63367794899977,37.81924354372172
162,8/24/2020,42.220001,0.029078175,0.001315851,-0.003199854,40.075746194714775,39.33250629113968,37.529741888138325
163,8/25/2020,40.880001,-0.032253096,0.001312925,-0.003378095,41.26441296614663,40.50594116793145,38.651448093182985
164,8/26/2020,40.009998,-0.021511597,0.001306912,-0.003488665,39.9476502170089,39.212689837236205,37.42366036052204
165,8/27/2020,39.740002,-0.006771085,0.001299056,-0.003508559,39.09473966895681,38.37934326248126,36.63408673029708
166,8/28/2020,40.689999,0.02362405,0.001295639,-0.003345109,38.83167218540421,38.12126142484895,36.3920301849895
167,8/31/2020,39.939999,-0.018604034,0.001289266,-0.00343648,39.770126425891256,39.044525868923586,37.27697393491403
168,9/1/2020,39.43,-0.012851355,0.001282116,-0.003492521,39.03633712772604,38.32403607752592,36.59069913628092
169,9/2/2020,39.189999,-0.006105361,0.00127457,-0.003507982,38.53805282045374,37.84145551251082,36.12682095278195
170,9/3/2020,39.110001,-0.002043372,0.001267085,-0.003499366,38.30168814119068,37.60860387484915,35.913661724416826
171,9/4/2020,39.080002,-0.000767336,0.001259719,-0.003483389,38.22734582102044,37.53811045920532,35.844992769861065
172,9/8/2020,38.18,-0.02329906,0.001254664,-0.003598597,38.20143067055424,37.514532815277796,35.844385596261915
173,9/9/2020,37.950001,-0.006042288,0.001247446,-0.003612722,37.32124504852633,36.64945254375051,35.009352430231345
174,9/10/2020,37.0,-0.025351618,0.001242977,-0.003737658,37.096005871317004,36.430323510721095,34.812771406699454
175,9/11/2020,36.900002,-0.002706307,0.001235881,-0.003731765,36.164603663218436,35.51567527262873,33.94323407170212
176,9/14/2020,36.66,-0.006525363,0.001228903,-0.003747638,36.06809659245766,35.42492633211958,33.85521221769179
177,9/15/2020,36.27,-0.010695289,0.001222231,-0.00378689,35.83591298500342,35.19596837146745,33.64059078654739
178,9/16/2020,37.810001,0.041582691,0.001226864,-0.003532005,35.450874154660404,34.822216541226595,33.287349417477124
179,9/17/2020,37.799999,-0.000264568,0.001220069,-0.003513751,36.968204267839205,36.311053589818755,34.70547761672646
180,9/18/2020,37.189999,-0.016269195,0.00121419,-0.003584614,36.959941386688925,36.304733448323624,34.7156054464386
181,9/21/2020,36.43,-0.02064727,0.001209081,-0.003678883,36.36390374711672,35.718569465498426,34.14626761904839
182,9/22/2020,35.529999,-0.025015229,0.001204925,-0.003796116,35.61909602072142,34.99233119301168,33.46027189367649
183,9/23/2020,34.389999,-0.032611587,0.001202854,-0.003953577,34.73253223762706,34.12221441647206,32.62479127733898
184,9/24/2020,34.32,-0.002037521,0.001196336,-0.003943164,33.61556817046365,33.02401295291258,31.574607016499456
185,9/25/2020,34.639999,0.00928078,0.00119081,-0.003871683,33.54935889711976,32.95809972341671,31.52465813762513
186,9/28/2020,35.310001,0.019157183,0.001187243,-0.003747872,33.867153450384514,33.273531214617584,31.833034079653043
187,9/29/2020,34.279999,-0.029604174,0.00118445,-0.003886141,34.52646824615856,33.92112357542781,32.44680630264737
188,9/30/2020,34.330002,0.001457601,0.001178301,-0.003857717,33.51580179995198,32.928864835975766,31.495692718040885
189,10/1/2020,33.130001,-0.035580419,0.001177363,-0.004025562,33.56857913114957,32.985309026996696,31.54672975697202
190,10/2/2020,32.98,-0.004537929,0.001171168,-0.004028259,32.39064259608073,31.82577435929568,30.44085324369186
191,10/5/2020,33.740002,0.022782819,0.00116878,-0.003887887,32.2448083635427,31.686566000950393,30.327038325630127
192,10/6/2020,33.389999,-0.010427712,0.001162914,-0.003921948,32.99263928224097,32.41818492435597,31.02222193682505
193,10/7/2020,33.5,0.003289015,0.001157157,-0.003884586,32.6498414247103,32.084601971639685,30.70535895798823
194,10/8/2020,35.259998,0.051203681,0.001166754,-0.003600625,32.7593819203546,32.19531508748598,30.814591968933183
195,10/9/2020,34.740002,-0.014857302,0.001161417,-0.003658352,34.48956352450047,33.891642320953785,32.4273416770645
196,10/12/2020,34.630001,-0.003171431,0.001155493,-0.003655868,33.980713449393406,33.39325056811002,31.960441056897075
197,10/13/2020,34.220001,-0.01191009,0.001149972,-0.003697767,33.875469030026714,33.287741411476595,31.856406635822786
198,10/14/2020,34.150002,-0.002047653,0.001144177,-0.003689433,33.47197000702962,32.89528207087148,31.490893913327703
199,10/15/2020,34.450001,0.008746382,0.001139201,-0.003626942,33.40794623063652,32.83357737159304,31.432304026352917
200,10/16/2020,34.099998,-0.010211701,0.001133721,-0.003659866,33.70474439945168,33.127212145171654,31.718004080623018
201,10/19/2020,33.419998,-0.020142862,0.001129425,-0.003741871,33.36415620770599,32.79331528256661,31.396145967612135
202,10/20/2020,33.700001,0.008343404,0.001124553,-0.003682043,32.6984768207208,32.13854986930542,30.768878671310627
203,10/21/2020,33.16,-0.016153537,0.001119776,-0.003743478,32.968989734005646,32.40755875152503,31.03434501314447
204,10/22/2020,34.860001,0.049995739,0.001128374,-0.003480051,32.44024362413289,31.891438775461648,30.54492017072142
205,10/23/2020,34.16,-0.0202847,0.001124241,-0.003562025,34.11434787750263,33.53201352928354,32.114419590842594
206,10/26/2020,33.349998,-0.023997657,0.001120801,-0.003661227,33.42867810756591,32.86028804833108,31.4618488490045
207,10/27/2020,32.82,-0.016019627,0.00111612,-0.003720929,32.63297348133223,32.077271024899424,30.722483217154824
208,10/28/2020,31.57,-0.038830783,0.001116652,-0.003889727,32.1116869169941,31.568385741469086,30.236862357923936
209,10/29/2020,32.970001,0.043390785,0.001121954,-0.003663504,30.883862073538687,30.361241676930497,29.077837893848756
210,10/30/2020,32.619999,-0.010672521,0.001116844,-0.00369688,32.26061021901983,31.711731854611823,30.367781332554117
211,11/2/2020,33.990002,0.041140856,0.001121034,-0.003484379,31.917162554328826,31.376137967255712,30.056166401678826
212,11/3/2020,33.41,-0.017211166,0.001116631,-0.003549128,33.26352497011308,32.69750462535262,31.31127757688451
213,11/4/2020,33.23,-0.005402174,0.001111405,-0.003557828,32.69662737891332,32.14066579541931,30.788094765492335
214,11/5/2020,33.169998,-0.00180729,0.001106225,-0.003549648,32.51958030576439,31.966494532477586,30.62037000828951
215,11/6/2020,32.779999,-0.01182725,0.001101397,-0.003588148,32.46246392436653,31.914440289342757,30.576379826996305
216,11/9/2020,36.93,0.119205686,0.001165782,-0.003019658,32.08166600617966,31.539560639799728,30.216883726805214
217,11/10/2020,36.860001,-0.001897249,0.001160416,-0.003014486,36.14362825688764,35.515882405317015,33.99457133430198
