,Date,DAL,PDR,VAR,AVG,VAR70,VAR85,VAR99
189,10/1/2020,31.1,0.016861619,0.003143958,-0.003391573,29.54147726501323,28.70227162018791,26.693822031828766
190,10/2/2020,31.75,0.020684906,0.003130445,-0.003264855,30.04860235914373,29.196694108359885,27.15948657466237
191,10/5/2020,32.0,0.007843177,0.003114698,-0.003206698,30.682791049459947,29.81439576817924,27.734128073568414
192,10/6/2020,31.059999,-0.029815117,0.003102144,-0.003345283,30.927975015079088,30.05705374683772,27.97930803084444
193,10/7/2020,32.150002,0.034491727,0.00309345,-0.003149237,30.019022781321162,29.17375218767119,27.155605570695673
194,10/8/2020,32.68,0.016350757,0.003079455,-0.003048721,31.07918820159453,30.204449967977517,28.109429413030657
195,10/9/2020,32.810001,0.003970107,0.003063914,-0.003012727,31.59355479147768,30.710442560817587,28.597470064167446
196,10/12/2020,32.639999,-0.005194878,0.003048306,-0.003023861,31.728234780622625,30.840730310203934,28.716611343112543
197,10/13/2020,31.77,-0.027016051,0.003035739,-0.003145648,31.562546520986125,30.68332375612071,28.581706565326446
198,10/14/2020,31.76,-0.000314812,0.003020448,-0.003131351,30.72311924518635,29.868987286386382,27.817956366106213
199,10/15/2020,31.34,-0.013312399,0.003005788,-0.003182512,30.716021275980133,29.864700453779786,27.827032049317925
200,10/16/2020,31.469999,0.004139442,0.002991025,-0.003145903,30.31015443616579,29.470026881517416,27.45751053386062
201,10/19/2020,31.5,0.000952867,0.002976228,-0.003125511,30.437552717487474,29.594206629991227,27.58174430972822
202,10/20/2020,31.98,0.015123162,0.002963135,-0.003035171,30.470829022766907,29.632442961858153,27.61950011731545
203,10/21/2020,31.5,-0.015123162,0.002949254,-0.003094717,30.93908183296363,30.09048705112004,28.056927752140965
204,10/22/2020,33.720001,0.068103617,0.002959524,-0.002745706,30.47808282903719,29.642176988579937,27.634063568807676
205,10/23/2020,34.0,0.008269362,0.002945676,-0.002691974,32.63557302947196,31.73811953115106,29.58782981602243
206,10/26/2020,31.93,-0.062814518,0.002948839,-0.002983831,32.90992594272949,32.01081593494423,29.83409969135983
207,10/27/2020,30.709999,-0.038957705,0.002940815,-0.003157618,30.89362519057066,30.04730620627915,28.014976794998617
208,10/28/2020,29.65,-0.035126176,0.002931566,-0.003311313,29.709987848327007,28.899236200488122,26.937530368058788
209,10/29/2020,30.76,0.036753019,0.002925183,-0.003119617,28.682323603550234,27.896517534838676,26.017956278650015
210,10/30/2020,30.639999,-0.003908832,0.002911257,-0.003123376,29.765891553299014,28.948728548280908,27.00303624902356
211,11/2/2020,30.219999,-0.013802388,0.002897997,-0.003173987,29.64697658034888,28.841471301611968,26.90144312666806
212,11/3/2020,30.9,0.02225226,0.002887362,-0.003054052,29.243344567602726,28.445930564874534,26.53017156169074
213,11/4/2020,30.43,-0.01532722,0.002874511,-0.003111672,29.907502755911054,29.093152427665988,27.14170250786447
214,11/5/2020,31.98,0.049681743,0.002874041,-0.002864974,29.45295275049696,28.654154779335858,26.737436103934705
215,11/6/2020,31.42,-0.017666075,0.002861688,-0.002933817,30.960456462371045,30.11986017615386,28.10189313601065
216,11/9/2020,36.77,0.157237662,0.002966662,-0.002192282,30.42372025000674,29.601948494224434,27.624541149255922
217,11/10/2020,37.040001,0.007316141,0.002953406,-0.002148464,35.60895855634456,34.626562752725974,32.28060412375268
218,11/11/2020,35.02,-0.05607911,0.002953139,-0.002395853,35.86806819465929,34.88499600926172,32.534941676024125
219,11/12/2020,34.380001,-0.018444298,0.002940825,-0.002469133,33.90016554628764,32.973627700839515,30.744513706927282
220,11/13/2020,36.459999,0.058740713,0.00294441,-0.002190907,33.28845613768195,32.37508451420853,30.18247470280526
221,11/16/2020,38.0,0.041370418,0.002939634,-0.001993797,35.30721917623587,34.33914372199021,32.0232804756958
222,11/17/2020,37.599998,-0.010582163,0.002926724,-0.002032483,36.80905235370513,35.79953520899205,33.38722065720649
223,11/18/2020,37.91,0.008210932,0.002914068,-0.001986548,36.42323536195498,35.428019721136664,33.040298479040196
224,11/19/2020,37.91,0.0,0.002901076,-0.00197768,36.726833593010916,35.72679802285061,33.32131526083299
225,11/20/2020,37.130001,-0.020789634,0.002889748,-0.002061288,36.72861305519717,35.7262732960264,33.320381437557856
226,11/23/2020,38.790001,0.043737212,0.002886202,-0.00185864,35.97231329430548,34.99688266180751,32.65809116467527
227,11/24/2020,41.259998,0.061730952,0.002891222,-0.00157851,37.58767713813675,36.56930342203776,34.12076745129035
